time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cacc_recruitment_factor,effective_cacc_conductance_S
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.039935529116017,-0.0818606200598338,-0.0419250909438168,1.0,0.10001555634147975,9.650034170774247e-12,2.3,0.018126014770037616,0.4492361581913904,0.0,-0.0019869843454434683,0.2725934374430705,0.11870819939904106,0.2246180790956952,1.75,4937608.164510875,0.2000311126829595,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
1e-06,0.0010776814707371685,11.504825748993374,116.9737739468322,60.57229677300615,5.685898620750037,4.9231126690173035,6.910983069789257,1.453334392587476,301.4154235036432,-0.039935529234745346,-0.08186062009530322,-0.04192509086055787,1.0,0.10001555537820261,9.650034077832132e-12,2.3,0.018126014486791336,0.4492361379032037,0.0,-0.0019869842948649586,0.27259344038885325,0.11870819916811826,0.22461806895160186,1.75,4937608.2512164,0.20003111075640523,0.044589033648704215,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
1.0,0.0010687720796741546,11.626982766376035,116.91389628147293,60.59143285441791,5.8203297588348875,5.042559006503735,6.912955806496403,1.4556361126457602,301.45362147082204,-0.04003761275233347,-0.08185627811055783,-0.041818665358224365,1.0,0.09914018469377546,9.565573646617067e-12,2.3,0.017857901019095512,0.4369436910879478,0.0,-0.0019369493195196621,0.2742848378915487,0.11845457622661591,0.2184718455439739,1.75,4990632.704669098,0.19828036938755092,0.04514696776362834,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
2.0,0.001066119129607876,11.741931235445014,116.83869107997532,60.59604085344612,5.952250270493058,5.159930777859917,6.914910402421668,1.458076418855179,301.45495700235955,-0.040130544739434094,-0.08184693682549243,-0.04171639208605834,1.0,0.09826576746271747,9.481205209666985e-12,2.3,0.01759881390365249,0.4262672596254629,0.0,-0.0018880045867699575,0.2757773288425361,0.11820246695940499,0.21313362981273146,1.75,5037496.0096138185,0.19653153492543493,0.045663123356100135,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
3.0,0.0010661820029065684,11.85191704867857,116.76702651052076,60.5964733459494,6.082600040392877,5.276036760255459,6.916846671172694,1.4604247992258739,301.45610060389714,-0.0402155966456348,-0.08183662280508083,-0.04162102615944603,1.0,0.09738403440533294,9.396130902784056e-12,2.3,0.017347246706996566,0.41636842050945616,0.0,-0.0018401225433818838,0.2771136159409327,0.11796746891136255,0.20818421025472808,1.75,5081635.647384092,0.19476806881066588,0.04614897684310038,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
4.0,0.0010682520320532463,11.957249867542322,116.6986904588898,60.59311358449543,6.211390127336345,5.390881673479666,6.918764473590026,1.462687185731653,301.4570787431695,-0.040293371000219874,-0.08182543338383406,-0.04153206238361419,1.0,0.09649602668639178,9.310451183096894e-12,2.3,0.017102837565495237,0.40717676688129517,0.0,-0.0017932754865017978,0.2783062341393064,0.11774831406324668,0.20358838344064759,1.75,5123229.6772770425,0.19299205337278355,0.04660694521821138,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
5.0,0.0010717670813999937,12.058211283856288,116.63348831204704,60.586308054379224,6.3386314762187155,5.504470309516054,6.92066371927552,1.464869015127611,301.4579044907505,-0.0403644524205828,-0.08181346135295413,-0.04144900893237133,1.0,0.09560274459295032,9.224262563634345e-12,2.3,0.01686525322468802,0.3986301238832513,0.0,-0.001747436693707406,0.27936717407233697,0.11754376486305855,0.19931506194162565,1.75,5162441.360182903,0.19120548918590063,0.04703919899412554,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
6.0,0.0010762833926150712,12.155058310768442,116.57124237027864,60.57637129818516,6.464335079999257,5.616807670068408,6.92254436154274,1.4669752615505136,301.458590718938,-0.04042940130580045,-0.08180079471865802,-0.04137139341285757,1.0,0.0947051461966806,9.137657484259884e-12,2.3,0.016634185471558826,0.39067331665857374,0.0,-0.001702580345189233,0.28030779543499124,0.11735263287388804,0.19533665832928687,1.75,5199420.955049717,0.1894102923933612,0.047447692816380345,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
7.0,0.0010814532112557202,12.248026220897197,116.51178983394244,60.56358931848904,6.588512038796461,5.72789901455786,6.924406392741102,1.469010484488404,301.4591499001799,-0.040488749523141306,-0.08178751632903522,-0.041298766805893915,1.0,0.09380414718545645,9.050724295422129e-12,2.3,0.016409348224196738,0.38325720262436447,0.0,-0.0016586814572494837,0.2811387821289224,0.11717378888031868,0.19162860131218223,1.75,5234307.023055349,0.1876082943709129,0.04783419117900428,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
8.0,0.0010870064383792456,12.337330982571757,116.45498108689243,60.54822254990561,6.71117360708626,5.837749897537954,6.926249839972104,1.4709788708605356,301.45959396340584,-0.040542997652275224,-0.08177370367990548,-0.04123070602763026,1.0,0.09290062092797122,8.963547264389525e-12,2.3,0.016190475073672127,0.3763378617073176,0.0,-0.0016157158249299859,0.28187011956039837,0.11700616946598048,0.1881689308536588,1.75,5267227.568671406,0.18580124185594243,0.04820029063592129,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
9.0,0.0010927355254822524,12.423171378063515,116.4006782145651,60.53050849330288,6.832331227608679,5.946366194284034,6.9280747611293245,1.472884272509382,301.4599341985144,-0.040592613551317436,-0.08175942886846492,-0.041166815317147484,1.0,0.0919953987226603,8.876206599267703e-12,2.3,0.015977317190701234,0.3698759125437989,0.0,-0.001573659974457495,0.2825110909598499,0.11684878058478532,0.18493795627189946,1.75,5298301.05422816,0.1839907974453206,0.048547439105196294,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
10.0,0.001098483238298989,12.505730806410616,116.34875375055042,60.51066398836213,6.95199656087016,6.053754122584154,6.929881241385447,1.474730238588597,301.46018119555356,-0.04063803176787152,-0.08174475864040714,-0.04110672687253562,1.0,0.09108927025706581,8.788778493321433e-12,2.3,0.015769641543917072,0.3638359383743273,0.0,-0.00153249111886793,0.28307028477961,0.11670069920539045,0.18191796918716366,1.75,5327637.274566064,0.18217854051413163,0.048876952498740134,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
11.0,0.001104132500837951,12.585178893603299,116.29908956529813,60.48888728730285,7.070181499600428,6.159920251125909,6.931669389879946,1.476520045316394,301.46034481776854,-0.04067965388802298,-0.08172975453608741,-0.041050100648064435,1.0,0.09018298417293899,8.701335179498723e-12,2.3,0.015567229357269988,0.3581859932055242,0.0,-0.0014921871242858725,0.2835556159062629,0.11656107280718152,0.1790929966027621,1.75,5355338.160408085,0.18036596834587798,0.04919002936886469,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
12.0,0.001109598259704492,12.661672851408067,116.25157593322879,60.46535982224982,7.1868981840359085,6.264871508795212,6.933439336852626,1.4782567213132682,301.46043419010067,-0.040717849245051056,-0.0817144730737044,-0.04099662382865334,1.0,0.0892772488136074,8.613945002540786e-12,2.3,0.015369874787384531,0.35289718639323,0.0,-0.0014527264755570851,0.2839743504604942,0.11642911804591592,0.176448593196615,1.75,5381498.461577999,0.1785544976272148,0.04948776350201699,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.10492731182225479,3.2947175912188008e-09
