mechanism,ae4_expression,physiological,failed_gates,slowest_decay_s,max_real_eigenvalue_per_s,residual_max,jacobian_relative_step_error,condition_number,time_s,q_pL_s,na_i_mM,k_i_mM,cl_i_mM,T_i_mM,A_i_mM,ph_i,hco3_i_mM,V_i_pL,V_l_pL,cl_l_mM,ph_l,osm_lumen_mOsm,N,H,E,B,J4,P,CaCC,paraCl,Va_V,Vb_V,charge_max_fmol,current_residual_A,max_amount_rhs,max_volume_rhs
C0,1.0,True,,345.81857187521103,-0.002891689693174868,4.3570631209844936e-11,2.308961152316745e-10,24849.497759889706,1.0,0.0015840671108638016,18.082632569931363,110.2371540788869,53.29853852934953,8.267987002798224,18.856839943856667,7.0503862758502045,7.430796764701037,1.3898795472368413,0.10792033555431901,147.67722534587452,6.679276618985074,301.5346947581826,0.1493911081454395,0.006036202571074455,-0.0007480591962109469,0.07168031498057374,0.07507244586422407,0.06319046758833112,0.3731066029588879,0.13917596726486717,-0.029598190456235417,-0.0791034237007674,1.4210854715202004e-14,3.877409121342317e-26,1.7708057242771247e-14,6.749483784374011e-14
C0,0.9,True,,348.2981808237527,-0.0028711031382217416,6.984450641289687e-10,2.130451523149028e-10,24856.708357472104,1.0,0.0015839037242065118,18.03508977268676,110.39803412115945,53.26492239999861,8.557801353484505,19.190263517240215,7.058216681677547,7.705065790889841,1.3945094268846783,0.10791951862103256,147.6685756691324,6.671685689188094,301.53465627503795,0.1506616134746698,0.005709105208910359,-0.000657694127321577,0.06915047423062048,0.07233387389849408,0.06311808532152428,0.3729994067205435,0.13910659976993286,-0.02961280899022911,-0.07909283591799832,1.4210854715202004e-14,1.1632227364026952e-25,4.84751128126959e-13,1.0819544045415075e-12
C0,0.75,True,,353.3063938145597,-0.0028304044803810456,1.44058230083982e-10,2.0392474372810163e-10,24902.907090093995,1.0,0.0015834826636884737,17.95016688277396,110.69101393514971,53.200715515739276,9.092215826304756,19.804785490267832,7.072615378987013,8.212634559688349,1.4030881346258819,0.10791741331844237,147.65314505582052,6.6590020059760855,301.53455710089423,0.1530052077617698,0.0051453293245003915,-0.0004973721243040509,0.06444406553677126,0.0672654162612182,0.06298729816416732,0.37277845966045503,0.13897226422548523,-0.029640854613357522,-0.07907182884818656,1.4210854715202004e-14,2.5849394142282115e-26,9.922618282587337e-14,2.0740332194735256e-13
C0,0.5,True,,367.47811117319486,-0.002721250516955807,4.256423826649251e-12,2.244458695281039e-10,25172.84635607188,1.0,0.0015819215986509012,17.75922143856178,111.38107208211508,53.03517271103088,10.38790180892776,21.291582722976916,7.107282256908603,9.452322249199169,1.4241328863412646,0.10790960799325451,147.61852392388408,6.634269358594805,301.5341894167143,0.1586397193173129,0.003975462587447075,-0.00013972806884431698,0.05294373858235219,0.05500133391049956,0.06268608451062153,0.3721410444762808,0.13862011312012523,-0.029713848480652054,-0.07901518054736345,1.4210854715202004e-14,3.2311742677852644e-26,3.344546861683284e-15,5.688808799031442e-15
C0,0.25,True,,396.32424647528677,-0.002523186529447817,1.8391757435486026e-10,1.8680900986359917e-10,26073.503377274057,1.0,0.0015780337077207773,17.479391470571922,112.49807846354055,52.73016640743287,12.614947654547931,23.8261097843759,7.165729501696712,11.608609715787361,1.4612508021161748,0.10789016853860389,147.56790894828808,6.606577952302787,301.5332736854958,0.16791102489735518,0.0025189580733758713,0.0003875918892667611,0.0335626429687901,0.034628326060798915,0.062226154303013675,0.37083796774477573,0.13797083324650633,-0.029850588059981056,-0.0789105017140146,1.4210854715202004e-14,1.550963648536927e-25,1.0158540675320182e-13,2.849049121622649e-13
C0,0.1,True,,427.58527802002794,-0.0023387147579790163,9.452156421574023e-11,1.7998918671587165e-10,27457.837518041786,1.0,0.001573497376206995,17.256688008331885,113.51787566496468,52.420649060460526,14.821597093612331,26.29227696921892,7.2214105381825595,13.769008066284073,1.499410424626076,0.10786748688103498,147.52765286233642,6.591234577568912,301.5322052243537,0.17629486398253555,0.0015978012781042612,0.0008222374179502104,0.015664672120837417,0.016052454050833456,0.06184370345200685,0.36946441943386216,0.1373300447369989,-0.029991949456768245,-0.07881184828981039,2.220446049250313e-15,1.129941641444507e-23,1.6197460039890643e-13,1.0408817904816736e-13
C0,0.05,True,,442.08904428054535,-0.0022619877441826175,2.2513103928826403e-10,1.9476375736582758e-10,28240.61852097981,1.0,0.0015714458955571444,17.172843766311765,113.94364104177386,52.285068202740625,15.801427647416839,27.368343163008813,7.24518552063185,14.733744208466781,1.5168499855223798,0.10785722947778573,147.51247302042256,6.586921075387793,301.5317220305328,0.17971822021027853,0.0013089699516689853,0.0009922059857391278,0.008278849697046231,0.008437231679997227,0.061695808006330795,0.3688658780862996,0.13705800781487293,-0.030054627941232953,-0.07877228666135028,2.842170943040401e-14,1.6478988765704848e-24,3.645000967722467e-14,3.0522177667247075e-13
C0,0.0,True,,459.9160310432214,-0.0021743099446473162,1.2426935013305075e-11,1.8623190024722857e-10,29313.547645388255,1.0,0.0015690790988177384,17.08443832625146,114.4244887001825,52.1287096876052,16.9548422063495,28.618310625053166,7.2723151445820795,15.872539876326435,1.5378020105923387,0.1078453954940887,147.49642897457215,6.583207500318161,301.5311645689943,0.18350448039042677,0.0010393184719600106,0.0011766848556387947,6.868319183847193e-05,0.0,0.06153749401807518,0.36818564563649125,0.13675208178223588,-0.030127463122701263,-0.0787299593996736,1.4210854715202004e-14,1.1309109937248425e-25,3.0431115526780017e-15,1.9250443253349125e-14
C1,1.0,False,na_i_mM,564.3757413872255,-0.0017718692117099466,1.3937133799731333e-12,1.0553007617715387e-10,22777.066682071352,1.0,0.0010816650564623748,45.69367188941241,79.5545672095417,41.955560945546466,8.620163275019816,20.03698802896684,7.01388689221662,7.679787273881562,1.2340670389079074,0.10540832528231188,145.97259587566478,6.807654300717279,301.4163619002076,0.08863572386093364,0.004194004707699938,-7.30699068426513e-05,0.04072583571711997,0.08571874604878246,0.07309143677817863,0.26291712386380817,0.10502366770399603,-0.03498639544154186,-0.07162114341141522,2.842170943040401e-14,1.809457589959748e-25,1.7763568394002505e-15,1.5655879370690684e-16
C1,0.05,True,,455.99768006644507,-0.00219299361315673,5.394939030917815e-11,1.983496998483307e-10,28198.662752427346,1.0,0.0015390349023095802,18.222614829413647,112.69645238803064,51.20391833907969,15.957367830809025,27.685892493174496,7.247747451090747,14.884918921784353,1.5003436072202796,0.1076951745115479,147.43117285507003,6.595199462562481,301.5240881336818,0.17616912864207684,0.0012374377446768817,0.0010666655196195378,0.004207515687172727,0.008585803599404477,0.06339996189111602,0.36199072640318514,0.13508900569078777,-0.030554844380438085,-0.0785273180221398,1.4210854715202004e-14,2.8434333556510326e-25,1.712519015484304e-14,8.357247185952765e-14
