id,lower_WT,upper_WT,lower_KO,upper_KO,classification,interpretation
N,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
A,0.0,100.0,0.0,0.0,WT computational big M; conditional screening sign; KO algebraic genotype zero,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
E,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
H,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
B,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Pb,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Pa,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Kb,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Ka,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
J,0.0,1.0,0.0,1.0,computational normalisation,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Db,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
Da,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
pNa,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
pK,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
pCl,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
pHCO3,-100.0,100.0,-100.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
oNa,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
oK,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
oCl,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
oHCO3,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
oCO2,0.0,100.0,0.0,100.0,computational big M; conditional screening sign,"M=100, predeclared sensitivity M=1000; not measured capacity; source context output/46h/evidence/bounds.json"
