balance,N,A,E,H,B,Pb,Pa,Kb,Ka,J,Db,Da,pNa,pK,pCl,pHCO3,oNa,oK,oCl,oHCO3,oCO2
Na_i,1,-1/2,0,1,1,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K_i,1,-1/2,0,0,0,2,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0
Cl_i,2,1,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
TIC_i,0,-2,-1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
TA_i,0,-2,-1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na_l,0,0,0,0,0,0,3,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0
K_l,0,0,0,0,0,0,-2,0,1,0,0,0,0,-1,0,0,0,-1,0,0,0
Cl_l,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,0,0
TIC_l,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1
TA_l,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0
charge_i,0,0,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0
charge_l,0,0,0,0,0,0,1,0,1,-1,0,0,-1,-1,1,1,-1,-1,1,1,0
neutral_outflow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,0
