reaction,minimum,maximum,depends_on_computational_M
N,0.0,0.5,False
A,0.0,0.0,False
E,0.0,1.0,False
H,0.0,1.0,False
B,0.0,0.5,False
Pb,0.0,0.3333333333333333,False
Pa,0.0,0.3333333333333333,False
Kb,0.0,0.8333333333333334,False
Ka,0.0,0.8333333333333334,False
J,0.0,1.0,False
Db,0.0,100.0,True
Da,-100.0,0.0,True
pNa,-100.0,1.0,True
pK,-100.0,0.8333333333333331,True
pCl,-100.0,1.0,True
pHCO3,-100.0,0.0,True
oNa,0.0,100.0,True
oK,0.0,100.0,True
oCl,0.0,100.0,True
oHCO3,0.0,100.0,True
oCO2,0.0,100.0,True
