time_s,q_out_pL_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,osm_lumen_mOsm,v_apical_V,v_basolateral_V,v_transepithelial_V,nbc_activation,nbc_cycle_inward_fmol_s,nbc_current_A,nhe1_multiplier,nhe1_inward_fmol_s,nkcc1_cl_inward_fmol_s,ae4_cl_inward_fmol_s,ae2_cl_inward_signed_fmol_s,cacc_cl_export_fmol_s,paracellular_cl_return_fmol_s,nkcc1_cycle_inward_fmol_s,nkcc1_activity_multiplier,nkcc1_x_i_mM4,nbc_hco3_inward_fmol_s,pump_total_cycles_fmol_s,ae4_na_cell_source_fmol_s,ae4_k_cell_source_fmol_s,ae4_na_branch_export_fmol_s,ae4_k_branch_export_fmol_s,ae4_tic_cell_source_fmol_s,ae4_ta_cell_source_fmol_s,ae2_positive_cl_loading_fmol_s,cumulative_outflow_0_t_pL
0.0,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.03142872407710091,-0.06705742727215,-0.03562870319504909,0.0,0.0,0.0,1.0,0.007880875986972877,0.256706376109366,0.0,-0.0019869843454434683,0.2596533219301311,0.10239383427632785,0.128353188054683,1.0,4937608.164510875,0.0,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
1e-06,0.0010776814707374822,11.504825605191392,116.97377381898451,60.57229665283094,5.685898476324307,4.92311254096896,6.9109830678074875,1.4533343925874602,301.41542362959416,-0.027375559665677795,-0.08036574130031797,-0.05299018163464017,1.0,0.10081428920480762,9.727100176367595e-12,2.3,0.018126014770037616,0.4492361581913904,0.0,-0.0019869843454434683,0.6126791038817435,0.14737859532269706,0.2246180790956952,1.75,4937608.164510875,0.20162857840961523,0.04458903298618399,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0776814707374823e-09
1.0,0.0013893884301493242,11.644769677802296,116.86175590556711,60.45879011546196,5.8296964628325245,5.050695261206545,6.912969536446884,1.4535567472650526,301.84161175228303,-0.027277816965209187,-0.08032965396812478,-0.05305183700291559,1.0,0.0999278745727252,9.641574166195095e-12,2.3,0.017846338832776466,0.4407315632642046,0.0,-0.0019288610758659188,0.5786058168619501,0.14771375607302475,0.2203657816321023,1.75,4974188.217489843,0.1998557491454504,0.04522911898989123,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0012335347945899237
2.0,0.001637377401489884,11.777228136118147,116.74090295380394,60.34609531376002,5.970438750582062,5.175749673217536,6.914943062297921,1.454112753915828,301.8035023933586,-0.027188265765734902,-0.08029094850897749,-0.053102682743242584,1.0,0.09904127586109564,9.556030395046353e-12,2.3,0.017575711338739954,0.4332296192871917,0.0,-0.0018725622894017965,0.5529470456479363,0.14790488318405026,0.21661480964359586,1.75,5006848.894568448,0.19808255172219127,0.045822892507233114,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.002746917710409528
3.0,0.0018128023786754767,11.904344738375036,116.62684696688127,60.240640099554625,6.1090752784973885,5.299090806760198,6.916902274470984,1.4547591356047613,301.7725362847321,-0.027123842143892383,-0.08025559077285227,-0.05313174862895989,1.0,0.0981457190992929,9.469622303451504e-12,2.3,0.017312784785207747,0.4260878002673402,0.0,-0.0018179275644812937,0.5321131602032202,0.14803367254125407,0.2130439001336701,1.75,5038290.277831015,0.1962914381985858,0.04638182343911963,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.004472007600492208
4.0,0.0019338908429878676,12.026503763133556,116.51881448418169,60.140871030375884,6.245707332561492,5.420799504909919,6.918846100084359,1.4554706991190904,301.7468721427445,-0.027077628575741305,-0.0802228474797274,-0.05314521890398609,1.0,0.09724215240540854,9.3824413708995e-12,2.3,0.017057229096629066,0.4193104686035213,0.0,-0.001764833495869982,0.5148496947008689,0.14811704251262378,0.20965523430176064,1.75,5068446.612698449,0.19448430481081708,0.046908989252911294,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.00634535421132388
5.0,0.002014303687436214,12.144035930492091,116.4161861182753,60.04564999766904,6.380413294825862,5.540937308023782,6.920773718739813,1.45622911588814,301.7252663039651,-0.027045100336533512,-0.08019220504829727,-0.05314710471176376,1.0,0.09633152030823729,9.2945787305648e-12,2.3,0.016808737853986414,0.41289324283152046,0.0,-0.0017131802443767562,0.5003219540014154,0.14816606468088397,0.20644662141576023,1.75,5097291.985513171,0.19266304061647457,0.04740704055994818,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.00831945147653592
6.0,0.0020643665287394643,12.257232458430263,116.31845334897098,59.95412084774436,6.5132562477477265,5.659552940168858,6.922684502917593,1.4570206495780118,301.70685358277285,-0.02702315273314514,-0.080163288687163,-0.05314013595401787,1.0,0.09541475286457868,9.206124119286595e-12,2.3,0.016567023915620156,0.4068266132987336,0.0,-0.0016628843499499374,0.48794791819901434,0.1481883443221474,0.2034133066493668,1.75,5124825.938004801,0.19082950572915736,0.04787830297986445,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.01035878658462376
7.0,0.002091923830510739,12.366353665550385,116.22518889329562,59.865625551331135,6.644288530215631,5.776686188541671,6.924577976814068,1.4578347876339137,301.6910087273042,-0.027009571222783732,-0.08013581550453762,-0.05312624428175389,1.0,0.09449275942599014,9.11716527615192e-12,2.3,0.016331816818737615,0.4010981725905839,0.0,-0.0016138742677727978,0.4773062539634596,0.14818931309597752,0.20054908629529195,1.75,5151064.32500257,0.18898551885198028,0.04832484115373463,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.01243693176424886
8.0,0.002102952921610765,12.471634805487955,116.13602714998714,59.77964962205246,6.7735547029421905,5.892370424748408,6.9264537864993505,1.4586633518247212,301.6772653787159,-0.027002724615714284,-0.08010956605264788,-0.053106841436933595,1.0,0.09356642407341588,9.027787502004295e-12,2.3,0.016102860961026248,0.39569397636383985,0.0,-0.0015660874387158463,0.4680823863492597,0.14817297825614195,0.19784698818191992,1.75,5176033.532206244,0.18713284814683176,0.048748503272805485,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.014534370140309612
