time_s,parameter,log_step,dVa_dlog_parameter_V,dVb_dlog_parameter_V,dCl_export_dlog_parameter_fmol_s,dNBC_dlog_parameter_fmol_s,max_scaled_derivative_error
60.0,g_k_total_S,0.0001,-0.0004816497268751912,-0.003719964114212907,0.07613026767307417,-0.0064638039491770535,6.443647601024461e-10
60.0,g_k_total_S,5e-05,-0.0004816497268751912,-0.003719964114212907,0.07613026767307417,-0.0064638039491770535,2.141603250296229e-10
60.0,nak_capacity_fmol_s,0.0001,-5.877744814815717e-05,-0.000925870796334976,0.009290450323080889,-0.0016087916781003654,1.7282361024268766e-09
60.0,nak_capacity_fmol_s,5e-05,-5.877744814815717e-05,-0.000925870796334976,0.009290450323080889,-0.0016087916781003654,4.558697313481222e-10
300.0,g_k_total_S,0.0001,-0.00048199170056342555,-0.004107951710696638,0.07618432053964866,-0.00887090018166023,6.118088669779648e-10
300.0,g_k_total_S,5e-05,-0.00048199170056342555,-0.004107951710696638,0.07618432053964866,-0.00887090018166023,7.84099392240784e-11
300.0,nak_capacity_fmol_s,0.0001,-6.295169181884624e-05,-0.0009886402921118155,0.009950237446897825,-0.0021349153944665196,2.1066507049660634e-09
300.0,nak_capacity_fmol_s,5e-05,-6.295169181884624e-05,-0.0009886402921118155,0.009950237446897825,-0.0021349153944665196,4.225607073220841e-10
600.0,g_k_total_S,0.0001,-0.0004852989933648234,-0.004169302186046393,0.07670707612777523,-0.00902328976790642,5.820055651133177e-10
600.0,g_k_total_S,5e-05,-0.0004852989933648234,-0.004169302186046393,0.07670707612777523,-0.00902328976790642,2.656508086991097e-10
600.0,nak_capacity_fmol_s,0.0001,-6.295808586096522e-05,-0.0009887059454391717,0.009951248098645078,-0.0021397777956242026,1.7271492505785086e-09
600.0,nak_capacity_fmol_s,5e-05,-6.295808586096522e-05,-0.0009887059454391717,0.009951248098645078,-0.0021397777956242026,5.817211466852626e-10
