time_s,parameter,log_step,dVa_dlog_parameter_V,dVb_dlog_parameter_V,dCl_export_dlog_parameter_fmol_s,dNBC_dlog_parameter_fmol_s,max_scaled_derivative_error
60.0,g_k_total_S,0.0001,-0.0004984372159792918,-0.0034822122976346367,0.0787837230115533,-0.004292308635090066,5.948478882866495e-10
60.0,g_k_total_S,5e-05,-0.0004984372159792918,-0.0034822122976346367,0.0787837230115533,-0.004292308635090066,1.4113907446845566e-10
60.0,nak_capacity_fmol_s,0.0001,-5.762194617094977e-05,-0.000911069318805775,0.009107809972815809,-0.0011230190379064482,1.8495900295637412e-09
60.0,nak_capacity_fmol_s,5e-05,-5.762194617094977e-05,-0.000911069318805775,0.009107809972815809,-0.0011230190379064482,6.769097007677687e-10
300.0,g_k_total_S,0.0001,-0.0004700157361189422,-0.003279612792009027,0.07429138189995128,-0.004327867413669122,6.363891352739401e-10
300.0,g_k_total_S,5e-05,-0.0004700157361189422,-0.003279612792009027,0.07429138189995128,-0.004327867413669122,3.042198722662422e-10
300.0,nak_capacity_fmol_s,0.0001,-6.205593395299201e-05,-0.0009806292031753502,0.009808652634756084,-0.0012940653188253676,1.9166947872212633e-09
300.0,nak_capacity_fmol_s,5e-05,-6.205593395299201e-05,-0.0009806292031753502,0.009808652634756084,-0.0012940653188253676,9.257459690418691e-10
600.0,g_k_total_S,0.0001,-0.00045578925551481103,-0.003176234200000644,0.07204272334996117,-0.004219413168237136,5.48496118169635e-10
600.0,g_k_total_S,5e-05,-0.00045578925551481103,-0.003176234200000644,0.07204272334996117,-0.004219413168237136,2.8207830460488107e-10
600.0,nak_capacity_fmol_s,0.0001,-6.36415037686222e-05,-0.0010056657713775105,0.010059270143171184,-0.0013359592307754776,1.792512547738894e-09
600.0,nak_capacity_fmol_s,5e-05,-6.36415037686222e-05,-0.0010056657713775105,0.010059270143171184,-0.0013359592307754776,1.1388910567630396e-09
