constraint_id,experimental_mean,SE,n,units,genotype,protocol,observation_operator,prediction,standardised_residual,status,reason,scored
ae4_table1/rest_Cl_i/WT,50.1,1.5,7,mM,WT,rest_Cl_i,genotype specific stationary concentration,57.85495030913425,5.169966872756167,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae4_table1/rest_Cl_i/AE4_KO,36.5,1.6,6,mM,AE4_KO,rest_Cl_i,genotype specific stationary concentration,56.95413831641606,12.78383644776004,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae4_table1/rest_pH_i/WT,6.91,0.07,4,pH,WT,rest_pH_i,stationary carbonate pH,6.883124544391061,-0.38393508012770633,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae4_table1/rest_pH_i/AE4_KO,6.89,0.02,4,pH,AE4_KO,rest_pH_i,stationary carbonate pH,7.22459780278438,16.729890139218995,conditional_B_plus_projection,one shared WT trajectory represents both strain controls; source bath projection qualification,True
ae4_table1/initial_Cl_exit_CCh_IPR/WT,-0.21,0.01,10,SPQ_deltaF,WT,initial_Cl_exit_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_exit_CCh_IPR/AE4_KO,-0.18,0.02,9,SPQ_deltaF,AE4_KO,initial_Cl_exit_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_exit_CCh/WT,-0.18,0.03,7,SPQ_deltaF,WT,initial_Cl_exit_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_exit_CCh/AE4_KO,-0.15,0.01,6,SPQ_deltaF,AE4_KO,initial_Cl_exit_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_CCh_IPR/WT,2.02,0.1,10,1e-3_s-1,WT,initial_Cl_uptake_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_CCh_IPR/AE4_KO,0.9,0.09,9,1e-3_s-1,AE4_KO,initial_Cl_uptake_CCh_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_CCh/WT,2.18,0.2,7,1e-3_s-1,WT,initial_Cl_uptake_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_CCh/AE4_KO,2.3,0.1,6,1e-3_s-1,AE4_KO,initial_Cl_uptake_CCh,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_IPR/WT,0.4,0.07,4,1e-3_s-1,WT,initial_Cl_uptake_IPR,F0/F amplitude or source recovery regression slope,,,unavailable,individual fluorescence calibration and source fitting windows unavailable; do not equate flux and signal,False
ae4_table1/initial_Cl_uptake_IPR/AE4_KO,0.2,0.03,7,1e-3_s-1,AE4_KO,initial_Cl_uptake_IPR,slope of any common optical map on an exactly constant core state,0.0,-6.666666666666667,analytic_invariance,"IPR has no core effect after AE4 deletion; stable genotype rest, no calibration magnitude needed",True
