series,panel,index,n,x_pixel,y_pixel,sem_upper_pixel,sem_lower_pixel,time,time_unit,mean,sem_upper,sem_lower,unit,digitisation_halfwidth,sem_note
4A_control,4A,0,6,128.5,418.5,,,0.0,min,0.0,,,uL/min,0.011904761904761904,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,1,6,154,308,299,318,0.9883720930232558,min,0.876984126984127,0.0714285714285714,0.0793650793650793,uL/min,0.011904761904761862,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,2,6,180,280.5,270,291.5,1.996124031007752,min,1.0952380952380953,0.08333333333333326,0.08730158730158744,uL/min,0.011904761904762085,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,3,6,206,280.5,272,289,3.003875968992248,min,1.0952380952380953,0.06746031746031744,0.06746031746031766,uL/min,0.011904761904762085,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,4,6,232,291,281,300.5,4.011627906976744,min,1.0119047619047619,0.0793650793650793,0.07539682539682535,uL/min,0.011904761904761862,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,5,6,258,287.5,278.5,297.5,5.01937984496124,min,1.0396825396825398,0.0714285714285714,0.07936507936507942,uL/min,0.011904761904762085,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,6,6,284,296.5,285,308.5,6.0271317829457365,min,0.9682539682539683,0.09126984126984128,0.09523809523809523,uL/min,0.011904761904761862,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,7,6,309,298,284,312,6.996124031007752,min,0.9563492063492064,0.11111111111111105,0.11111111111111116,uL/min,0.011904761904761973,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,8,6,335,290.5,274.5,308.5,8.003875968992247,min,1.0158730158730158,0.12698412698412698,0.1428571428571428,uL/min,0.011904761904761862,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,9,6,361,282.5,270,294.5,9.011627906976743,min,1.0793650793650793,0.0992063492063493,0.09523809523809523,uL/min,0.011904761904761862,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_control,4A,10,6,387,301.5,288.5,314,10.01937984496124,min,0.9285714285714286,0.10317460317460325,0.09920634920634919,uL/min,0.011904761904761973,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
4A_Tmem16A_KO,4A,0,6,128.5,418.5,,,0.0,min,0.0,,,uL/min,0.011904761904761904,"Unresolved/overlapped SEM is empty, never zero. One-sided caps retained without assuming symmetry."
