time_s_nominal,x_pixel,time_s_calibrated,trace_y_min_pixel,trace_y_max_pixel,trace_mid,trace_lower,trace_upper,uncertainty_type
25,619,24.539877300613497,170.0,187.0,0.9922178988326849,0.9766536964980544,1.0077821011673151,raster marker/trace envelope +1.5px; not SEM
50,627,49.079754601226995,175.0,195.0,0.9821011673151752,0.9642023346303502,1.0,raster marker/trace envelope +1.5px; not SEM
75,635,73.61963190184049,179.0,191.0,0.9821011673151752,0.9704280155642023,0.9937743190661479,raster marker/trace envelope +1.5px; not SEM
100,644,101.22699386503068,167.0,187.0,0.9945525291828794,0.9766536964980544,1.0124513618677042,raster marker/trace envelope +1.5px; not SEM
125,652,125.76687116564418,160.0,176.0,1.0085603112840467,0.9937743190661479,1.0233463035019454,raster marker/trace envelope +1.5px; not SEM
150,660,150.30674846625766,148.0,167.0,1.0249027237354085,1.0077821011673151,1.042023346303502,raster marker/trace envelope +1.5px; not SEM
175,668,174.84662576687117,138.0,156.0,1.0412451361867705,1.0249027237354085,1.0575875486381323,raster marker/trace envelope +1.5px; not SEM
200,676,199.38650306748465,129.0,144.0,1.0575875486381323,1.043579766536965,1.0715953307392996,raster marker/trace envelope +1.5px; not SEM
225,684,223.92638036809817,120.0,134.0,1.072373540856031,1.0591439688715953,1.0856031128404668,raster marker/trace envelope +1.5px; not SEM
250,692,248.46625766871165,112.0,125.0,1.0856031128404668,1.0731517509727626,1.0980544747081713,raster marker/trace envelope +1.5px; not SEM
275,701,276.07361963190186,103.0,115.0,1.1003891050583658,1.0887159533073931,1.1120622568093386,raster marker/trace envelope +1.5px; not SEM
300,709,300.6134969325153,95.0,106.0,1.1136186770428016,1.1027237354085604,1.1245136186770428,raster marker/trace envelope +1.5px; not SEM
325,717,325.15337423312883,86.0,98.0,1.1268482490272373,1.1151750972762646,1.13852140077821,raster marker/trace envelope +1.5px; not SEM
350,725,349.69325153374234,79.0,93.0,1.1361867704280155,1.1229571984435798,1.1494163424124513,raster marker/trace envelope +1.5px; not SEM
375,733,374.23312883435585,72.0,89.0,1.1447470817120622,1.129182879377432,1.1603112840466925,raster marker/trace envelope +1.5px; not SEM
400,741,398.7730061349693,67.0,84.0,1.1525291828793773,1.136964980544747,1.1680933852140076,raster marker/trace envelope +1.5px; not SEM
425,750,426.3803680981595,64.0,78.0,1.159533073929961,1.1463035019455252,1.172762645914397,raster marker/trace envelope +1.5px; not SEM
450,758,450.92024539877303,64.0,77.0,1.1603112840466925,1.1478599221789882,1.172762645914397,raster marker/trace envelope +1.5px; not SEM
