time_s_nominal,x_pixel,time_s_calibrated,trace_y_min_pixel,trace_y_max_pixel,trace_mid,trace_lower,trace_upper,uncertainty_type,early_symbol_overlap
25,619,24.539877300613497,170.0,187.0,0.9922178988326849,0.9766536964980544,1.0077821011673151,raster marker/trace envelope +1.5px; not SEM,True
50,627,49.079754601226995,175.0,196.0,0.9813229571984435,0.9626459143968872,1.0,raster marker/trace envelope +1.5px; not SEM,True
75,635,73.61963190184049,179.0,192.0,0.9813229571984435,0.9688715953307393,0.9937743190661479,raster marker/trace envelope +1.5px; not SEM,True
100,644,101.22699386503068,165.0,187.0,0.9961089494163424,0.9766536964980544,1.0155642023346303,raster marker/trace envelope +1.5px; not SEM,False
125,652,125.76687116564418,160.0,176.0,1.0085603112840467,0.9937743190661479,1.0233463035019454,raster marker/trace envelope +1.5px; not SEM,False
150,660,150.30674846625766,145.0,167.0,1.027237354085603,1.0077821011673151,1.046692607003891,raster marker/trace envelope +1.5px; not SEM,False
175,668,174.84662576687117,133.0,156.0,1.045136186770428,1.0249027237354085,1.0653696498054475,raster marker/trace envelope +1.5px; not SEM,False
200,676,199.38650306748465,123.0,144.0,1.0622568093385214,1.043579766536965,1.0809338521400778,raster marker/trace envelope +1.5px; not SEM,False
225,684,223.92638036809817,116.0,134.0,1.0754863813229572,1.0591439688715953,1.0918287937743192,raster marker/trace envelope +1.5px; not SEM,False
250,692,248.46625766871165,107.0,125.0,1.0894941634241244,1.0731517509727626,1.1058365758754864,raster marker/trace envelope +1.5px; not SEM,False
275,701,276.07361963190186,96.0,115.0,1.1058365758754864,1.0887159533073931,1.1229571984435798,raster marker/trace envelope +1.5px; not SEM,False
300,709,300.6134969325153,89.0,106.0,1.1182879377431907,1.1027237354085604,1.133852140077821,raster marker/trace envelope +1.5px; not SEM,False
325,717,325.15337423312883,82.0,98.0,1.1299610894941634,1.1151750972762646,1.1447470817120622,raster marker/trace envelope +1.5px; not SEM,False
350,725,349.69325153374234,79.0,93.0,1.1361867704280155,1.1229571984435798,1.1494163424124513,raster marker/trace envelope +1.5px; not SEM,False
375,733,374.23312883435585,72.0,89.0,1.1447470817120622,1.129182879377432,1.1603112840466925,raster marker/trace envelope +1.5px; not SEM,False
400,741,398.7730061349693,67.0,84.0,1.1525291828793773,1.136964980544747,1.1680933852140076,raster marker/trace envelope +1.5px; not SEM,False
425,750,426.3803680981595,64.0,78.0,1.159533073929961,1.1463035019455252,1.172762645914397,raster marker/trace envelope +1.5px; not SEM,False
450,758,450.92024539877303,64.0,77.0,1.1603112840466925,1.1478599221789882,1.172762645914397,raster marker/trace envelope +1.5px; not SEM,False
