time_s,nkcc_multiplier,nkcc_ca_multiplier,nkcc_beta_increment,nkcc_cycles_fmol_s,nkcc_cl_fmol_s,ae4_cl_fmol_s,ae2_cl_fmol_s,nhe_fmol_s,nbc_cycles_fmol_s,vrac_conductance_S,vrac_current_A,vrac_cl_fmol_s,tmem16a_current_A,tmem16a_cl_fmol_s,total_cl_export_fmol_s,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,relative_swelling,v_apical_V,v_basolateral_V,v_trans_V,pump_cycles_fmol_s,k_apical_fmol_s,k_basolateral_fmol_s,para_cl_return_fmol_s,lumen_osm_mOsm,volume_l_pL,flow_pL_s,chloride_derivative_mM_s,cell_bulk_charge_rate_fmol_s,lumen_bulk_charge_rate_minus_outflow_fmol_s,carbon_accounting_fmol_s,buffer_site_accounting_fmol_s,water_volume_accounting_pL_s,homeostasis_charge_fmol_s,ae4_charge_fmol_s,apical_current_A,basolateral_current_A,cell_speciation_alkalinity_mM,lumen_speciation_alkalinity_mM,cumulative_pL
0.0,1.0,1.0,0.0,0.1298776641370829,0.2597553282741658,0.005549800351254686,-0.0020760874273370302,0.009023513275380054,0.0,0.0,0.0,0.0,-2.5397741463566907e-11,0.2632290411974684,0.2632290411974684,11.952206317073285,122.85284792705396,57.85495030913425,5.427597369124638,4.658274425121358,6.883124544391061,1.259615564408113,0.0,-0.03450040362198103,-0.07186910966463332,-0.03736870604265229,0.045375425745436924,0.03666705523316194,0.1811865602188694,0.11023584374900455,321.115857715653,0.10491258831956275,0.0009825176639125493,-1.2997433340931482e-10,1.491862189340054e-16,6.938893903907228e-18,2.168404344971009e-19,0.0,0.0,1.0408340855860843e-17,0.0,-6.462348535570529e-27,-1.2924697071141057e-26,5.329070518200751e-15,-8.881784197001252e-16,0.0
1e-06,2.5,1.0,1.5,0.32469416034270726,0.6493883206854145,0.005549800351254686,-0.0020760874273370302,0.009023513275380054,0.0,0.0,0.0,0.0,-2.5397741463566907e-11,0.2632290411974684,0.2632290411974684,11.952206317073285,122.85284792705396,57.85495030913425,5.427597369124638,4.658274425121358,6.883124544391061,1.259615564408113,0.0,-0.03450040362198103,-0.07186910966463332,-0.03736870604265229,0.045375425745436924,0.03666705523316194,0.1811865602188694,0.11023584374900455,321.115857715653,0.10491258831956275,0.0009825176639125493,0.3093269115252776,1.214306433183765e-16,6.938893903907228e-18,2.168404344971009e-19,0.0,0.0,-1.0061396160665481e-16,0.0,-6.462348535570529e-27,-1.2924697071141057e-26,5.329070518200751e-15,-8.881784197001252e-16,9.825176639125494e-10
1.0,2.5,1.0,1.5,0.31076124278035094,0.6215224855607019,0.0053592177431106836,-0.002086622866543976,0.008987586912733351,0.0,0.0,0.0,0.0,-2.546257689500486e-11,0.26390101309219455,0.26390101309219455,12.079706286787932,122.7912143394363,58.05263593322764,5.418452841985275,4.650425403341544,6.8831241037586235,1.2617792333687141,0.0017177216777388704,-0.03443330668685966,-0.07186323604833705,-0.03742992936147739,0.045906682126651964,0.036884810711794044,0.1811095202537485,0.11040367402342074,321.15794537175236,0.10490231254175283,0.000980462508350566,0.18187843619927505,-1.734723475976807e-17,7.28583859910259e-17,-2.168404344971009e-19,0.0,0.0,-1.2836953722228372e-16,0.0,9.693522803355793e-27,-1.2924697071141057e-26,3.552713678800501e-15,8.881784197001252e-16,0.0009814900871591354
2.0,2.5,1.0,1.5,0.29860151690039954,0.5972030338007991,0.005171582819458412,-0.0020962087662970367,0.00895527586090361,0.0,0.0,0.0,0.0,-2.5520238823320453e-11,0.26449863686617786,0.26449863686617786,12.19528624642168,122.71836776372584,58.227722705253925,5.40959705559687,4.642823388193859,6.883123126509655,1.2639639310318314,0.0034521378955503224,-0.03437100975231063,-0.0718545785810086,-0.03748356882869797,0.04637949423801785,0.03708323691492932,0.18103590571323075,0.11054249931617662,321.15573248130937,0.10490860457811112,0.0009817209156222223,0.16852834188231872,-4.85722573273506e-17,1.7954387976359953e-16,2.168404344971009e-19,0.0,0.0,-2.0816681711721685e-17,0.0,1.2924697071141057e-26,-9.693522803355793e-27,1.7763568394002505e-15,8.881784197001252e-16,0.00196258179914553
5.0,2.5,1.0,1.5,0.2683371849334916,0.5366743698669832,0.004705534116891549,-0.0021201936776996037,0.00887379606968022,0.0,0.0,0.0,0.0,-2.566553902878425e-11,0.26600456737676664,0.26600456737676664,12.490623278142403,122.53421016071677,58.68155995503872,5.388525109077776,4.624730994752853,6.883118299379377,1.2696829471648732,0.007992424864558423,-0.034209765094759585,-0.07183016041738635,-0.037620395322626766,0.047550114124544685,0.037579199864038244,0.18087525338818378,0.11089772947674101,321.1502428055736,0.1049326943937562,0.0009865388787512392,0.13562432349681117,-1.5612511283791264e-16,2.697495005143935e-16,0.0,0.0,2.168404344971009e-19,-7.28583859910259e-17,0.0,2.261821987449685e-26,-1.9387045606711586e-26,-3.552713678800501e-15,0.0,0.004914740858515881
10.0,2.5,1.0,1.5,0.23256071986349383,0.46512143972698766,0.0041867049309561866,-0.002148286896572695,0.008775920694380277,0.0,0.0,0.0,0.0,-2.5840000020622745e-11,0.2678127281407418,0.2678127281407418,12.852866872739611,122.31408763106752,59.257182609540116,5.36714182325961,4.6063635175653115,6.883108171660621,1.2770728411562968,0.013859210096682784,-0.03400553584907262,-0.07179529809613848,-0.03778976224706586,0.04891352299326723,0.03815878521298824,0.18074041993448664,0.11134031167081654,321.1437965805259,0.10497565034767803,0.0009951300695356048,0.09738762140497825,-3.3306690738754696e-16,2.1250362580715887e-16,8.673617379884035e-19,0.0,0.0,0.0,0.0,1.9387045606711586e-26,9.693522803355793e-27,3.552713678800501e-15,0.0,0.00986918176423503
20.0,2.5,1.0,1.5,0.19158528566093028,0.38317057132186055,0.0037692885491723005,-0.002178175364303224,0.008664132294027321,0.0,0.0,0.0,0.0,-2.6041950299293254e-11,0.2699057952861121,0.2699057952861121,13.277230915894275,122.0737416373096,59.99111593554126,5.354313940049332,4.595325187598576,6.883088903703063,1.2867935441767377,0.02157640833963126,-0.03374481166604971,-0.07174505717669587,-0.03800024551064616,0.05041234507973738,0.03877682626812369,0.1807166239382514,0.11189695529458707,321.1364386845408,0.10503925858117151,0.001007851716234301,0.05471287398961958,-3.95516952522712e-16,2.1684043449710089e-16,0.0,0.0,-1.0842021724855044e-19,6.938893903907228e-18,0.0,2.5849394142282115e-26,1.2924697071141057e-26,-3.552713678800501e-15,0.0,0.019889798440130294
30.0,2.5,1.0,1.5,0.1708024850165604,0.3416049700331208,0.003778837620756495,-0.0021905161166944705,0.008611547405896073,0.0,0.0,0.0,0.0,-2.6145515527969798e-11,0.270979173243165,0.270979173243165,13.48279087799781,121.97857324982161,60.42173194479461,5.359988055289347,4.600160697899117,6.883065964865608,1.2927265966362642,0.02628661725350301,-0.033590876181233915,-0.07171259846147673,-0.03812172228024282,0.0511014831840457,0.03904236523283118,0.18083532482628825,0.11222322445516446,321.1326954395574,0.10507418374085521,0.0010148367481710413,0.033725748210138067,-1.5439038936193583e-16,2.246466901389965e-16,-1.3010426069826053e-18,0.0,0.0,-4.336808689942018e-17,0.0,1.6155871338926322e-26,-9.693522803355793e-27,7.105427357601002e-15,8.881784197001252e-16,0.030006831448598444
40.0,2.5,1.0,1.5,0.1595714241638527,0.3191428483277054,0.003951306246083863,-0.0021952651881510603,0.008588837364867945,0.0,0.0,0.0,0.0,-2.6203930651146533e-11,0.27158460333179324,0.27158460333179324,13.576615382059115,121.95701448055519,60.69812912598711,5.371918204194828,4.6103474619375975,6.88303113274013,1.296663753965861,0.029412298962149253,-0.03349118788655363,-0.07169018974825732,-0.03819900186170369,0.051408274401499233,0.03916026758650322,0.18101606134379092,0.11243331829220055,321.1306717207934,0.10509315030891522,0.0010186300617830435,0.022682850664450284,-1.3530843112619095e-16,6.158268339717665e-17,-1.3010426069826053e-18,0.0,0.0,3.122502256758253e-17,0.0,6.462348535570529e-27,6.462348535570529e-27,-3.552713678800501e-15,0.0,0.04017597943381869
50.0,2.5,1.0,1.5,0.15326196819312893,0.30652393638625786,0.0041612803376203655,-0.0021968273338621026,0.008582261473413021,0.0,0.0,0.0,0.0,-2.6240503162549263e-11,0.27196365070199086,0.27196365070199086,13.610604655008155,121.97435761221064,60.89174075323179,5.384968135474595,4.621473940157393,6.882982268773213,1.2994909595654651,0.03165679774375385,-0.03342070798680812,-0.071673231750285,-0.03825252376347688,0.051518266693059124,0.03921717106740726,0.18122821294152452,0.11257992638308192,321.12955175989185,0.10510416533799889,0.0010208330675997774,0.01662391321716303,-5.204170427930421e-17,1.8041124150158794e-16,0.0,0.0,-1.0842021724855044e-19,3.469446951953614e-18,0.0,1.6155871338926322e-26,-1.2924697071141057e-26,-3.552713678800501e-15,8.881784197001252e-16,0.05037419116806948
