figure,series,x,value,unit,source,notes
2,WT chloride loading,NKCC1,79.9248,percent,results/37_wt_nbc_validation/wt_chloride_partition.json,Positive chloride loading integrated over 60-600 s
2,WT chloride loading,AE4,20.0752,percent,results/37_wt_nbc_validation/wt_chloride_partition.json,Positive chloride loading integrated over 60-600 s
2,WT chloride loading,AE2,0.0,percent,results/37_wt_nbc_validation/wt_chloride_partition.json,Positive chloride loading integrated over 60-600 s
3,Task 40 AE4 5%,60,1.280122111,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,120,2.490336216,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,180,3.161540623,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,240,3.501228139,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,300,3.649544375,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,360,3.687123704,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,420,3.660401551,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,480,3.596699266,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,540,3.512423329,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 5%,600,3.417577608,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,60,1.370455407,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,120,2.696045367,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,180,3.451989870,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,240,3.850192870,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,300,4.037770116,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,360,4.100713699,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
3,Task 40 AE4 null,420,4.089365787,percent,results/40_ae4_equal_cation_routing/flow_and_cumulative_comparison.csv,Cumulative secretion deficit
