ae4_expression,ae4_parameters_sha256,both_warm_starts_accepted,boundary_hits,bulk_charge_gate_pass,calcium_uM,conservation_ae4_charge_fmol_s,conservation_apical_current_A,conservation_basolateral_current_A,conservation_buffer_site_accounting_fmol_s,conservation_carbon_accounting_fmol_s,conservation_cell_bulk_charge_rate_fmol_s,conservation_cell_speciation_alkalinity_mM,conservation_gate_pass,conservation_homeostasis_charge_fmol_s,conservation_lumen_bulk_charge_rate_minus_outflow_fmol_s,conservation_lumen_speciation_alkalinity_mM,conservation_water_volume_accounting_pL_s,core_state_sha256,current_gate_pass,finite_observables_gate_pass,full_rhs_gate_pass,independent_jacobian_nullity,independent_jacobian_rank,max_abs_amount_rhs_fmol_s,max_abs_bulk_charge_fmol,max_abs_current_residual_A,max_abs_omitted_rhs_fmol_s,max_abs_regulatory_rhs_s_inv,max_abs_scaled_independent_rhs,max_abs_volume_rhs_pL_s,max_dimensionless_conservation_ratio,positivity_gate_pass,rest_ae4_charge_residual_fmol_s,rest_ae4_cl_source_fmol_s,rest_ae4_hco3_source_fmol_s,rest_ae4_k_source_fmol_s,rest_ae4_na_source_fmol_s,rest_beta_input,rest_cell_cl_mM,rest_cell_k_mM,rest_cell_na_mM,rest_cell_ph,rest_cell_volume_pL,rest_gate_pass,rest_integration_used,rest_lumen_cl_mM,rest_lumen_k_mM,rest_lumen_na_mM,rest_lumen_ph,rest_lumen_volume_pL,rest_method,rest_outflow_pL_s,rest_protocol,rest_protocol_time_invariant_rhs,resting_calcium_uM,root_alias,root_cluster_relative_tolerance,root_id,root_internal_gate_pass,routing_family,routing_gate_pass,selected_seed_id,wall_seconds,warm_start_count,warm_start_root_distance_normalized,warm_starts_same_root,whole_cell_parameters_sha256
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.1,0.0,6.462348535570529e-27,9.693522803355793e-27,0.0,3.2526065174565133e-19,7.632783294297951e-17,0.0,True,3.469446951953614e-17,1.734723475976807e-17,8.881784197001252e-16,0.0,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,True,True,True,0,10,2.8449465006019636e-16,1.4210854715202004e-14,9.693522803355793e-27,2.8449465006019636e-16,0.0,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,True,0.0,0.004543637549416404,-0.009087275098832809,-0.004138128233010697,-0.0004055093164057076,0.0,60.92767144809206,117.08455198416613,11.473515068484108,6.88958994952674,1.4538065197733951,True,False,145.72111001369564,27.424767290827084,122.92438919244148,6.907398907213053,0.10542212471029506,direct_charge_manifold_least_squares,0.0010844249420590118,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,0.9321182280000357,2,1.973729821555834e-15,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.5,0.0,6.462348535570529e-27,9.693522803355793e-27,0.0,3.2526065174565133e-19,7.632783294297951e-17,0.0,True,3.469446951953614e-17,1.734723475976807e-17,8.881784197001252e-16,0.0,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,True,True,True,0,10,2.8449465006019636e-16,1.4210854715202004e-14,9.693522803355793e-27,2.8449465006019636e-16,0.0,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,True,0.0,0.004543637549416404,-0.009087275098832809,-0.004138128233010697,-0.0004055093164057076,0.0,60.92767144809206,117.08455198416613,11.473515068484108,6.88958994952674,1.4538065197733951,True,False,145.72111001369564,27.424767290827084,122.92438919244148,6.907398907213053,0.10542212471029506,direct_charge_manifold_least_squares,0.0010844249420590118,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,1.0502668249991984,2,3.947459643111668e-15,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
1.0,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.25,0.0,6.462348535570529e-27,9.693522803355793e-27,0.0,3.2526065174565133e-19,7.632783294297951e-17,0.0,True,3.469446951953614e-17,1.734723475976807e-17,8.881784197001252e-16,0.0,e6974ef18ba529af427e6cccb568e1cd2d132e3d32eda7cc5995337b4dcb9130,True,True,True,0,10,2.8449465006019636e-16,1.4210854715202004e-14,9.693522803355793e-27,2.8449465006019636e-16,0.0,2.7538735181131813e-12,2.7538735181131813e-16,9.693522803355793e-07,True,0.0,0.004543637549416404,-0.009087275098832809,-0.004138128233010697,-0.0004055093164057076,0.0,60.92767144809206,117.08455198416613,11.473515068484108,6.88958994952674,1.4538065197733951,True,False,145.72111001369564,27.424767290827084,122.92438919244148,6.907398907213053,0.10542212471029506,direct_charge_manifold_least_squares,0.0010844249420590118,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,1.0592783879983472,2,8.881784197001252e-16,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.1,0.0,4.52364397489937e-26,9.693522803355793e-27,0.0,3.2526065174565133e-19,4.2327252813834093e-16,0.0,True,1.0408340855860843e-17,4.839878497975292e-16,0.0,0.0,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273,True,True,True,0,10,2.220446049250313e-16,2.842170943040401e-14,4.52364397489937e-26,2.1510571102112408e-16,0.0,5.160802341031001e-13,5.160802341031001e-17,4.839878497975292e-06,True,0.0,0.003693767152048536,-0.007387534304097072,-0.003370504287660141,-0.0003232628643883948,0.0,60.16517998846994,119.71417088058394,11.4817079237733,7.145211538736709,1.5406979460822183,True,False,145.7387542940418,27.586004324867183,122.75820248775595,6.898587616712714,0.10545061694739667,direct_charge_manifold_least_squares,0.0010901233894793333,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,1.150513808001051,2,2.220446049250313e-15,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.25,0.0,6.462348535570529e-27,1.6155871338926322e-26,0.0,1.0842021724855044e-19,2.3505503099485736e-16,0.0,True,2.688821387764051e-17,6.158268339717665e-17,0.0,0.0,c222422f0828449ccfc9592654ca2a6795fff14df998538ee67a5daf05c83802,True,True,True,0,10,1.942890293094024e-16,1.4210854715202004e-14,1.6155871338926322e-26,4.0766001685454967e-17,0.0,5.160802341031001e-13,5.160802341031001e-17,2.3505503099485736e-06,True,0.0,0.0036937671520486035,-0.007387534304097207,-0.0033705042876602032,-0.0003232628643884005,0.0,60.165179988469916,119.714170880584,11.481707923773298,7.145211538736716,1.5406979460822208,True,False,145.73875429404183,27.586004324867183,122.75820248775595,6.898587616712705,0.10545061694739667,direct_charge_manifold_least_squares,0.0010901233894793333,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,previous_routed_endpoint,1.4249538940002822,2,3.947459643111668e-15,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,6c634251c09a6a06d697aa7a3b4ec20d4ee69db039537df1506c22d38a561e5a,True,[],True,0.5,0.0,4.52364397489937e-26,9.693522803355793e-27,0.0,3.2526065174565133e-19,4.2327252813834093e-16,0.0,True,1.0408340855860843e-17,4.839878497975292e-16,0.0,0.0,f92bb6ae66c5f9ef636c8500e1ad77fc5c5dfb39ed7dd40382cedd4a50f7a273,True,True,True,0,10,2.220446049250313e-16,2.842170943040401e-14,4.52364397489937e-26,2.1510571102112408e-16,0.0,5.160802341031001e-13,5.160802341031001e-17,4.839878497975292e-06,True,0.0,0.003693767152048536,-0.007387534304097072,-0.003370504287660141,-0.0003232628643883948,0.0,60.16517998846994,119.71417088058394,11.4817079237733,7.145211538736709,1.5406979460822183,True,False,145.7387542940418,27.586004324867183,122.75820248775595,6.898587616712714,0.10545061694739667,direct_charge_manifold_least_squares,0.0010901233894793333,REST,True,0.058,R01,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,True,AE4NA05,True,inherited_saved_rest,1.5100747519991273,2,9.86864910777917e-15,True,3dee3b4d115b697613025c5e2a269ca668f01aab05d6602dd7d7b1d7dbc186b6
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.1,0.0,9.693522803355793e-27,6.462348535570529e-27,0.0,1.0842021724855044e-19,1.48318857196017e-16,1.3500311979441904e-13,True,5.117434254131581e-17,1.1015494072452725e-16,8.881784197001252e-16,0.0,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d,True,True,True,0,10,2.498001805406602e-16,1.4210854715202004e-14,9.693522803355793e-27,1.0842021724855044e-16,0.0,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,True,0.0,0.0032021005965370665,-0.006404201193074133,-0.0030188980531582303,-0.0001832025433788363,0.0,66.55841659998501,129.89634720086622,7.882790595702099,7.350372538853184,1.7406182989775274,True,False,146.18716874120105,30.52445718053359,119.83803943082046,6.86118154903619,0.106051109533189,direct_charge_manifold_least_squares,0.0012102219066377985,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,inherited_saved_rest,0.8421680759984156,2,4.679219974453494e-12,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.1,0.0,6.462348535570529e-27,9.693522803355793e-27,0.0,0.0,1.214306433183765e-16,0.0,True,1.0408340855860843e-17,3.382710778154774e-17,0.0,0.0,2aa0d60488f93247dd8acbcf0e5143ed7d1a0eb797b1c30cf2013bc318b389a2,True,True,True,0,10,2.8796409701215e-16,2.842170943040401e-14,9.693522803355793e-27,2.8796409701215e-16,0.0,5.650861722994449e-12,5.650861722994449e-16,1.214306433183765e-06,True,0.0,0.003930022998732519,-0.007860045997465037,-0.0037017763906693956,-0.0002282466080631232,0.0,67.1477228791764,127.84110149585189,7.882512261148529,7.149021356858596,1.6036487443659515,True,False,146.1769892484026,30.39894703629693,119.9680820802245,6.868799116940348,0.10602882133433343,direct_charge_manifold_least_squares,0.0012057642668666852,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,previous_routed_endpoint,1.474535143999674,2,5.329070518200752e-14,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
0.05,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.25,0.0,9.693522803355793e-27,6.462348535570529e-27,0.0,1.0842021724855044e-19,1.48318857196017e-16,1.3500311979441904e-13,True,5.117434254131581e-17,1.1015494072452725e-16,8.881784197001252e-16,0.0,502ac3834ee7d41431d453678dd43cdf8edc52acab7e7de6bcec1fdb04fa719d,True,True,True,0,10,2.498001805406602e-16,1.4210854715202004e-14,9.693522803355793e-27,1.0842021724855044e-16,0.0,8.116337463226486e-12,8.116337463226486e-16,0.00013500311979441904,True,0.0,0.0032021005965370665,-0.006404201193074133,-0.0030188980531582303,-0.0001832025433788363,0.0,66.55841659998501,129.89634720086622,7.882790595702099,7.350372538853184,1.7406182989775274,True,False,146.18716874120105,30.52445718053359,119.83803943082046,6.86118154903619,0.106051109533189,direct_charge_manifold_least_squares,0.0012102219066377985,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,inherited_saved_rest,1.263591851999081,2,4.4211548002850683e-13,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
1.0,49ec92ce13600c33d7b0b57232678b1604f35861c23ea0d24b201c5b6ba089a7,True,[],True,0.25,0.0,9.693522803355793e-27,0.0,0.0,0.0,9.8879238130678e-17,0.0,True,1.214306433183765e-17,6.071532165918825e-17,0.0,0.0,40f4aab9d544ab4482a726b605301dce7afc0b5a4fff1a9df36c27242e9db40b,True,True,True,0,10,1.1535911115245767e-15,1.4210854715202004e-14,9.693522803355793e-27,1.1535911115245767e-15,0.0,3.196228004487267e-12,3.196228004487267e-16,9.8879238130678e-07,True,0.0,0.003930022998732102,-0.007860045997464205,-0.003701776390669003,-0.0002282466080630991,0.0,67.14772287917647,127.84110149585173,7.882512261148523,7.149021356858574,1.60364874436595,True,False,146.17698924840258,30.398947036296935,119.96808208022448,6.8687991169403215,0.10602882133433343,direct_charge_manifold_least_squares,0.0012057642668666852,REST,True,0.058,R02,2e-05,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,True,AE4NA20,True,previous_routed_endpoint,1.5932689740002388,2,4.0954893797283555e-14,True,f991d0148916efa3845cc8ee9de64371385aedaa78ce99ce59d835f1df66a7fd
