inventory_parameter,parameter,active_value,classification,AE4_alkalinity_demand_elasticity_step_disagreement,AE4_alkalinity_demand_log_elasticity,AE4_alkalinity_demand_per_log_parameter,NBC_alkalinity_share_elasticity_step_disagreement,NBC_alkalinity_share_log_elasticity,NBC_alkalinity_share_per_log_parameter,NHE_physiological_upper_elasticity_step_disagreement,NHE_physiological_upper_log_elasticity,NHE_physiological_upper_per_log_parameter,WT_H_concentration_log_elasticity,WT_Q_elasticity_step_disagreement,WT_Q_log_elasticity,WT_Q_per_log_parameter,WT_pH_elasticity_step_disagreement,WT_pH_log_elasticity,WT_pH_per_log_parameter,WT_slowest_decay_elasticity_step_disagreement,WT_slowest_decay_log_elasticity,WT_slowest_decay_per_log_parameter,all_nearby_roots_physiological,chloride_compensation_gain_elasticity_step_disagreement,chloride_compensation_gain_log_elasticity,chloride_compensation_gain_per_log_parameter,interval_status,inventory_path,max_IFT_relative_error,noNBC_AE4_capacity_upper_elasticity_step_disagreement,noNBC_AE4_capacity_upper_log_elasticity,noNBC_AE4_capacity_upper_per_log_parameter,noNBC_capacity_gap_elasticity_step_disagreement,noNBC_capacity_gap_log_elasticity,noNBC_capacity_gap_per_log_parameter,noNBC_capacity_to_current_demand_elasticity_step_disagreement,noNBC_capacity_to_current_demand_log_elasticity,noNBC_capacity_to_current_demand_per_log_parameter,noNBC_observed_support_share_elasticity_step_disagreement,noNBC_observed_support_share_log_elasticity,noNBC_observed_support_share_per_log_parameter,null_deficit_percentage_points_per_log_parameter,null_slowest_decay_elasticity_step_disagreement,null_slowest_decay_log_elasticity,null_slowest_decay_per_log_parameter,null_stationary_deficit_elasticity_step_disagreement,null_stationary_deficit_log_elasticity,null_stationary_deficit_per_log_parameter,step_absolute_max_error
nbc.capacity_fmol_s,NBC_capacity,0.11570913197464398,WT_architecture_derived,5.7830612210042676e-08,0.6034347789855279,0.09060264955595976,5.629978105009404e-09,0.05423847190710115,0.05178771925717918,0.0,0.0,0.0,-0.1492813114042869,1.936081283599975e-09,0.01992262124809102,3.1558769081297885e-05,4.952740630696918e-10,0.009195531470246448,0.06483204979416278,7.166274868364128e-08,0.10701011008617024,37.006083642438625,True,3.713706859071973e-09,-0.06437540557142463,-0.05980544321770864,No justified physiological uncertainty interval; local analysis only.,nbc.capacity_fmol_s,1.9448769416410992e-06,0.0,0.0,0.0,1.3756513019663515e-07,1.435426338473145,0.04530132477797988,6.070071044942441e-08,-0.6034348184959555,-0.3497585785026125,1.1894463730978392e-07,-1.1461322937661318,-0.051787719258011844,1.9725572433422804,7.42117552443876e-08,-0.1341685573789432,-61.70627072390289,2.0706102228415444e-07,2.0847747821938873,0.01972557181106893,3.4131176107621286e-05
ae4.carrier_amount_fmol,AE4_carrier,0.1501264265070657,inherited_effective_setting,1.4626752463766807e-08,0.33657320504879745,0.05053474743074715,9.007337076448368e-10,-0.011570808500210984,-0.011047984228129692,0.0,0.0,0.0,0.16684741528695524,2.847963453550923e-10,0.0008113708124309176,1.2852658186866817e-06,3.9581612772859514e-10,-0.010277580371958264,-0.07246091177894491,6.580768144472702e-08,-0.06396804772364947,-22.121339026739406,True,6.445110140146868e-07,0.023387287377725084,0.021727041171537564,No justified physiological uncertainty interval; local analysis only.,ae4.carrier_amount_fmol,4.4693033533355176e-08,0.0,0.0,0.0,3.479352941524999e-08,0.8006267788601444,0.025267373715373576,6.140061813619007e-08,-0.33657323039124093,-0.1950821712891626,1.8953713432641695e-08,0.24450683837561937,0.011047984226020269,0.08036937483757531,0.0,0.0,0.0,3.0015135862798124e-08,0.08494155063476387,0.0008036938431432716,2.2757518536309362e-05
nkcc.alpha_eff_fmol_s,NKCC_scale,0.017334746894096052,WT_constraint_derived,3.6176829497487034e-10,-0.05070215834806424,-0.0076126700755685395,5.732417451350991e-11,-0.0018215964984797978,-0.001739288087332369,0.0,0.0,0.0,0.0035874775878322533,2.20164480678617e-09,0.05536085770101728,8.769531391339402e-05,4.150904331208533e-11,-0.0002209838311868577,-0.0015580217203471358,1.114218284668189e-07,0.19014719561232257,65.75643198141279,True,2.4181268230427785e-07,0.06404177152867761,0.05949549360850792,No justified physiological uncertainty interval; local analysis only.,nkcc1.alpha_eff_fmol_s,7.243534676277884e-08,0.0,0.0,0.0,8.605598436080611e-10,-0.12060825137159173,-0.0038063350377842697,6.452214129365496e-10,0.05070215801246688,0.029387622606291686,1.033045949793642e-09,0.03849279837811001,0.0017392880793110077,-1.413275183953279,1.3141724213898558e-07,0.14691450271807416,67.56833534689122,6.606732700370791e-08,-1.4936755865224425,-0.014132752034434759,6.04408967319614e-05
homeostasis.nhe1_cha_carrier_amount_fmol,NHE_carrier,2.339370005697548e-05,WT_constraint_derived,2.8200180581715114e-10,0.011435869085444705,0.0017170373256547578,5.035341536120784e-10,-0.01953325581557737,-0.018650650226437193,1.2500004891729204e-07,1.0000000416666266,0.08202591291242567,-0.1631106886924519,9.554811298142486e-11,-0.003261064503361889,-5.165745026181057e-06,1.439274111807511e-10,0.01004740291062837,0.070838072038571,1.4905506541789485e-07,-0.014727624639100075,-5.093086146814585,True,2.5760981408269323e-07,0.007678906379371311,0.0071337865038545445,No justified physiological uncertainty interval; local analysis only.,parameters.homeostasis.nhe1_cha_carrier_amount_fmol,6.300363337234206e-08,1.1781827686554865e-07,0.942545885342772,0.041012956456212835,1.6311390750555195e-07,-1.272341104762218,-0.040154437793385456,1.1376861535531249e-07,0.9311100148132595,0.5396833348502161,1.3097508471677574e-08,0.4127641253317618,0.018650650329569973,-0.21694031399143868,5.7474430072143504e-08,-0.027430704551945607,-12.615820832365898,1.4227268269602315e-08,-0.2292819135225316,-0.0021694030879482185,5.1546010126912734e-05
membranes.nak_capacity_fmol_s,pump_capacity,0.08,effective_assumption,1.8776421514322197e-07,0.19921647522491165,0.029911336103166652,4.951215693807347e-09,0.01564606872522889,0.014939104774347456,0.0,0.0,0.0,-0.2777207617878914,1.5526691559054152e-07,0.5259303363917335,0.0008331089484836952,5.97383790100377e-09,0.017107234980488863,0.12061259435444871,1.851172612858099e-06,-1.5221967065372206,-526.4038939591842,True,2.6332972692064474e-07,-0.27336244394362536,-0.25395664654859207,No justified physiological uncertainty interval; local analysis only.,parameters.membranes.nak_capacity_fmol_s,5.229586642844779e-07,0.0,0.0,0.0,4.466459495298378e-07,0.47388812437421524,0.014955668051583326,2.65904584101405e-07,-0.19921650127165727,-0.11546844524601418,1.044624909896874e-07,-0.3306226004973091,-0.01493910476830368,4.384315604361766,2.166516508184058e-06,-0.7382262046675868,-339.5220678421538,3.2269673863063187e-06,4.633737809124885,0.04384316650807296,0.0009964156788555556
membranes.g_cl_apical_S,CaCC_conductance,3.14e-08,effective_assumption,1.8541318337240417e-10,-0.005255714691362643,-0.0007891187132902377,8.546301879803201e-12,-0.00031087411616813755,-0.0002968273420389522,0.0,0.0,0.0,0.012719247066520348,3.8224036287060416e-09,0.03246965408122938,5.143411113120097e-05,6.059438492598799e-11,-0.0007834888682316573,-0.005523898814953909,3.133247089214747e-08,0.008273646920818948,2.861180777529171,True,5.26854786301303e-07,0.011046803602537228,0.01026259919800765,No justified physiological uncertainty interval; local analysis only.,parameters.membranes.g_cl_apical_S,2.1837939645577872e-07,0.0,0.0,0.0,4.4105340988190356e-10,-0.012502082342958767,-0.0003945593566451189,1.7037982686865398e-10,0.005255714686347867,0.0030462797991903656,6.38455260334037e-10,0.006569190271619298,0.0002968273238521113,-0.20925306798623144,2.3709083793102426e-08,-0.01168499335689211,-5.374115795632406,1.0050024967352068e-08,-0.22115735760816382,-0.0020925307502306367,1.090418777494051e-05
geometry.cell_buffer_total_fmol,buffer_pool,30.0,effective_assumption,8.318637339738972e-12,-0.0007860942992540534,-0.00011802804344984708,4.185943777862793e-12,0.000316956127713974,0.0003026345393175589,0.0,0.0,0.0,-0.0032136238808643885,1.0403519465026201e-11,-0.001574868327282508,-2.4946971211893543e-06,1.1337826701328315e-12,0.0001979552089412629,0.001395659118371917,2.031047796882696e-07,0.3085553990375931,106.70418800538073,True,1.0740590441786958e-07,0.009503788263064193,0.008829121374454019,No justified physiological uncertainty interval; local analysis only.,parameters.geometry.cell_buffer_total_fmol,6.104805193153012e-06,0.0,0.0,0.0,1.9788039326705545e-11,-0.001869929445514973,-5.901402172492354e-05,8.523779983873076e-12,0.000786094299393248,0.00045563036188411843,2.4954655394896216e-11,-0.006697711711574117,-0.0003026345350154447,-0.19520434175244653,2.005564645611147e-07,0.40166595184073417,184.73261134391805,4.1068403252460293e-10,-0.20630940581603238,-0.0019520434698661049,9.223913366440684e-05
water.apical_hydraulic_pL_s_mOsm,water_apical,0.00432,published_model_conversion,1.7561567717226717e-12,-0.00010740556267732175,-1.6126396579219104e-05,1.0290445120579366e-11,-1.5815767654569238e-06,-1.510113589731077e-06,0.0,0.0,0.0,0.00019150023427575108,1.7685983090544543e-10,0.0021294931561359086,3.373260071444506e-06,5.668913350664157e-13,-1.1796162628908487e-05,-8.316749502913865e-05,5.446516836131553e-09,-3.7397948738743276e-05,-0.012932905292473151,True,3.814709694942091e-07,0.0002238922397196798,0.00020799829547613058,No justified physiological uncertainty interval; local analysis only.,parameters.water.apical_hydraulic_pL_s_mOsm,1.3055343548949836e-07,0.0,0.0,0.0,4.17747496897117e-12,-0.0002554920248792179,-8.063198289609552e-06,1.7239105585361279e-12,0.00010740556264621695,6.225364490575203e-05,2.0347642091223066e-11,3.342098785309264e-05,1.510119508607577e-06,-0.0033664391082848487,1.682717889010972e-08,-0.0003525869501046509,-0.16216039153960082,3.8134945877284556e-10,-0.003557953958140902,-3.366439238483565e-05,7.73908936935186e-06
regulation.tau_ae4_s,AE4_tau,30.0,effective_assumption,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,No justified physiological uncertainty interval; local analysis only.,regulation.ae4_regulatory_model.tau_activation_s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regulation.fully_activated_increment,AE4_gain,0.25,effective_assumption,1.6665003470610406e-09,0.06731464254290284,0.010106949716343072,1.019742414773797e-10,-0.0023141617990862775,-0.0022095969401947357,0.0,0.0,0.0,0.03336948297742395,2.6214131283585757e-11,0.00016227413508112303,2.5705312032588135e-07,5.826383165960383e-11,-0.0020555161202720582,-0.014492182321059716,8.895689845341618e-08,-0.012793506242214007,-4.424232081419177,True,1.9281984761117766e-07,0.004677672713440333,0.004345608192624084,No justified physiological uncertainty interval; local analysis only.,regulation.ae4_regulatory_model.gain.fully_activated_increment,4.646746517117339e-08,0.0,0.0,0.0,3.964203878450011e-09,0.1601253594190085,0.005053474858171536,4.440027416318605e-10,-0.06731464183938198,-0.03901643180093117,2.1791940761924597e-09,0.048901369662681556,0.002209596935011382,0.01607387547914243,0.0,0.0,0.0,2.7515830179148397e-09,0.016988307252164547,0.00016073874142819022,3.076294774473354e-05
