ae4_expression,coordinate,dQ_de
1.0,na_i_fmol,-0.0
1.0,k_i_fmol,-0.0
1.0,cl_i_fmol,-0.0
1.0,tic_i_fmol,-0.0
1.0,volume_i_pL,-0.0
1.0,na_l_fmol,0.0
1.0,k_l_fmol,-0.0
1.0,cl_l_fmol,0.0
1.0,tic_l_fmol,-0.0
1.0,volume_l_pL,1.2852655675318627e-06
1.0,ae4_effective_activation_fraction,-0.0
0.5,na_i_fmol,-0.0
0.5,k_i_fmol,-0.0
0.5,cl_i_fmol,-0.0
0.5,tic_i_fmol,-0.0
0.5,volume_i_pL,-0.0
0.5,na_l_fmol,0.0
0.5,k_l_fmol,-0.0
0.5,cl_l_fmol,0.0
0.5,tic_l_fmol,-0.0
0.5,volume_l_pL,9.597041144465749e-06
0.5,ae4_effective_activation_fraction,0.0
0.05,na_i_fmol,-0.0
0.05,k_i_fmol,-0.0
0.05,cl_i_fmol,-0.0
0.05,tic_i_fmol,-0.0
0.05,volume_i_pL,-0.0
0.05,na_l_fmol,0.0
0.05,k_l_fmol,-0.0
0.05,cl_l_fmol,0.0
0.05,tic_l_fmol,-0.0
0.05,volume_l_pL,4.410722839594568e-05
0.05,ae4_effective_activation_fraction,-0.0
