panel,n_observations,rank,sigma_min,sigma_max,condition_number,determinant
Q_star,1,1,0.03492161281696727,0.03492161281696727,inf,nan
Na_i,1,1,0.0039045347636494803,0.0039045347636494803,inf,nan
K_i,1,1,0.039398162627791604,0.039398162627791604,inf,nan
Cl_i,1,1,0.06615447193904853,0.06615447193904853,inf,nan
HCO3_i,1,1,0.10809336948346523,0.10809336948346523,inf,nan
volume_star,1,1,0.02366220307677131,0.02366220307677131,inf,nan
Q_star+Na_i,2,2,0.002949698583367003,0.03501519258444829,11.870769705723415,-0.00010328426396266997
Q_star+K_i,2,2,0.02764208566611755,0.04480680037908428,1.6209630821746015,-0.0012385534145032751
Q_star+Cl_i,2,2,0.0067674101316495565,0.07449923059591006,11.008528986221036,0.0005041668479348593
Q_star+HCO3_i,2,2,0.01954719288968808,0.11189996790955947,5.724605499165619,-0.0021873302570780667
Q_star+volume_star,2,2,0.020518807519863107,0.03685644359060364,1.7962273662796915,-0.0007562502719022883
Na_i+K_i,2,2,0.0035798369866588517,0.039428991583800505,11.014186324891998,-0.00014114936241834945
Na_i+Cl_i,2,2,0.0034412781458675293,0.06618018701981494,19.231280999266986,0.00022774443128071543
Na_i+HCO3_i,2,2,0.0038875338680019102,0.10809398224894212,27.80528374007442,-0.0004202190169199596
Na_i+volume_star,2,2,0.003515816888487373,0.023723074795935283,6.7475285398443425,-8.340598701439835e-05
K_i+Cl_i,2,2,0.02855768937414475,0.07150585817672658,2.5039090957220713,0.002042042086242607
K_i+HCO3_i,2,2,0.01804081481295551,0.11362623264730506,6.298287179673699,-0.0020499098210838298
K_i+volume_star,2,2,0.0007251127998755972,0.045952032428606855,63.372253856904116,3.332040689428137e-05
Cl_i+HCO3_i,2,2,0.02221630876116533,0.12476788973470643,5.6160495011126175,-0.0027718819618252704
Cl_i+volume_star,2,2,0.018603625303176583,0.06775115598688876,3.641825444383692,-0.001260417119837147
HCO3_i+volume_star,2,2,0.011912594497124089,0.11000984716416251,9.234751270239311,0.0013105026999572654
