ae2_normalized_cycle_rate,ae4_normalized_cycle_rate,A_shared_chloride_cycles,B_bicarbonate_cycles,ae4_fraction_when_A_positive
0.0,0.0,0.0,0.0,
0.0,0.025,0.025,0.05,1.0
0.0,0.05,0.05,0.1,1.0
0.0,0.07500000000000001,0.07500000000000001,0.15000000000000002,1.0
0.0,0.1,0.1,0.2,1.0
0.0,0.125,0.125,0.25,1.0
0.0,0.15000000000000002,0.15000000000000002,0.30000000000000004,1.0
0.0,0.17500000000000002,0.17500000000000002,0.35000000000000003,1.0
0.0,0.2,0.2,0.4,1.0
0.0,0.225,0.225,0.45,1.0
0.0,0.25,0.25,0.5,1.0
0.0,0.275,0.275,0.55,1.0
0.0,0.30000000000000004,0.30000000000000004,0.6000000000000001,1.0
0.0,0.325,0.325,0.65,1.0
0.0,0.35000000000000003,0.35000000000000003,0.7000000000000001,1.0
0.0,0.375,0.375,0.75,1.0
0.0,0.4,0.4,0.8,1.0
0.0,0.42500000000000004,0.42500000000000004,0.8500000000000001,1.0
0.0,0.45,0.45,0.9,1.0
0.0,0.47500000000000003,0.47500000000000003,0.9500000000000001,1.0
0.0,0.5,0.5,1.0,1.0
0.0,0.525,0.525,1.05,1.0
0.0,0.55,0.55,1.1,1.0
0.0,0.5750000000000001,0.5750000000000001,1.1500000000000001,1.0
0.0,0.6000000000000001,0.6000000000000001,1.2000000000000002,1.0
0.0,0.625,0.625,1.25,1.0
0.0,0.65,0.65,1.3,1.0
0.0,0.675,0.675,1.35,1.0
0.0,0.7000000000000001,0.7000000000000001,1.4000000000000001,1.0
0.0,0.7250000000000001,0.7250000000000001,1.4500000000000002,1.0
0.0,0.75,0.75,1.5,1.0
0.0,0.775,0.775,1.55,1.0
0.0,0.8,0.8,1.6,1.0
0.0,0.8250000000000001,0.8250000000000001,1.6500000000000001,1.0
0.0,0.8500000000000001,0.8500000000000001,1.7000000000000002,1.0
0.0,0.875,0.875,1.75,1.0
0.0,0.9,0.9,1.8,1.0
0.0,0.925,0.925,1.85,1.0
0.0,0.9500000000000001,0.9500000000000001,1.9000000000000001,1.0
0.0,0.9750000000000001,0.9750000000000001,1.9500000000000002,1.0
0.0,1.0,1.0,2.0,1.0
0.025,0.0,0.025,0.025,0.0
0.025,0.025,0.05,0.07500000000000001,0.5
0.025,0.05,0.07500000000000001,0.125,0.6666666666666666
0.025,0.07500000000000001,0.1,0.17500000000000002,0.7500000000000001
0.025,0.1,0.125,0.225,0.8
0.025,0.125,0.15,0.275,0.8333333333333334
0.025,0.15000000000000002,0.17500000000000002,0.32500000000000007,0.8571428571428572
0.025,0.17500000000000002,0.2,0.37500000000000006,0.875
0.025,0.2,0.225,0.42500000000000004,0.888888888888889
0.025,0.225,0.25,0.47500000000000003,0.9
0.025,0.25,0.275,0.525,0.9090909090909091
0.025,0.275,0.30000000000000004,0.5750000000000001,0.9166666666666666
0.025,0.30000000000000004,0.32500000000000007,0.6250000000000001,0.923076923076923
0.025,0.325,0.35000000000000003,0.675,0.9285714285714285
0.025,0.35000000000000003,0.37500000000000006,0.7250000000000001,0.9333333333333332
0.025,0.375,0.4,0.775,0.9375
0.025,0.4,0.42500000000000004,0.8250000000000001,0.9411764705882353
0.025,0.42500000000000004,0.45000000000000007,0.8750000000000001,0.9444444444444444
0.025,0.45,0.47500000000000003,0.925,0.9473684210526315
0.025,0.47500000000000003,0.5,0.9750000000000001,0.9500000000000001
0.025,0.5,0.525,1.025,0.9523809523809523
0.025,0.525,0.55,1.075,0.9545454545454545
0.025,0.55,0.5750000000000001,1.125,0.9565217391304347
0.025,0.5750000000000001,0.6000000000000001,1.175,0.9583333333333333
0.025,0.6000000000000001,0.6250000000000001,1.225,0.96
0.025,0.625,0.65,1.275,0.9615384615384615
0.025,0.65,0.675,1.325,0.9629629629629629
0.025,0.675,0.7000000000000001,1.375,0.9642857142857143
0.025,0.7000000000000001,0.7250000000000001,1.425,0.9655172413793103
0.025,0.7250000000000001,0.7500000000000001,1.475,0.9666666666666667
0.025,0.75,0.775,1.525,0.9677419354838709
0.025,0.775,0.8,1.575,0.96875
0.025,0.8,0.8250000000000001,1.625,0.9696969696969697
0.025,0.8250000000000001,0.8500000000000001,1.675,0.9705882352941176
0.025,0.8500000000000001,0.8750000000000001,1.725,0.9714285714285714
0.025,0.875,0.9,1.775,0.9722222222222222
0.025,0.9,0.925,1.825,0.9729729729729729
0.025,0.925,0.9500000000000001,1.875,0.9736842105263158
0.025,0.9500000000000001,0.9750000000000001,1.925,0.9743589743589743
0.025,0.9750000000000001,1.0,1.975,0.9750000000000001
0.025,1.0,1.025,2.025,0.9756097560975611
0.05,0.0,0.05,0.05,0.0
0.05,0.025,0.07500000000000001,0.1,0.3333333333333333
0.05,0.05,0.1,0.15000000000000002,0.5
0.05,0.07500000000000001,0.125,0.2,0.6000000000000001
0.05,0.1,0.15000000000000002,0.25,0.6666666666666666
0.05,0.125,0.175,0.3,0.7142857142857143
0.05,0.15000000000000002,0.2,0.35000000000000003,0.7500000000000001
0.05,0.17500000000000002,0.22500000000000003,0.4,0.7777777777777778
0.05,0.2,0.25,0.45,0.8
0.05,0.225,0.275,0.5,0.8181818181818181
0.05,0.25,0.3,0.55,0.8333333333333334
0.05,0.275,0.325,0.6000000000000001,0.8461538461538461
0.05,0.30000000000000004,0.35000000000000003,0.6500000000000001,0.8571428571428572
0.05,0.325,0.375,0.7000000000000001,0.8666666666666667
0.05,0.35000000000000003,0.4,0.7500000000000001,0.875
0.05,0.375,0.425,0.8,0.8823529411764706
0.05,0.4,0.45,0.8500000000000001,0.888888888888889
0.05,0.42500000000000004,0.47500000000000003,0.9000000000000001,0.8947368421052632
0.05,0.45,0.5,0.9500000000000001,0.9
0.05,0.47500000000000003,0.525,1.0,0.9047619047619048
0.05,0.5,0.55,1.05,0.9090909090909091
0.05,0.525,0.5750000000000001,1.1,0.9130434782608695
0.05,0.55,0.6000000000000001,1.1500000000000001,0.9166666666666666
0.05,0.5750000000000001,0.6250000000000001,1.2000000000000002,0.9199999999999999
0.05,0.6000000000000001,0.6500000000000001,1.2500000000000002,0.923076923076923
0.05,0.625,0.675,1.3,0.9259259259259258
0.05,0.65,0.7000000000000001,1.35,0.9285714285714285
0.05,0.675,0.7250000000000001,1.4000000000000001,0.9310344827586207
0.05,0.7000000000000001,0.7500000000000001,1.4500000000000002,0.9333333333333332
0.05,0.7250000000000001,0.7750000000000001,1.5000000000000002,0.9354838709677419
0.05,0.75,0.8,1.55,0.9375
0.05,0.775,0.8250000000000001,1.6,0.9393939393939393
0.05,0.8,0.8500000000000001,1.6500000000000001,0.9411764705882353
0.05,0.8250000000000001,0.8750000000000001,1.7000000000000002,0.9428571428571428
0.05,0.8500000000000001,0.9000000000000001,1.7500000000000002,0.9444444444444444
0.05,0.875,0.925,1.8,0.9459459459459459
0.05,0.9,0.9500000000000001,1.85,0.9473684210526315
0.05,0.925,0.9750000000000001,1.9000000000000001,0.9487179487179487
0.05,0.9500000000000001,1.0,1.9500000000000002,0.9500000000000001
0.05,0.9750000000000001,1.0250000000000001,2.0,0.9512195121951219
0.05,1.0,1.05,2.05,0.9523809523809523
0.07500000000000001,0.0,0.07500000000000001,0.07500000000000001,0.0
0.07500000000000001,0.025,0.1,0.125,0.25
0.07500000000000001,0.05,0.125,0.17500000000000002,0.4
0.07500000000000001,0.07500000000000001,0.15000000000000002,0.22500000000000003,0.5
0.07500000000000001,0.1,0.17500000000000002,0.275,0.5714285714285714
0.07500000000000001,0.125,0.2,0.325,0.625
0.07500000000000001,0.15000000000000002,0.22500000000000003,0.37500000000000006,0.6666666666666666
0.07500000000000001,0.17500000000000002,0.25,0.42500000000000004,0.7000000000000001
0.07500000000000001,0.2,0.275,0.47500000000000003,0.7272727272727273
0.07500000000000001,0.225,0.30000000000000004,0.525,0.7499999999999999
0.07500000000000001,0.25,0.325,0.575,0.7692307692307692
0.07500000000000001,0.275,0.35000000000000003,0.625,0.7857142857142857
0.07500000000000001,0.30000000000000004,0.37500000000000006,0.675,0.8
0.07500000000000001,0.325,0.4,0.7250000000000001,0.8125
0.07500000000000001,0.35000000000000003,0.42500000000000004,0.7750000000000001,0.8235294117647058
0.07500000000000001,0.375,0.45,0.825,0.8333333333333333
0.07500000000000001,0.4,0.47500000000000003,0.875,0.8421052631578947
0.07500000000000001,0.42500000000000004,0.5,0.925,0.8500000000000001
0.07500000000000001,0.45,0.525,0.9750000000000001,0.8571428571428571
0.07500000000000001,0.47500000000000003,0.55,1.0250000000000001,0.8636363636363636
0.07500000000000001,0.5,0.575,1.075,0.8695652173913044
0.07500000000000001,0.525,0.6000000000000001,1.125,0.8749999999999999
0.07500000000000001,0.55,0.625,1.175,0.8800000000000001
0.07500000000000001,0.5750000000000001,0.6500000000000001,1.225,0.8846153846153846
0.07500000000000001,0.6000000000000001,0.675,1.2750000000000001,0.888888888888889
0.07500000000000001,0.625,0.7,1.325,0.8928571428571429
0.07500000000000001,0.65,0.7250000000000001,1.375,0.8965517241379309
0.07500000000000001,0.675,0.75,1.425,0.9
0.07500000000000001,0.7000000000000001,0.7750000000000001,1.475,0.9032258064516129
0.07500000000000001,0.7250000000000001,0.8,1.5250000000000001,0.9062500000000001
0.07500000000000001,0.75,0.825,1.575,0.9090909090909092
0.07500000000000001,0.775,0.8500000000000001,1.625,0.9117647058823529
0.07500000000000001,0.8,0.875,1.675,0.9142857142857144
0.07500000000000001,0.8250000000000001,0.9000000000000001,1.725,0.9166666666666666
0.07500000000000001,0.8500000000000001,0.925,1.7750000000000001,0.918918918918919
0.07500000000000001,0.875,0.95,1.825,0.9210526315789475
0.07500000000000001,0.9,0.9750000000000001,1.875,0.923076923076923
0.07500000000000001,0.925,1.0,1.925,0.925
0.07500000000000001,0.9500000000000001,1.0250000000000001,1.975,0.9268292682926829
0.07500000000000001,0.9750000000000001,1.05,2.0250000000000004,0.9285714285714286
0.07500000000000001,1.0,1.075,2.075,0.9302325581395349
0.1,0.0,0.1,0.1,0.0
0.1,0.025,0.125,0.15000000000000002,0.2
0.1,0.05,0.15000000000000002,0.2,0.3333333333333333
0.1,0.07500000000000001,0.17500000000000002,0.25,0.4285714285714286
0.1,0.1,0.2,0.30000000000000004,0.5
0.1,0.125,0.225,0.35,0.5555555555555556
0.1,0.15000000000000002,0.25,0.4,0.6000000000000001
0.1,0.17500000000000002,0.275,0.45000000000000007,0.6363636363636364
0.1,0.2,0.30000000000000004,0.5,0.6666666666666666
0.1,0.225,0.325,0.55,0.6923076923076923
0.1,0.25,0.35,0.6,0.7142857142857143
0.1,0.275,0.375,0.65,0.7333333333333334
0.1,0.30000000000000004,0.4,0.7000000000000001,0.7500000000000001
0.1,0.325,0.42500000000000004,0.75,0.7647058823529411
0.1,0.35000000000000003,0.45000000000000007,0.8,0.7777777777777778
0.1,0.375,0.475,0.85,0.7894736842105263
0.1,0.4,0.5,0.9,0.8
0.1,0.42500000000000004,0.525,0.9500000000000001,0.8095238095238095
0.1,0.45,0.55,1.0,0.8181818181818181
0.1,0.47500000000000003,0.5750000000000001,1.05,0.8260869565217391
0.1,0.5,0.6,1.1,0.8333333333333334
0.1,0.525,0.625,1.1500000000000001,0.8400000000000001
0.1,0.55,0.65,1.2000000000000002,0.8461538461538461
0.1,0.5750000000000001,0.675,1.2500000000000002,0.8518518518518519
0.1,0.6000000000000001,0.7000000000000001,1.3000000000000003,0.8571428571428572
0.1,0.625,0.725,1.35,0.8620689655172414
0.1,0.65,0.75,1.4000000000000001,0.8666666666666667
0.1,0.675,0.775,1.4500000000000002,0.8709677419354839
0.1,0.7000000000000001,0.8,1.5000000000000002,0.875
0.1,0.7250000000000001,0.8250000000000001,1.5500000000000003,0.8787878787878788
0.1,0.75,0.85,1.6,0.8823529411764706
0.1,0.775,0.875,1.6500000000000001,0.8857142857142858
0.1,0.8,0.9,1.7000000000000002,0.888888888888889
0.1,0.8250000000000001,0.925,1.7500000000000002,0.8918918918918919
0.1,0.8500000000000001,0.9500000000000001,1.8000000000000003,0.8947368421052632
0.1,0.875,0.975,1.85,0.8974358974358975
0.1,0.9,1.0,1.9000000000000001,0.9
0.1,0.925,1.0250000000000001,1.9500000000000002,0.9024390243902438
0.1,0.9500000000000001,1.05,2.0,0.9047619047619048
0.1,0.9750000000000001,1.0750000000000002,2.0500000000000003,0.9069767441860465
0.1,1.0,1.1,2.1,0.9090909090909091
0.125,0.0,0.125,0.125,0.0
0.125,0.025,0.15,0.175,0.16666666666666669
0.125,0.05,0.175,0.225,0.28571428571428575
0.125,0.07500000000000001,0.2,0.275,0.37500000000000006
0.125,0.1,0.225,0.325,0.4444444444444445
0.125,0.125,0.25,0.375,0.5
0.125,0.15000000000000002,0.275,0.42500000000000004,0.5454545454545455
0.125,0.17500000000000002,0.30000000000000004,0.47500000000000003,0.5833333333333333
0.125,0.2,0.325,0.525,0.6153846153846154
0.125,0.225,0.35,0.575,0.6428571428571429
0.125,0.25,0.375,0.625,0.6666666666666666
0.125,0.275,0.4,0.675,0.6875
0.125,0.30000000000000004,0.42500000000000004,0.7250000000000001,0.7058823529411765
0.125,0.325,0.45,0.775,0.7222222222222222
0.125,0.35000000000000003,0.47500000000000003,0.8250000000000001,0.736842105263158
0.125,0.375,0.5,0.875,0.75
0.125,0.4,0.525,0.925,0.7619047619047619
0.125,0.42500000000000004,0.55,0.9750000000000001,0.7727272727272727
0.125,0.45,0.575,1.025,0.782608695652174
0.125,0.47500000000000003,0.6000000000000001,1.0750000000000002,0.7916666666666666
0.125,0.5,0.625,1.125,0.8
0.125,0.525,0.65,1.175,0.8076923076923077
0.125,0.55,0.675,1.225,0.8148148148148149
0.125,0.5750000000000001,0.7000000000000001,1.2750000000000001,0.8214285714285714
0.125,0.6000000000000001,0.7250000000000001,1.3250000000000002,0.8275862068965517
0.125,0.625,0.75,1.375,0.8333333333333334
0.125,0.65,0.775,1.425,0.8387096774193549
0.125,0.675,0.8,1.475,0.84375
0.125,0.7000000000000001,0.8250000000000001,1.5250000000000001,0.8484848484848485
0.125,0.7250000000000001,0.8500000000000001,1.5750000000000002,0.8529411764705882
0.125,0.75,0.875,1.625,0.8571428571428571
0.125,0.775,0.9,1.675,0.8611111111111112
0.125,0.8,0.925,1.725,0.8648648648648649
0.125,0.8250000000000001,0.9500000000000001,1.7750000000000001,0.868421052631579
0.125,0.8500000000000001,0.9750000000000001,1.8250000000000002,0.8717948717948718
0.125,0.875,1.0,1.875,0.875
0.125,0.9,1.025,1.925,0.878048780487805
0.125,0.925,1.05,1.975,0.8809523809523809
0.125,0.9500000000000001,1.0750000000000002,2.0250000000000004,0.883720930232558
0.125,0.9750000000000001,1.1,2.075,0.8863636363636364
0.125,1.0,1.125,2.125,0.8888888888888888
0.15000000000000002,0.0,0.15000000000000002,0.15000000000000002,0.0
0.15000000000000002,0.025,0.17500000000000002,0.2,0.14285714285714285
0.15000000000000002,0.05,0.2,0.25,0.25
0.15000000000000002,0.07500000000000001,0.22500000000000003,0.30000000000000004,0.3333333333333333
0.15000000000000002,0.1,0.25,0.35000000000000003,0.4
0.15000000000000002,0.125,0.275,0.4,0.45454545454545453
0.15000000000000002,0.15000000000000002,0.30000000000000004,0.45000000000000007,0.5
0.15000000000000002,0.17500000000000002,0.32500000000000007,0.5,0.5384615384615384
