path,format,logical_content,manuscript_mapping,source_relation,embedded_chronology,published_2018_relation,inspection
archive/legacy-2017/Figure1.eps,EPS,"Det(Jx2) and Det(Jy2) versus G2","Ae4_Basis figure 1 panel A","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:45:42","no published panel; later reduced-model analysis","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure1-eps-converted-to.pdf,PDF,"Det(Jx2) and Det(Jy2) versus G2","Ae4_Basis figure 1 panel A","epstopdf conversion of Figure1.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel; later reduced-model analysis","rendered and text-extracted"
archive/legacy-2017/Figure2.eps,EPS,"Det(Jx4) and Det(Jy4) versus G4","Ae4_Basis figure 1 panel B","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:36:51","no published panel; later reduced-model analysis","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure2-eps-converted-to.pdf,PDF,"Det(Jx4) and Det(Jy4) versus G4","Ae4_Basis figure 1 panel B","epstopdf conversion of Figure2.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel; later reduced-model analysis","rendered and text-extracted"
archive/legacy-2017/Figure3.eps,EPS,"normalized reduced-model flow Q/Q0 versus normalized exchanger activity; G4-removal branch falls to about 0.76 and G2-removal branch stays about 0.98","Ae4_Basis figure 1 panel E","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:32:37","quantitative steady-summary correspondence to published figure 8's 24% AE4-KO loss; not a duplicate and not a time course","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure3-eps-converted-to.pdf,PDF,"normalized reduced-model flow Q/Q0 versus normalized exchanger activity; G4-removal branch falls to about 0.76 and G2-removal branch stays about 0.98","Ae4_Basis figure 1 panel E","epstopdf conversion of Figure3.eps","Ghostscript 9.10; conversion logged 2017-06-09","quantitative steady-summary correspondence to published figure 8's 24% AE4-KO loss; not a duplicate and not a time course","rendered and text-extracted"
archive/legacy-2017/Figure4.eps,EPS,"normalized reduced states x y z versus G4/G4_0","Ae4_Basis figure 1 panel D","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:34:24","qualitative directional correspondence to published figure 6 AE4-KO states; no direct panel match","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure4-eps-converted-to.pdf,PDF,"normalized reduced states x y z versus G4/G4_0","Ae4_Basis figure 1 panel D","epstopdf conversion of Figure4.eps","Ghostscript 9.10; conversion logged 2017-06-09","qualitative directional correspondence to published figure 6 AE4-KO states; no direct panel match","rendered and text-extracted"
archive/legacy-2017/Figure5.eps,EPS,"normalized reduced states x y z versus G2/G2_0","Ae4_Basis figure 1 panel C","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:35:10","qualitative negligible-AE2 correspondence to published figure 6; no direct panel match","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure5-eps-converted-to.pdf,PDF,"normalized reduced states x y z versus G2/G2_0","Ae4_Basis figure 1 panel C","epstopdf conversion of Figure5.eps","Ghostscript 9.10; conversion logged 2017-06-09","qualitative negligible-AE2 correspondence to published figure 6; no direct panel match","rendered and text-extracted"
archive/legacy-2017/Figure6.eps,EPS,"normalized flow versus exchanger activity for a Hill-model alternative","Ae4_Basis figure 1 panel F","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 11:30:47","no published panel; alternate reduced constitutive model","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure6-eps-converted-to.pdf,PDF,"normalized flow versus exchanger activity for a Hill-model alternative","Ae4_Basis figure 1 panel F","epstopdf conversion of Figure6.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel; alternate reduced constitutive model","rendered and text-extracted"
archive/legacy-2017/Figure7.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to KCaKC near its baseline","Ae4_Basis figure 2 panel A","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 15:08:02","no published panel","DSC metadata and direct converted-PDF render/text"
archive/legacy-2017/Figure7-eps-converted-to.pdf,PDF,"normalized dQ/dG4 and dQ/dG2 sensitivity to KCaKC near its baseline","Ae4_Basis figure 2 panel A","epstopdf conversion of Figure7.eps","Ghostscript 9.10; conversion logged 2017-06-09","no published panel","rendered and text-extracted"
archive/legacy-2017/Figure8.eps,EPS,"normalized dQ/dG4 and dQ/dG2 sensitivity to Ae4 forward coefficient k1 over 50 to 150 percent","Ae4_Basis figure 3 panel C","primary MATLAB vector plot","MATLAB R2014b; created 2017-06-09 13:37:47","no published panel","DSC metadata and direct converted-PDF render/text"
