version,scenario,state_or_balance,raw_rhs_before_hidden_scale,rhs_after_hidden_scale
salivary_7_state,wt,Nal,-9.825473767932635e-15,-9.825473767932635e-11
salivary_7_state,wt,Kl,-4.562322741819003e-16,-4.562322741819003e-12
salivary_7_state,wt,Hi,-8.51098705401121e-17,-8.51098705401121e-13
salivary_7_state,wt,Na,-3.931916637456116e-13,-3.931916637456116e-09
salivary_7_state,wt,K,3.611790986306415e-16,3.6117909863064148e-12
salivary_7_state,wt,Cl,-1.8014289050854481e-12,-1.8014289050854483e-08
salivary_7_state,wt,HCO3,5.239944090381744e-12,5.239944090381744e-08
salivary_7_state,ae2_knockout,Nal,-9.825473767932635e-15,-9.825473767932635e-11
salivary_7_state,ae2_knockout,Kl,-4.562322741819003e-16,-4.562322741819003e-12
salivary_7_state,ae2_knockout,Hi,-8.51098705401121e-17,-8.51098705401121e-13
salivary_7_state,ae2_knockout,Na,-3.931916637456116e-13,-3.931916637456116e-09
salivary_7_state,ae2_knockout,K,3.611790986306415e-16,3.6117909863064148e-12
salivary_7_state,ae2_knockout,Cl,-0.0006807834089318878,-6.807834089318878
salivary_7_state,ae2_knockout,HCO3,0.000680783412370403,6.807834123704031
salivary_7_state,ae4_knockout,Nal,-9.825473767932635e-15,-9.825473767932635e-11
salivary_7_state,ae4_knockout,Kl,-4.562322741819003e-16,-4.562322741819003e-12
salivary_7_state,ae4_knockout,Hi,-8.51098705401121e-17,-8.51098705401121e-13
salivary_7_state,ae4_knockout,Na,0.0013548201607487783,13.548201607487783
salivary_7_state,ae4_knockout,K,3.611790986306415e-16,3.6117909863064148e-12
salivary_7_state,ae4_knockout,Cl,-0.0013548201629433989,-13.548201629433988
salivary_7_state,ae4_knockout,HCO3,0.002709640327523884,27.096403275238842
salivary2_5_state,wt,Hi,-8.51098705401121e-17,-8.51098705401121e-14
salivary2_5_state,wt,Na,-3.931916637456116e-13,-3.931916637456116e-10
salivary2_5_state,wt,K,3.611790986306415e-16,3.611790986306415e-13
salivary2_5_state,wt,Cl,-1.8014289050854481e-12,-1.8014289050854482e-09
salivary2_5_state,wt,HCO3,5.239944090381744e-12,5.239944090381744e-09
salivary2_5_state,ae2_knockout,Hi,-8.51098705401121e-17,-8.51098705401121e-14
salivary2_5_state,ae2_knockout,Na,-3.931916637456116e-13,-3.931916637456116e-10
salivary2_5_state,ae2_knockout,K,3.611790986306415e-16,3.611790986306415e-13
salivary2_5_state,ae2_knockout,Cl,-0.0006807834089318878,-0.6807834089318878
salivary2_5_state,ae2_knockout,HCO3,0.000680783412370403,0.6807834123704031
salivary2_5_state,ae4_knockout,Hi,-8.51098705401121e-17,-8.51098705401121e-14
salivary2_5_state,ae4_knockout,Na,0.0013548201607487783,1.3548201607487782
salivary2_5_state,ae4_knockout,K,3.611790986306415e-16,3.611790986306415e-13
salivary2_5_state,ae4_knockout,Cl,-0.0013548201629433989,-1.354820162943399
salivary2_5_state,ae4_knockout,HCO3,0.002709640327523884,2.709640327523884
