mechanism_id,scenario,activity_scale,calibration_mode,solver_success,solver_message,solver_nfev,solver_cost,solver_optimality,active_bound_count,initial_start_count,initial_start_seed,converged_root_count,distinct_converged_root_count,state,max_abs_raw_rhs,pH_i,cell_volume_pL,cl_i_mM,cl_target_z,pH_target_z,na_i_minus_published_mM,k_i_minus_published_mM,hco3_i_minus_published_mM,volume_minus_published_pL,quantified_rest_gate_pass,knockout_flow_target_read_by_solver,non_ae4_chassis_fingerprint,failure_reason,target_label,genotype_cl_target_mM,genotype_cl_target_SEM_mM,genotype_cl_target_z,genotype_pH_target,genotype_pH_target_SEM,genotype_pH_target_z,genotype_rest_gate_pass,own_control_cl_target_mM,own_control_cl_target_SEM_mM,own_control_cl_target_z,own_control_pH_target,own_control_pH_target_SEM,own_control_pH_target_z
COMMON_AE4_KO_REST,ae4_knockout,0.0,genotype-specific AE4-null seven-equation rest audit; no phenotype target and no parameter fit; deterministic broad 20-start screen,True,`xtol` termination condition is satisfied.,30,1.4908306358607207e-21,1.8944226951107528e-07,0,20,20260827,3,1,"[118.56527670449144, 5.5593461776616655, 65.66070346655056, 21.132282246430893, 123.70751315363782, 48.782215027024655, 58.90444835877707]",5.1608627238296466e-14,7.378473910794061,2.9741782058019446,48.782215027024655,-0.8785233153168974,6.692484439915156,1.1322822464308935,3.7075131536378194,46.90444835877707,1.6741782058019445,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.692 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,primary_AE4_KO_rest,36.5,1.6,7.6763843918904096,6.89,0.02,24.423695539703072,False,,,,,,
C1_AE2_KO_REST,ae2_knockout,18.950260722154685,genotype-specific AE2-null seven-equation rest audit; no phenotype target and no parameter fit; deterministic broad 20-start screen,True,`xtol` termination condition is satisfied.,4063,1.3915224063263122e-19,0.007496679594754162,0,20,20260827,1,1,"[118.66019025286903, 5.588048721526324, 28.608095280383207, 24.013635849340147, 120.93905553003435, 49.52490516299572, 10.15471856229423]",4.0596424725558956e-13,6.914090211279558,1.2958370684494147,49.52490516299572,-0.3833965580028528,0.058431589707971396,4.013635849340147,0.9390555300343522,-1.8452814377057702,-0.004162931550585336,True,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,,primary_AE2_KO_rest_evaluated_on_C1_lineage_chassis,54.5,1.8,-2.7639415761134876,6.95,0.05,-0.7181957744088407,False,53.4,1.8,-2.1528304650023755,6.87,0.01,4.409021127955803
C6_213_near_lower_boundary_AE2_KO_REST,ae2_knockout,3.5123334430984394e-12,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,22,3.3872166572279783e-21,1.72560670907814e-07,0,3,,3,1,"[118.66645361074376, 5.589932450753253, 31.44689567123675, 27.172979824848777, 117.78719929869993, 46.28906433647525, 21.095862735774688]",6.61792130461923e-14,7.07058787381246,1.4244238457354639,46.28906433647525,-2.540623775683168,2.2941124830351454,7.1729798248487775,-2.2128007013000683,9.095862735774688,0.12442384573546383,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.541 SEM from target; WT resting pH is 2.294 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.561630924180417,6.95,0.05,2.4117574762492033,False,53.4,1.8,-3.950519813069305,6.87,0.01,20.058787381246024
C6_213_lower_quartile_AE2_KO_REST,ae2_knockout,3.999847832328592e-12,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,17,2.4374590579789125e-19,1.5590233231891846e-06,0,3,,3,1,"[118.67175694050974, 5.591526451405381, 31.176109758003456, 27.40945325049055, 117.55702841055466, 46.229243484103584, 20.48819256320061]",5.519671793538127e-13,7.063044309817091,1.412158281721412,46.229243484103584,-2.580504343930945,2.186347283101294,7.40945325049055,-2.442971589445335,8.48819256320061,0.11215828172141196,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.581 SEM from target; WT resting pH is 2.186 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.594864731053565,6.95,0.05,2.2608861963418114,False,53.4,1.8,-3.983753619942452,6.87,0.01,19.304430981709064
C6_213_midpoint_AE2_KO_REST,ae2_knockout,4.5574078708944785e-12,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,31,2.094681361311416e-20,1.9714055343421826e-07,0,3,,3,1,"[118.67720464216467, 5.593162894917852, 30.91678916643549, 27.65637840464387, 117.31657654761047, 46.16346454517193, 19.904116442211006]",1.5192330704227867e-13,7.055641336648957,1.4004120528350583,46.16346454517193,-2.6243569698853833,2.080590523556529,7.6563784046438705,-2.6834234523895333,7.904116442211006,0.10041205283505827,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.624 SEM from target; WT resting pH is 2.081 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.6314085860155965,6.95,0.05,2.1128267329791406,False,53.4,1.8,-4.020297474904484,6.87,0.01,18.56413366489571
C6_213_upper_quartile_AE2_KO_REST,ae2_knockout,5.192689165277392e-12,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,28,1.4099982235021037e-20,5.195544552340666e-07,0,3,,3,1,"[118.68278541966691, 5.594838315444845, 30.66906811740698, 27.914049168654625, 117.06553634579885, 46.09113631390028, 19.345739322225672]",1.4032650029063188e-13,7.0484162263306835,1.389191238767565,46.09113631390028,-2.6725757907331484,1.9773746618669055,7.914049168654625,-2.934463654201153,7.345739322225672,0.08919123876756485,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.673 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.671590936722067,6.95,0.05,1.9683245266136673,False,53.4,1.8,-4.0604798256109556,6.87,0.01,17.841622633068344
C6_213_near_upper_boundary_AE2_KO_REST,ae2_knockout,5.913438128291291e-12,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,34,1.5961946180535214e-20,1.0887218605716925e-06,0,3,,3,1,"[118.68848813486052, 5.596549300987033, 30.432920390379806, 28.182763316343564, 116.80359674185513, 46.01170597463212, 18.814724211109205]",1.4919533794433518e-13,7.0414028384056335,1.3784946518290517,46.01170597463212,-2.725529350245253,1.8771834057947625,8.182763316343564,-3.196403258144869,6.814724211109205,0.07849465182905169,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.726 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.715718902982155,6.95,0.05,1.828056768112667,False,53.4,1.8,-4.104607791871042,6.87,0.01,17.14028384056334
C7_213_near_lower_boundary_AE2_KO_REST,ae2_knockout,0.0033524534862201484,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,14,2.4318839727201075e-21,1.6052402883972198e-06,0,3,,3,1,"[118.65700597227682, 5.587090547693689, 31.99341546004328, 26.78615613757266, 118.16279348752508, 46.35804388186204, 22.34081276809335]",4.9393267642183564e-14,7.085526027593906,1.449179097493251,46.35804388186204,-2.4946374120919756,2.507514679912935,6.786156137572661,-1.8372065124749213,10.34081276809335,0.14917909749325098,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.495 SEM from target; WT resting pH is 2.508 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.52330895452109,6.95,0.05,2.7105205518781084,False,53.4,1.8,-3.9121978434099782,6.87,0.01,21.55260275939055
C7_213_lower_quartile_AE2_KO_REST,ae2_knockout,0.0040615154501297,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,16,3.2495162980798886e-20,4.901409033334532e-07,0,3,,3,1,"[118.66947578769755, 5.590840926335553, 31.27982456304739, 27.283939438879997, 117.67983123775068, 46.28071947338209, 20.693456445954556]",2.0385522935322606e-13,7.065654117429918,1.4168561648767124,46.28071947338209,-2.546187017745273,2.2236302489988216,7.283939438879997,-2.320168762249324,8.693456445954556,0.11685616487671235,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.546 SEM from target; WT resting pH is 2.224 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.566266959232171,6.95,0.05,2.31308234859835,False,53.4,1.8,-3.955155848121059,6.87,0.01,19.565411742991756
C7_213_midpoint_AE2_KO_REST,ae2_knockout,0.004924340762545305,candidate-specific AE2-null rest prediction at a frozen KO-blind WT-rest capacity point; three local starts; no genotype target fit,True,`xtol` termination condition is satisfied.,16,1.8688404293173975e-21,1.4533196768669422e-07,0,3,,3,1,"[118.68247084832957, 5.594743903961873, 30.645993750872048, 27.807517939609138, 117.17169330353497, 46.194446222090725, 19.182165183884127]",4.8201046898541544e-14,7.046455773082525,1.388146058401871,46.194446222090725,-2.603702518606184,1.9493681868932125,7.807517939609138,-2.8283066964650345,7.182165183884127,0.08814605840187095,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.604 SEM from target,primary_AE2_KO_rest_candidate_specific_prediction,54.5,1.8,-4.61419654328293,6.95,0.05,1.9291154616504969,False,53.4,1.8,-4.003085432171818,6.87,0.01,17.64557730825249
