target_id,study_year,doi,source_location,evidence_class,system,comparison,protocol,observable,value,value_text,unit,uncertainty,uncertainty_type,n,n_unit,statistics,model_use,strength,notes
AE4_KO_FLOW_REDUCTION,2015,10.1074/jbc.M114.612895,Figure 1A inset and secretion Results,reported_calculation,ex_vivo_mouse_SMG,AE4_KO_vs_littermate_WT,0.3_uM_CCh_plus_5_uM_IPR_10_min,total_saliva_reduction,0.35,,fraction,0.047,SEM,6_per_group,glands_or_mice,Student_t_p_lt_0.05,heldout_validation,high,Must_not_enter_calibration
AE4_KO_FLOW_RATIO,2015,10.1074/jbc.M114.612895,Figure 1A inset and arithmetic,derived_from_reported_measurement,ex_vivo_mouse_SMG,AE4_KO_over_littermate_WT,0.3_uM_CCh_plus_5_uM_IPR_10_min,total_saliva_ratio,0.65,,KO_over_WT,0.047,propagated_from_reported_SEM,6_per_group,glands_or_mice,derived_from_reduction,heldout_validation,high,Primary Task12 phenotype target
AE4_KO_FLOW_EARLY,2015,10.1074/jbc.M114.612895,Figure 1A time_course,direct_measurement,ex_vivo_mouse_SMG,AE4_KO_vs_littermate_WT,first_2_to_3_min_combined_stimulus,flow_rate,,comparable_first_2_to_3_min,,,,6_per_group,glands_or_mice,qualitative_time_course,heldout_validation,high,Deficit becomes sustained after about_3_min
AE2_KO_FLOW,2015,10.1074/jbc.M114.612895,Figure 1B and inset,direct_measurement,ex_vivo_mouse_SMG,acinus_specific_AE2_KO_vs_own_control,0.3_uM_CCh_plus_5_uM_IPR_10_min,flow_and_total_saliva,,no_detectable_difference,,,,6_per_group,glands_or_mice,reported_essentially_identical,qualitative_validation,high,No exact KO_over_WT ratio reported
AE4_WT_REST_CL,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_WT,physiological_HCO3_solution_rest,resting_Cl_i,50.10,,mM,1.50,SEM,7,cell_experiments,,independent_rest_target,high,
AE4_KO_REST_CL,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_KO,physiological_HCO3_solution_rest,resting_Cl_i,36.50,,mM,1.60,SEM,6,cell_experiments,Student_t_p_lt_0.001,heldout_validation,high,
AE4_KO_REST_CL_REDUCTION,2015,10.1074/jbc.M114.612895,Table 1 Results text,reported_calculation,isolated_mouse_SMG_acinar_cells,AE4_KO_vs_WT,physiological_HCO3_solution_rest,resting_Cl_i_reduction,0.27,,fraction,0.031,reported_SE_convention,,,,heldout_validation,high,Not independent of absolute group measurements
AE2_CONTROL_REST_CL,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE2_control,physiological_HCO3_solution_rest,resting_Cl_i,53.40,,mM,1.80,SEM,6,cell_experiments,,contextual_rest_target,high,Different mouse line from AE4 comparison
AE2_KO_REST_CL,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE2_KO,physiological_HCO3_solution_rest,resting_Cl_i,54.50,,mM,1.80,SEM,6,cell_experiments,no_detectable_difference,heldout_validation,high,
AE4_WT_REST_PH,2015,10.1074/jbc.M114.612895,Table 1,direct_measurement,isolated_mouse_SMG_acinar_cells,AE4_WT,physiological_HCO3_solution_rest,resting_pH_i,6.91,,pH,0.07,SEM,4,cell_experiments,,independent_rest_target,high,
