mechanism_id,scenario,activity_scale,calibration_mode,solver_success,solver_message,solver_nfev,solver_cost,solver_optimality,active_bound_count,initial_start_count,initial_start_seed,converged_root_count,distinct_converged_root_count,state,max_abs_raw_rhs,pH_i,cell_volume_pL,cl_i_mM,cl_target_z,pH_target_z,na_i_minus_published_mM,k_i_minus_published_mM,hco3_i_minus_published_mM,volume_minus_published_pL,quantified_rest_gate_pass,knockout_flow_target_read_by_solver,non_ae4_chassis_fingerprint,failure_reason,core_candidate_id,reference_volume_capacity,log10_capacity_offset,capacity_gate_margin,capacity_gate_pass,profile_kind,knockout_target_read_by_variant_selector,capacity_position,capacity_interval_lower,capacity_interval_upper,capacity_log_interval_fraction
C2_CAPACITY_PROFILE_-8.000,wt,5.782100291324454e-15,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,34,2.3879373287112743e-21,2.9163202590816165e-06,0,3,,3,1,"[118.56527672298085, 5.559346183281841, 65.66066473207732, 21.13228393303193, 123.7075114890599, 48.7822141320621, 58.904427358411425]",5.794195099587571e-14,7.378473790262601,2.9741764512787663,48.7822141320621,-0.8785239119586,6.692482718037151,1.1322839330319283,3.707511489059897,46.904427358411425,1.6741764512787662,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.692 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-8.0,-11.878280394452046,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-6.000,wt,5.782100291324453e-13,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,36,3.853805671910694e-20,1.8439956120812792e-06,0,3,,3,1,"[118.56527855338693, 5.559346739659889, 65.65683055371737, 21.132450897735065, 123.70734670458967, 48.78212553582553, 58.90234849156212]",2.1320254012168566e-13,7.378461858551253,2.9740027776945177,48.78212553582553,-0.8785829761163152,6.692312265017896,1.1324508977350654,3.7073467045896678,46.90234849156212,1.6740027776945177,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.692 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-6.0,-11.876944443803984,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-4.000,wt,5.782100291324454e-11,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,32,3.408190254354977e-20,3.476331057069035e-07,0,3,,3,1,"[118.56546066776264, 5.559402095881903, 65.27933666159679, 21.149021562062156, 123.69099296029883, 48.77334332643691, 58.6964876550543]",2.489214674460039e-13,7.377278645463903,2.9569037512221565,48.77334332643691,-0.8844377823753954,6.675409220912901,1.1490215620621562,3.6909929602988285,46.6964876550543,1.6569037512221565,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.675 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-4.0,-11.745413470939665,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-3.000,wt,5.782100291324454e-10,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,27,3.5159762309154265e-21,1.3360458075225476e-06,0,3,,3,1,"[118.56703991094444, 5.559882083027956, 62.30468886932438, 21.28945768215655, 123.55243788594022, 48.69975164011956, 56.98777367195227]",7.905793757836705e-14,7.367327593085937,2.822163607321316,48.69975164011956,-0.9334989065869621,6.5332513297991,1.2894576821565487,3.552437885940222,44.98777367195227,1.522163607321316,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.533 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-3.0,-10.708950825548582,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-2.000,wt,5.7821002913244534e-09,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,22,1.8336066409219326e-20,6.876181835522556e-07,0,3,,3,1,"[118.57866452534074, 5.563412675456093, 49.549792937482856, 22.192268544967273, 122.6634716458774, 48.26117920160916, 47.361235496365055]",1.4850405674373506e-13,7.306394396367269,2.2444157079696088,48.26117920160916,-1.225880532260561,5.662777090960981,2.1922685449672734,2.6634716458773937,35.361235496365055,0.9444157079696087,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 5.663 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-2.0,-6.264736215150835,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-1.500,wt,1.8284606580108396e-08,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,20,7.245724546842067e-20,4.327731499527312e-06,0,3,,3,1,"[118.59560790937937, 5.568550691427396, 41.520914081261694, 23.269672885814717, 121.60624056216027, 47.810703067689246, 38.311659459404765]",3.429977891693325e-13,7.23966618092612,1.8807382684892073,47.810703067689246,-1.5261979548738367,4.7095168703731405,3.2696728858147175,1.6062405621602664,26.311659459404765,0.5807382684892073,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 4.710 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-1.5,-3.467217449916978,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-1.250,wt,3.251513940206897e-08,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,23,3.8532521551477913e-20,7.447966974746072e-07,0,3,,3,1,"[118.60843478656605, 5.572434114087126, 38.171636261261966, 23.98149283503724, 120.90968748634134, 47.55294146699939, 33.42950049113065]",2.384117066740236e-13,7.198616293021084,1.7290288201965367,47.55294146699939,-1.6980390220004058,4.1230899003012,3.9814928350372405,0.9096874863413404,21.429500491130653,0.42902882019653665,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 4.123 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-1.25,-2.3002216938195117,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-1.000,wt,5.782100291324454e-08,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,15,7.781677156552054e-20,2.786420391046198e-07,0,3,,3,1,"[118.6245494946956, 5.57730530102986, 35.38055512278047, 24.79753782289208, 120.11281604715202, 47.29333209673233, 28.66668898737799]",3.426230046679161e-13,7.154137076379946,1.602603542146852,47.29333209673233,-1.871111935511782,3.4876725197135166,4.797537822892082,0.1128160471520232,16.66668898737799,0.30260354214685203,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 3.488 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-1.0,-1.3277195549757845,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-0.975,wt,6.124711272934115e-08,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,16,1.1546552688349951e-20,4.6132242776446916e-08,0,3,,3,1,"[118.62634656819753, 5.577847997117252, 35.13117061740225, 24.88441832480737, 120.02807327174612, 47.26783821812004, 28.20486534028072]",1.3828382750097862e-13,7.1495513971143465,1.5913073798823334,47.26783821812004,-1.8881078545866405,3.4221628159192337,4.8844183248073705,0.028073271746123396,16.20486534028072,0.29130737988233335,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 3.422 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-0.975,-1.240825999094871,False,posthoc_KO_blind_finite_scan,False,,,,
C2_CAPACITY_PROFILE_-0.950,wt,6.487623231490796e-08,"KO-blind capacity continuation using WT rest closure, primary Cl/pH constraints, and explicit +/-10% published-volume sensitivity",True,`xtol` termination condition is satisfied.,14,6.669631445042688e-20,4.055096869584794e-07,0,3,,3,1,"[118.62817745490753, 5.578400795792522, 34.8869622863798, 24.972205986966973, 119.94246346303382, 47.242484615154794, 27.746319345978755]",3.108644878849889e-13,7.14494577269422,1.5802456784771353,47.242484615154794,-1.9050102565634717,3.356368181345992,4.972205986966973,-0.05753653696618244,15.746319345978755,0.2802456784771352,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 3.356 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention,C2,5.782100291324453e-07,-0.95,-1.1557359882856564,False,posthoc_KO_blind_finite_scan,False,,,,
