mechanism_id,scenario,activity_scale,calibration_mode,solver_success,solver_message,solver_nfev,solver_cost,solver_optimality,active_bound_count,initial_start_count,initial_start_seed,converged_root_count,distinct_converged_root_count,state,max_abs_raw_rhs,pH_i,cell_volume_pL,cl_i_mM,cl_target_z,pH_target_z,na_i_minus_published_mM,k_i_minus_published_mM,hco3_i_minus_published_mM,volume_minus_published_pL,quantified_rest_gate_pass,knockout_flow_target_read_by_solver,non_ae4_chassis_fingerprint,failure_reason
C1,wt,18.950260722154685,WT-only projected capacity; seven resting RHS equations; deterministic broad 20-start basin screen,True,`xtol` termination condition is satisfied.,9691,1.1223092267062465e-20,0.0038996655539749164,0,20,20260827,2,1,"[118.69999999999787, 5.599999999999802, 28.700000000015038, 24.99999999995821, 120.00000000003949, 50.000000000030866, 10.000000000011443]",1.1751825255755232e-13,6.910000000015379,1.3000000000006824,50.000000000030866,-0.06666666664609029,2.1969727624439525e-10,4.999999999958209,3.949196525354637e-11,-1.9999999999885567,6.823430709346212e-13,True,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,
C2,wt,1.2339201224412772e-06,WT-only projected capacity; seven resting RHS equations; deterministic broad 20-start basin screen,True,`xtol` termination condition is satisfied.,33,4.618571288863618e-21,1.3726731013656774e-06,0,20,20260827,15,1,"[118.75921758720322, 5.617683101493557, 27.555968978811457, 30.303969261197985, 114.76631795601578, 46.35325805872561, 10.188110961239842]",6.063127563296113e-14,6.907805280978934,1.2481797795280463,46.35325805872561,-2.497827960849596,-0.031353128872372134,10.303969261197985,-5.233682043984217,-1.8118890387601585,-0.05182022047195378,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.498 SEM from target
C3,wt,2.406184919640409e-06,WT-only projected capacity; seven resting RHS equations; deterministic broad 20-start basin screen,True,`xtol` termination condition is satisfied.,29,5.589899076504852e-23,1.0768813822183158e-08,0,20,20260827,15,1,"[118.75982034409982, 5.6178625137418035, 27.5505963929819, 30.363177879571833, 114.7078243666191, 46.3130595671296, 10.211760505072451]",8.256667712526054e-15,6.90818529904734,1.2479364219817597,46.3130595671296,-2.524626955246935,-0.025924299323712825,10.363177879571833,-5.292175633380893,-1.7882394949275486,-0.05206357801824035,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.525 SEM from target
COMMON_AE4_KO_REST,ae4_knockout,0.0,genotype-specific AE4-null seven-equation rest audit; no phenotype target and no parameter fit; deterministic broad 20-start screen,True,`xtol` termination condition is satisfied.,30,1.4908306358607207e-21,1.8944226951107528e-07,0,20,20260827,3,1,"[118.56527670449144, 5.5593461776616655, 65.66070346655056, 21.132282246430893, 123.70751315363782, 48.782215027024655, 58.90444835877707]",5.1608627238296466e-14,7.378473910794061,2.9741782058019446,48.782215027024655,-0.8785233153168974,6.692484439915156,1.1322822464308935,3.7075131536378194,46.90444835877707,1.6741782058019445,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting pH is 6.692 SEM from target; WT resting volume lies outside the explicit +/-10% sensitivity around the published 1.3 pL convention
C1_AE2_KO_REST,ae2_knockout,18.950260722154685,genotype-specific AE2-null seven-equation rest audit; no phenotype target and no parameter fit; deterministic broad 20-start screen,True,`xtol` termination condition is satisfied.,4063,1.3915224063263122e-19,0.007496679594754162,0,20,20260827,1,1,"[118.66019025286903, 5.588048721526324, 28.608095280383207, 24.013635849340147, 120.93905553003435, 49.52490516299572, 10.15471856229423]",4.0596424725558956e-13,6.914090211279558,1.2958370684494147,49.52490516299572,-0.3833965580028528,0.058431589707971396,4.013635849340147,0.9390555300343522,-1.8452814377057702,-0.004162931550585336,True,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,
C6_112_VOLUME_CALIBRATED,wt,3.229843238535116e-08,"seven WT resting RHS equations; AE4 capacity derived by KO-blind Brent continuation over [3e-08, 1e-07] to the published 1.3 pL cell volume; no KO flow datum",True,`xtol` termination condition is satisfied.,10,1.5755431530075687e-20,1.1825714721992704e-06,0,20,20260827,16,1,"[118.76431077024058, 5.619198735897623, 28.70000000000636, 33.409182950989766, 111.66717301586695, 43.476455035186426, 16.59987624271119]",1.3185767094904199e-13,7.0072790743005955,1.3000000000002894,43.476455035186426,-4.41569664320905,1.3897010614370762,13.409182950989766,-8.33282698413305,4.59987624271119,2.893241202173158e-13,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -4.416 SEM from target
C6_123_VOLUME_CALIBRATED,wt,8.641830436408612e-12,"seven WT resting RHS equations; AE4 capacity derived by KO-blind Brent continuation over [7.94328234724e-12, 1e-11] to the published 1.3 pL cell volume; no KO flow datum",True,`xtol` termination condition is satisfied.,52,3.9184932725119256e-21,1.1777091251269284e-06,0,20,20260827,17,1,"[118.7862018979686, 5.625703692372336, 28.699999999982914, 37.82898649631835, 107.27333214436064, 40.674772764506926, 19.42751372611969]",7.488733050000843e-14,7.041546614355681,1.2999999999992273,40.674772764506926,-6.28348482366205,1.879237347938302,17.82898649631835,-12.726667855639363,7.427513726119692,-7.72715225139109e-13,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -6.283 SEM from target
C6_213_VOLUME_CALIBRATED,wt,2.0170150207960052e-11,"seven WT resting RHS equations; AE4 capacity derived by KO-blind Brent continuation over [1.99526231497e-11, 2.51188643151e-11] to the published 1.3 pL cell volume; no KO flow datum",True,`xtol` termination condition is satisfied.,7,8.69038940313426e-21,1.0296588227515907e-07,0,20,20260827,15,1,"[118.78254683574043, 5.624618651576397, 28.700000000000337, 31.727496347856736, 113.37047307594486, 45.738804599758325, 14.359147449546098]",1.127905912505621e-13,6.976120720066734,1.3000000000000165,45.738804599758325,-2.9074636001611176,0.9445817152390567,11.727496347856736,-6.629526924055142,2.3591474495460982,1.6431300764452317e-14,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.907 SEM from target
C2_VOLUME_CALIBRATED,wt,5.782100291324453e-07,"KO-blind joint solve of seven WT resting RHS equations plus published 1.3 pL volume for AE4 capacity; initial capacity grid=[1e-08, 1e-05, 0.01]; final capacity frozen for deterministic broad 20-start basin screen",True,`xtol` termination condition is satisfied.,6,1.373005773733223e-20,5.609658499484576e-07,0,20,20260827,15,1,"[118.7202510184993, 5.60605989047092, 28.699999999995555, 28.83093107447778, 116.19313397889496, 46.485644446800016, 13.53840569910845]",1.3797854925058573e-13,6.966096269002229,1.2999999999997998,46.485644446800016,-2.40957036879999,0.801375271460409,8.830931074477778,-3.806866021105037,1.5384056991084503,-2.0028423364237824e-13,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.410 SEM from target
C3_VOLUME_CALIBRATED,wt,1.1261955725206207e-06,"KO-blind joint solve of seven WT resting RHS equations plus published 1.3 pL volume for AE4 capacity; initial capacity grid=[1e-08, 1e-05, 0.01]; final capacity frozen for deterministic broad 20-start basin screen",True,`xtol` termination condition is satisfied.,30,7.831657349097285e-21,6.270595988228142e-07,0,20,20260827,15,1,"[118.72059453513292, 5.606162569988267, 28.70000000010094, 28.87239884971898, 116.15207416096351, 46.453590741192606, 13.570867245738263]",8.538325947798549e-14,6.966564878923255,1.3000000000045735,46.453590741192606,-2.430939505871597,0.8080696989036413,8.87239884971898,-3.847925839036492,1.5708672457382633,4.57345272764087e-12,False,False,55885266c44ecbbfe86be622c6ebd08b77151ee6ef7dfd5c8bbc8d4250b58e50,WT resting Cl is -2.431 SEM from target
