variant_id,candidate_id,na_capacity_fraction,k_capacity_fraction,equilibrium_constant,saturation_strength,bath_hco3_mM,grid_axis,activity_scale,unit_contribution,fitted_contribution,calibration_residual,calibration_l2_error,calibration_max_abs_error,wt_baseline_closure_error,wt_baseline_admissible,assay_admissible,energetic_bias_source_supported,coherent_fixed_chassis_bath,fully_source_supported,knockout_target_read_by_calibrator,simulation_status,ae4_ko_endpoint_flow_ratio,ae4_ko_integrated_flow_ratio,wt_endpoint_flow
R2_0001_C3_fNa0_Keq1_sat1_B21,C3,0.0,1.0,1.0,1.0,21.0,parallel_Na_K_capacity,1.370819832005685e-06,"[-0.0, -23637.520754999994, 23637.520754999994, -47275.04150999999]","[-0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,True,True,False,False,not_run_round2_closure_localization,,,
R2_0002_C4_fNa0_Keq1_sat1_B21,C4,0.0,1.0,1.0,1.0,21.0,cooperative_occupancy_capacity,4.2613524274675e-06,"[0.0, -7603.872897613586, 7603.872897613586, -15207.745795227172]","[0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,True,True,False,False,not_run_round2_closure_localization,,,
R2_0003_C3_fNa0.25_Keq1_sat1_B21,C3,0.25,0.75,1.0,1.0,21.0,parallel_Na_K_capacity,1.7675340284624791e-06,"[-1221.1529174999998, -17728.140566249996, 18949.293483749996, -37898.58696749999]","[-0.0021584293356374843, -0.03133509171221295, 0.03349352104785044, -0.06698704209570087]","[0.0367249093408425, -0.03133509171221295, -0.005389817628629549, 0.010779635257259099]",0.04975799040410823,0.0367249093408425,0.0012796135641018347,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0004_C4_fNa0.25_Keq1_sat1_B21,C4,0.25,0.75,1.0,1.0,21.0,cooperative_occupancy_capacity,1.4271500063823017e-06,"[4382.658040646277, -5702.90467321019, 1320.2466325639125, -2640.493265127825]","[0.006254710450679781, -0.00813890044076958, 0.0018841899900898002, -0.0037683799801796003]","[0.04513804912715977, -0.00813890044076958, -0.03699914868639018, 0.07399829737278037]",0.09459582547331932,0.07399829737278037,0.0025783378888816527,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0005_C3_fNa0.48387097_Keq1_sat1_B21,C3,0.48387096774193544,0.5161290322580645,1.0,1.0,21.0,parallel_Na_K_capacity,2.406184919640409e-06,"[-2363.521775806451, -12200.010712258061, 14563.532488064513, -29127.064976129026]","[-0.0056870704541872015, -0.02935548179528679, 0.035042552249473995, -0.07008510449894799]","[0.03319626822229278, -0.02935548179528679, -0.003840786427005992, 0.007681572854011984]",0.04513861691732687,0.03319626822229278,0.0011566643962081164,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0006_C4_fNa0.48387097_Keq1_sat1_B21,C4,0.48387096774193544,0.5161290322580645,1.0,1.0,21.0,cooperative_occupancy_capacity,0.0,"[8482.563949637955, -3924.5795600586252, -4557.98438957933, 9115.96877915866]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0007_C3_fNa0.5_Keq1_sat1_B21,C3,0.5,0.5,1.0,1.0,21.0,parallel_Na_K_capacity,2.466632778070749e-06,"[-2442.3058349999997, -11818.760377499997, 14261.066212499996, -28522.132424999993]","[-0.00602427162668445, -0.029152541743305314, 0.03517681336998976, -0.07035362673997952]","[0.032859067049795534, -0.029152541743305314, -0.0037065253064902243, 0.0074130506129804485]",0.044702132239037316,0.032859067049795534,0.001144915226434693,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0008_C4_fNa0.5_Keq1_sat1_B21,C4,0.5,0.5,1.0,1.0,21.0,cooperative_occupancy_capacity,0.0,"[8765.316081292554, -3801.936448806793, -4963.379632485761, 9926.759264971522]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0009_C3_fNa0.75_Keq1_sat1_B21,C3,0.75,0.25,1.0,1.0,21.0,parallel_Na_K_capacity,3.95541395252922e-06,"[-3663.4587524999997, -5909.3801887499985, 9572.838941249998, -19145.677882499996]","[-0.014490495864153791, -0.023374044849381503, 0.037864540713535295, -0.07572908142707059]","[0.024392842812326197, -0.023374044849381503, -0.001018797962944691, 0.002037595925889382]",0.03386069254363019,0.024392842812326197,0.0008499248348852389,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0010_C4_fNa0.75_Keq1_sat1_B21,C4,0.75,0.25,1.0,1.0,21.0,cooperative_occupancy_capacity,0.0,"[13147.97412193883, -1900.9682244033966, -11247.005897535433, 22494.011795070866]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0011_C3_fNa1_Keq1_sat1_B21,C3,1.0,0.0,1.0,1.0,21.0,parallel_Na_K_capacity,7.960374601586292e-06,"[-4884.611669999999, -0.0, 4884.611669999999, -9769.223339999999]","[-0.03888333867648, -0.0, 0.03888333867648, -0.07776667735296]","[-1.3877787807814457e-17, -0.0, 1.3877787807814457e-17, -2.7755575615628914e-17]",3.3993498887762956e-17,2.7755575615628914e-17,1.7811796691023916e-12,True,False,True,True,False,False,pass,0.9987310570502811,1.0058729701673434,0.0013598454517200049
R2_0012_C4_fNa1_Keq1_sat1_B21,C4,1.0,0.0,1.0,1.0,21.0,cooperative_occupancy_capacity,0.0,"[17530.63216258511, -0.0, -17530.63216258511, 35061.26432517022]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,False,True,True,False,False,not_run_round2_closure_localization,,,
R2_0013_C5_fNa0_Keq0.01_sat1_B21,C5,0.0,1.0,0.01,1.0,21.0,Na_K_capacity_x_equilibrium,0.0,"[0.0, 270642.9044014309, -270642.9044014309, 541285.8088028618]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,False,False,True,False,False,not_run_round2_closure_localization,,,
R2_0014_C5_fNa0_Keq0.1_sat1_B21,C5,0.0,1.0,0.1,1.0,21.0,Na_K_capacity_x_equilibrium,1.985946338299936e-06,"[0.0, -16316.041176690755, 16316.041176690755, -32632.08235338151]","[0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,False,True,False,False,not_run_round2_closure_localization,,,
R2_0015_C5_fNa0_Keq1_sat1_B21,C5,0.0,1.0,1.0,1.0,21.0,Na_K_capacity_x_equilibrium,3.525161772991856e-08,"[0.0, -919185.6804602551, 919185.6804602551, -1838371.3609205103]","[0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,True,True,False,False,not_run_round2_closure_localization,,,
R2_0016_C5_fNa0_Keq10_sat1_B21,C5,0.0,1.0,10.0,1.0,21.0,Na_K_capacity_x_equilibrium,1.0186106464640296e-08,"[0.0, -3181076.335976058, 3181076.335976058, -6362152.671952116]","[0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,False,True,False,False,not_run_round2_closure_localization,,,
R2_0017_C5_fNa0_Keq100_sat1_B21,C5,0.0,1.0,100.0,1.0,21.0,Na_K_capacity_x_equilibrium,3.1935861994955497e-09,"[-0.0, -10146205.615341851, 10146205.615341851, -20292411.230683703]","[-0.0, -0.03240278223039999, 0.03240278223039999, -0.06480556446079998]","[0.03888333867647999, -0.03240278223039999, -0.006480556446079998, 0.012961112892159996]",0.052648289451365037,0.03888333867647999,0.0013548201611623743,False,False,False,True,False,False,not_run_round2_closure_localization,,,
R2_0018_C5_fNa0.25_Keq0.01_sat1_B21,C5,0.25,0.75,0.01,1.0,21.0,Na_K_capacity_x_equilibrium,0.0,"[7049645.401513528, 202982.1783010732, -7252627.579814602, 14505255.159629203]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0019_C5_fNa0.25_Keq0.1_sat1_B21,C5,0.25,0.75,0.1,1.0,21.0,Na_K_capacity_x_equilibrium,0.0,"[2212632.617634619, -12237.030882518065, -2200395.586752101, 4400791.173504202]","[0.0, -0.0, -0.0, 0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0020_C5_fNa0.25_Keq1_sat1_B21,C5,0.25,0.75,1.0,1.0,21.0,Na_K_capacity_x_equilibrium,0.0,"[647009.165082894, -689389.2603451913, 42380.09526229731, -84760.19052459463]","[0.0, -0.0, 0.0, -0.0]","[0.03888333867647999, -0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,True,True,False,False,not_run_round2_closure_localization,,,
R2_0021_C5_fNa0.25_Keq10_sat1_B21,C5,0.25,0.75,10.0,1.0,21.0,Na_K_capacity_x_equilibrium,1.36815914637059e-08,"[37992.27389779494, -2385807.2519820435, 2347814.9780842485, -4695629.956168497]","[0.0005197947702468478, -0.03264164013276516, 0.03212184536251831, -0.06424369072503662]","[0.039403133446726836, -0.03264164013276516, -0.0067614933139616765, 0.013522986627923353]",0.05335421778220772,0.039403133446726836,0.0013729314771988499,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0022_C5_fNa0.25_Keq100_sat1_B21,C5,0.25,0.75,100.0,1.0,21.0,Na_K_capacity_x_equilibrium,4.203701982153522e-09,"[-205979.4585922009, -7609654.211506389, 7815633.67009859, -15631267.34019718]","[-0.0008658762583669443, -0.031988718492412305, 0.032854594750779245, -0.06570918950155849]","[0.03801746241811304, -0.031988718492412305, -0.006028743925700741, 0.012057487851401483]",0.05148139786474146,0.03801746241811304,0.0013246502566896584,False,True,False,True,False,False,not_run_round2_closure_localization,,,
R2_0023_C5_fNa0.48387097_Keq0.01_sat1_B21,C5,0.48387096774193544,0.5161290322580645,0.01,1.0,21.0,Na_K_capacity_x_equilibrium,0.0,"[13644474.970671343, 139686.6603362224, -13784161.631007565, 27568323.26201513]","[0.0, 0.0, -0.0, 0.0]","[0.03888333867647999, 0.0, -0.03888333867647999, 0.07776667735295997]",0.09524433925320216,0.07776667735295997,0.0027096403272154363,False,True,False,True,False,False,not_run_round2_closure_localization,,,
