"target_id","source_id","doi","role","evidence_class","biological_system","gland_or_tissue","species","genotype","assay","stimulus_or_perturbation","bath_or_protocol","temperature_C","observation_window","measurement","estimate","unit","uncertainty","uncertainty_type","n","n_unit","source_anchor","numeric_status","allowed_use","notes"
"C15_WT_CL_REST","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_REST","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","SPQ calibrated with nigericin-tributyltin","rest","20/50/80 mM Cl calibration; HCO3-buffered acinar preparation","37","resting steady state","intracellular chloride","50.10","mM","1.50","SEM","7","experiments","Table 1","exact_reported","fit_or_gate_WT_rest","Matched WT target; do not pool with the Ae2-line C57BL/6 control."
"C15_WT_PHI_REST","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_REST","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","BCECF high-K/nigericin calibration","rest","HCO3-buffered acinar preparation","37","resting steady state","intracellular pH","6.91","pH","0.07","SEM","4","experiments","Table 1","exact_reported","fit_or_gate_WT_rest","Use source uncertainty; not the rounded historical 6.8 target."
"C15_WT_CL_UPTAKE_CCH_IPR","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_DYNAMIC","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","SPQ initial-slope regression","0.3 uM carbachol + 5 uM isoproterenol","physiological HCO3 high/low-Cl protocol","37","initial uptake slope after stimulation","intracellular Cl uptake rate","2.02","x10^-3 s^-1","0.10","SEM","10","experiments","Table 1","exact_reported","fit_WT_transport_observation_map","Assay slope; not a whole-cell AE4 turnover constant."
"C15_WT_CL_UPTAKE_CCH","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_DYNAMIC","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","SPQ initial-slope regression","0.3 uM carbachol","physiological HCO3 high/low-Cl protocol","37","initial uptake slope after stimulation","intracellular Cl uptake rate","2.18","x10^-3 s^-1","0.20","SEM","7","experiments","Table 1","exact_reported","fit_WT_muscarinic_arm","Separate muscarinic context from IPR and combined stimulation."
"C15_WT_CL_UPTAKE_IPR","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_BETA_ARM","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","SPQ initial-slope regression","5 uM isoproterenol","physiological HCO3 high/low-Cl protocol","37","initial uptake slope after stimulation","intracellular Cl uptake rate","0.40","x10^-3 s^-1","0.07","SEM","4","experiments","Table 1","exact_reported","fit_WT_beta_arm_observation_map","Does not supply a beta/cAMP/PKA activation time constant."
"C15_WT_CL_EXIT_CCH_IPR","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_DYNAMIC","MEASUREMENT","native isolated acini","submandibular gland","mouse","Ae4-line WT littermate","SPQ normalized fluorescence change","0.3 uM carbachol + 5 uM isoproterenol","physiological HCO3 bath","37","initial post-stimulus exit","normalized initial Cl exit","-0.21","normalized DeltaF","0.01","SEM","10","experiments","Table 1","exact_reported","gate_WT_initial_Cl_exit","Normalized fluorescence change is not a concentration flux."
"C15_WT_FLOW_ENVELOPE","P15","10.1074/jbc.M114.612895","CALIBRATION_WT_STIMULATED","MEASUREMENT","ex vivo perfused whole gland","submandibular gland","mouse","Ae4-line WT littermate","capillary progression recorded each minute","0.3 uM carbachol + 5 uM isoproterenol","common-carotid perfusion with HCO3-containing high-Cl solution","37","10 min; one-minute samples","WT stimulated saliva flow","approximately 9-10","uL/min","not tabulated","plotted SEM","6","glands","Figure 1A","graphical_approximation","WT_envelope_only","Use only as a conservative WT scale/envelope; exact minute means and SEM values are not tabulated. No AE4-null trace may be consulted during calibration."
"C16_NATIVE_NA_DEPENDENCE","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","native isolated acini","submandibular gland","mouse","acinus-specific Ae2-null and Ae2/AE4 double-null","BCECF low-Cl alkalinization","external Na versus NMDG; genotype deletion","25 mM HCO3 high/low-Cl baths; inhibitors as source protocol","37","initial alkalinization","native AE4 Na dependence","response with Na; little with NMDG or double deletion","qualitative","NA","not_applicable","8;7;8","experiments","Figure 1","qualitative_reported","hard_transporter_gate","Native-system anchor; numeric rates are figure-only."
"C16_MOUSE_HUMAN_NA_HCO3_CL_COUPLING","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT","heterologous CHO-K1","cell culture","mouse and human constructs","mouse Ae4 v3 or human AE4 v2","BCECF and SPQ","external Na versus NMDG; HCO3 present versus absent","128.3 to 4 mM Cl; 25 mM HCO3; pH 7.4","37","initial low-Cl response","Na- and HCO3-dependent coupled Cl/HCO3 signal","present with Na and HCO3; absent without either","qualitative","NA","not_applicable","mouse BCECF 11/6/8; mouse SPQ 10/6/7; human 5","cells","Figure 2","qualitative_reported","hard_transporter_gate","Context-specific heterologous activity; not a native absolute rate."
"C16_DIRECT_NA_SIGNAL","P16","10.1085/jgp.201611571","CALIBRATION_TRANSPORTER","MEASUREMENT_AND_SOURCE_QUALIFIED_INFERENCE","heterologous CHO-K1","cell culture","mouse construct","Ae4-transfected versus nontransfected","SBFI intracellular Na fluorescence","outward Cl gradient then Cl restoration","Na/HCO3-containing imaging solutions","37","transport activation and signal return","AE4-associated Na movement","Na rises with low external Cl; signal returns after Cl restoration","qualitative","NA","not_applicable","15;13","cells","Figure 3","qualitative_reported","hard_direction_gate","Direct Na-signal association. The authors state that Na/K-ATPase could cause the return, so it is not a clean AE4 reversal measurement; no reversal potential or transported Na stoichiometry was measured."
