check_id,scope,quantity,units,value,tolerance,status,interpretation
I_EQ_001,reference_state,max_abs_rhs_difference,native_source_units,9.020562075079397e-17,3e-13,PASS,Independent transcription versus production assembly
I_EQ_002,reference_state,cell_pH_absolute_difference,pH,0.0,1e-11,PASS,Independent TIC/TA speciation
I_EQ_003,reference_state,apical_voltage_absolute_difference,V,4.163336342344337e-17,1e-12,PASS,Independent analytic current closure
I_EQ_004,reference_state,max_abs_current_closure,A,1.9387045606711586e-26,1e-22,PASS,Apical and basolateral current identities
I_EQ_005,reference_state,max_abs_charge_carbon_accounting,fmol/s,1.4224732503009818e-16,1e-12,PASS,Does not mix water units
I_EQ_006,reference_state,water_accounting,pL/s,2.0194839173657902e-27,1e-12,PASS,Reported separately from amount sources
I_ROOT_001,uncalibrated_default,max_abs_scaled_independent_residual,dimensionless,0.5839366256290508,1e-6,FAIL_EXPECTED,No valid WT root at executable starting values
I_ROOT_002,uncalibrated_default,max_abs_amount_or_equivalent_source_debug,registered fmol/s row unit,0.1339449041612277,NA,DIAGNOSTIC,Not used as a cross-species physical norm
I_ROOT_003,uncalibrated_default,max_abs_volume_source,pL/s,2.2160339067660286e-05,NA,DIAGNOSTIC,Native volume-source summary
I_ROOT_004,uncalibrated_default,scaled_jacobian_rank,count,10,10,PASS,Rows and columns scaled before SVD
I_ROOT_005,uncalibrated_default,scaled_jacobian_nullity,count,0,0,PASS,Local numerical rank at failed least-squares point
I_REJECT_001,G2_BALANCED_APICAL_K_BIASED:M00_old_water,stale_state_cell_volume_source,pL/s,0.337276254,1e-6,FAIL_EXPECTED,Provisional root invalid after Palk water-unit correction
I_REJECT_002,G2_BALANCED_APICAL_K_BIASED:M00_old_water,stale_state_lumen_volume_source,pL/s,0.0343138199,1e-6,FAIL_EXPECTED,Provisional root invalid after Palk water-unit correction
I_REJECT_003,G2_BALANCED_APICAL_K_BIASED:M00_old_water,refined_max_abs_scaled_residual,dimensionless,377.5055932369518,1e-6,FAIL_EXPECTED,Root rejected
I_REG_001,R0_R1_R2_R3,max_abs_rhs_difference,s^-1,0.0,2e-15,PASS,Independent formulas at deterministic off-equilibrium states
I_REG_002,R0_R1_R2_R3,max_abs_capacity_difference,dimensionless,0.0,1e-14,PASS,Common-capacity output map
I_REG_003,R2_R3_default,max_abs_isomorphism_rhs_difference,s^-1,8.673617379884035e-19,2e-16,PASS,Symmetric R3 is dynamically isomorphic to R2
