attempt_id,panel_id,source_class,source_scale,pump_capacity_scale,hydraulic_scale,hydraulic_mode,eligibility,production_admissible,independent_admissible,production_converged_root,production_passes_numerical_gate,independent_converged_root,production_scaled_max,independent_scaled_max,scaled_max_absolute_difference,independent_amount_source_max_fmol_s,independent_volume_source_max_pL_s,convergence_gate_agree
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,3.1252127621894665e-11,4.106957829375091e-12,2.7145169792519575e-11,5.184980049477428e-15,4.106957829375091e-16,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,1.5027042110649091e-12,1.5027042110649091e-12,0.0,5.248947977654073e-15,1.5027042110649091e-16,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,False,False,0.0032472034293823393,0.00324720342938567,3.3306690738754696e-15,0.00047070751548272324,7.824262149140095e-08,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,2.668113126269578e-11,2.668113126269578e-11,0.0,3.750697669113734e-13,2.668113126269578e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,6.114900252818245e-13,6.114900252818245e-13,0.0,9.483733243165204e-15,6.114900252818245e-17,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,3.1592567104055114e-11,3.1592567104055114e-11,0.0,9.396997069366364e-15,3.1592567104055114e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,8.593386419120108e-12,6.138752700612926e-12,2.454633718507182e-12,1.8186927658314644e-13,6.138752700612926e-16,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,8.593386419120108e-12,8.593386419120108e-12,0.0,5.568202149364154e-14,8.593386419120108e-16,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,1.8224354317308844e-11,2.068007223798851e-11,2.4557179206796675e-12,1.112131220448731e-14,2.068007223798851e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1|frozen_reference,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,2.9774902161883166e-11,2.9774902161883166e-11,0.0,6.933099927497466e-13,2.9774902161883166e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,2.9774902161883166e-11,2.9774902161883166e-11,0.0,7.156168019273323e-15,2.9774902161883166e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,1.9548165169913645e-12,2.9414404939531735e-12,9.86623976961809e-13,7.214281255718547e-15,2.9414404939531735e-16,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,1.0095006428012532e-11,4.1825267207973305e-11,3.173026077996077e-11,7.077671781985373e-16,4.1825267207973305e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,1.0095006428012532e-11,1.0095006428012532e-11,0.0,3.3306690738754696e-16,1.0095006428012532e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,2.1634170149775755e-11,2.4089888070455423e-11,2.4557179206796675e-12,5.689893001203927e-16,2.4089888070455423e-15,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,True,True,True,2.8297676701871666e-12,2.8297676701871666e-12,0.0,5.273559366969494e-16,2.8297676701871666e-16,True
