root_id,panel_id,source_class,source_scale,pump_capacity_scale,hydraulic_scale,hydraulic_mode,eligibility,production_h1_eligible_marker,production_passes_numerical_gate,production_passes_wt_gate,independent_direct_scaled_max,independent_amount_source_max_fmol_s,independent_volume_source_max_pL_s,independent_current_residual_max_A,independent_conservation_residual_max,independent_refine_requested,independent_refine_success,independent_refine_scaled_max,independent_jacobian_rank,independent_jacobian_nullity,independent_refined_state_max_abs_difference,independent_pass,independent_wt_observables_json,independent_wt_gate_failures_json,independent_wt_pass,root_table_observable_max_abs_difference,root_table_observable_integrity_issues_json,production_independent_gate_agree,production_independent_wt_gate_agree
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,1.5027042110649091e-12,5.248947977654073e-15,1.5027042110649091e-16,1.6155871338926322e-26,1.734723475976807e-16,True,True,2.975267601734721e-11,11,0,9.947598300641403e-14,True,"{""cl_i_mM"":28.723523076680856,""cl_l_mM"":141.61750132354695,""k_i_mM"":81.93162295121147,""k_l_mM"":12.870768587782445,""na_i_mM"":18.008109510294748,""na_l_mM"":137.3041071016585,""ph_i"":6.676764373115891,""ph_l"":7.058473621396099,""tic_i_mM"":4.725276604906212,""tic_l_mM"":9.492965408081654,""v_apical_mV"":-46.63389873508283,""v_basolateral_mV"":-65.30271241171802,""volume_i_pL"":1.3,""volume_l_pL"":0.10262699908889765}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,2.673417043297377e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,6.114900252818245e-13,9.483733243165204e-15,6.114900252818245e-17,4.52364397489937e-26,4.380176776841438e-16,True,True,6.114900252818245e-13,11,0,1.7763568394002505e-15,True,"{""cl_i_mM"":28.608212361765272,""cl_l_mM"":142.16065676231426,""k_i_mM"":90.16735119124992,""k_l_mM"":13.67728226403369,""na_i_mM"":9.886792784346257,""na_l_mM"":136.50828471765848,""ph_i"":6.689128774575418,""ph_l"":7.035231792854927,""tic_i_mM"":4.80500357758135,""tic_l_mM"":8.951078155285476,""v_apical_mV"":-47.197196730224015,""v_basolateral_mV"":-67.33492898158747,""volume_i_pL"":1.3,""volume_l_pL"":0.10288087897193782}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,2.1227464230832993e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,8.593386419120108e-12,5.568202149364154e-14,8.593386419120108e-16,5.00832011506716e-26,5.004677228193088e-16,True,True,8.593386419120108e-12,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":28.61558825405836,""cl_l_mM"":142.3649376979124,""k_i_mM"":93.22217309167155,""k_l_mM"":13.961191587967743,""na_i_mM"":7.09225203699283,""na_l_mM"":136.22872169070592,""ph_i"":6.701752623442029,""ph_l"":7.026101794532575,""tic_i_mM"":4.907054576638803,""tic_l_mM"":8.74745914624029,""v_apical_mV"":-47.373251033322425,""v_basolateral_mV"":-68.0859007122842,""volume_i_pL"":1.2999999999999976,""volume_l_pL"":0.1029871952494131}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,2.6645352591003757e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,2.9414404939531735e-12,7.214281255718547e-15,2.9414404939531735e-16,2.261821987449685e-26,2.1423834928313568e-16,True,True,2.9414404939531735e-12,11,0,0.0,True,"{""cl_i_mM"":28.339794359449137,""cl_l_mM"":141.28530325735744,""k_i_mM"":76.63516543287191,""k_l_mM"":12.029650777567664,""na_i_mM"":24.20507179744598,""na_l_mM"":138.1392949751838,""ph_i"":6.736525818013929,""ph_l"":7.071469360562746,""tic_i_mM"":5.304915090099415,""tic_l_mM"":9.825927892057722,""v_apical_mV"":-46.750185599624935,""v_basolateral_mV"":-64.46504742995826,""volume_i_pL"":1.3,""volume_l_pL"":0.10251734369168608}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,3.623767952376511e-13,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,1.0095006428012532e-11,3.3306690738754696e-16,1.0095006428012532e-15,2.5849394142282115e-26,2.6020852139652106e-16,True,True,1.0095006428012532e-11,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":27.634740220242072,""cl_l_mM"":142.10688703604382,""k_i_mM"":89.5569308226484,""k_l_mM"":13.09389526051232,""na_i_mM"":11.063196834176985,""na_l_mM"":137.09142490986267,""ph_i"":6.760121914328492,""ph_l"":7.037601720534467,""tic_i_mM"":5.491479298437842,""tic_l_mM"":9.005649754134973,""v_apical_mV"":-48.09918651438767,""v_basolateral_mV"":-67.96317000606099,""volume_i_pL"":1.3,""volume_l_pL"":0.10289266200173337}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,5.285485590866834e-12,4.727121472036799e-16,5.285485590866834e-16,3.3927329811745276e-26,3.5561831257524545e-16,True,True,2.561969733583247e-12,11,0,1.0302869668521453e-13,True,"{""cl_i_mM"":27.490745327063046,""cl_l_mM"":142.3397899852619,""k_i_mM"":93.23810614810411,""k_l_mM"":13.356588515058434,""na_i_mM"":7.678137985533826,""na_l_mM"":136.83391250095895,""ph_i"":6.779811385932197,""ph_l"":7.02741963924368,""tic_i_mM"":5.6846926017632144,""tic_l_mM"":8.773395374747063,""v_apical_mV"":-48.448604911877915,""v_basolateral_mV"":-68.95539559313885,""volume_i_pL"":1.3,""volume_l_pL"":0.1030164108217774}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,1.4210854715202004e-14,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,3.5890886616873896e-11,4.09654948851923e-14,3.5890886616873896e-15,8.077935669463161e-27,1.5439038936193583e-16,True,True,4.160625836913123e-12,11,0,1.4210854715202004e-14,True,"{""cl_i_mM"":28.704818122940758,""cl_l_mM"":140.65512194156216,""k_i_mM"":66.75186046047332,""k_l_mM"":10.880275528900238,""na_i_mM"":36.5483046336555,""na_l_mM"":139.27646636348726,""ph_i"":6.8231655566950415,""ph_l"":7.093736057625191,""tic_i_mM"":6.331777728965806,""tic_l_mM"":10.458438336858471,""v_apical_mV"":-45.96066501620647,""v_basolateral_mV"":-62.04813616130338,""volume_i_pL"":1.2999999999999976,""volume_l_pL"":0.1023077195261738}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,0.0,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,9.720956678505033e-12,5.412337245047638e-16,9.720956678505033e-16,3.2311742677852644e-26,3.0964814046186007e-16,True,True,7.265238757825365e-12,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":26.453547121954607,""cl_l_mM"":142.04182412430887,""k_i_mM"":89.154027055719,""k_l_mM"":12.44745705347107,""na_i_mM"":12.688457164094663,""na_l_mM"":137.73710985790964,""ph_i"":6.858399292525136,""ph_l"":7.040025864370568,""tic_i_mM"":6.653375451766625,""tic_l_mM"":9.07208196134566,""v_apical_mV"":-49.23799828058706,""v_basolateral_mV"":-68.77733633714345,""volume_i_pL"":1.3,""volume_l_pL"":0.10290573943428942}","[""cl_i_mM:outside_[47.1,53.1]"",""k_i_mM:outside_[100,160]""]",False,7.105427357601002e-15,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,6.50196042839557e-12,3.668940151690947e-16,6.50196042839557e-16,3.554291694563791e-26,4.692427002517263e-16,True,True,6.50196042839557e-12,11,0,2.1316282072803006e-14,True,"{""cl_i_mM"":26.107005662196578,""cl_l_mM"":142.31845493985597,""k_i_mM"":93.86416112143264,""k_l_mM"":12.698206302032911,""na_i_mM"":8.358575331375613,""na_l_mM"":137.49288199945465,""ph_i"":6.886722131450431,""ph_l"":7.028316501043799,""tic_i_mM"":7.0077831883300945,""tic_l_mM"":8.795965600001553,""v_apical_mV"":-49.84062190778425,""v_basolateral_mV"":-70.12987584099002,""volume_i_pL"":1.3,""volume_l_pL"":0.10305509873720047}","[""cl_i_mM:outside_[47.1,53.1]"",""na_i_mM:outside_[10,35]"",""k_i_mM:outside_[100,160]""]",False,7.105427357601002e-15,[],True,True
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,False,3.973275701507628e-11,6.522560269672795e-16,3.973275701507628e-15,2.1002632740604218e-26,3.5908775952719907e-16,True,True,8.003580437287994e-12,11,0,7.105427357601002e-15,True,"{""cl_i_mM"":27.791373621957923,""cl_l_mM"":141.76757719907226,""k_i_mM"":80.70691897460978,""k_l_mM"":11.391761763250305,""na_i_mM"":18.200873789774036,""na_l_mM"":138.78330757977955,""ph_i"":6.67182277853334,""ph_l"":7.050905712292041,""tic_i_mM"":4.682650344246372,""tic_l_mM"":9.343044726261395,""v_apical_mV"":-47.60244784478874,""v_basolateral_mV"":-66.87091936449039,""volume_i_pL"":1.3,""volume_l_pL"":0.10263440453824442}","[""cl_i_mM:outside_[47.1,53.1]"",""ph_i:outside_[6.77,7.05]"",""k_i_mM:outside_[100,160]""]",False,7.105427357601002e-15,[],True,True
