root_id,panel_id,topology_id,routing_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,eligibility,passes_numerical_gate,passes_wt_gate,production_case_count,expected_production_case_count,nearby_case_count,expected_nearby_case_count,all_native_rest_wt_gate_pass,all_dynamic_numerical_gates_pass,all_nearby_numerical_gates_pass,all_sustainment_gates_pass,all_nearby_sustainment_gates_pass,solver_comparison_count,expected_solver_comparison_count,all_solver_and_tolerance_gates_pass,isomorphism_comparison_count,expected_isomorphism_comparison_count,r2_r3_isomorphism_gate_pass,p21_regulatory_direction_contract_pass,paired_arm_count,costim_to_cch_total_ratio_min,costim_to_cch_total_ratio_max,costim_to_cch_total_ratio_gate_pass,shared_scale_sample_count,shared_scale_lower_uL_min_per_pL_s,shared_scale_upper_uL_min_per_pL_s,shared_scale_interval_nonempty,ensemble_min_flow_pL_s,ensemble_max_flow_pL_s,ensemble_max_min_flow_ratio,one_smg_geometry_gate_pass,one_smg_feasible_scale_lower_uL_min_per_pL_s,one_smg_feasible_scale_upper_uL_min_per_pL_s,one_smg_implied_cell_count_at_lower,paired_smg_sensitivity_gate_pass,native_dynamic_scientific_gate_pass
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,PHIGH_KHIGH,AE4NA05,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9501704108647033,0.9872089645425995,True,1120,7879.304342498224,7842.0282165377685,False,0.0011422328176178109,0.0012751803135458456,1.1163926424433366,False,7879.304342498224,3088.15386,,False,False
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1,PHIGH_KHIGH,AE4NA20,N_ABS_NKCC,4.0,2.0,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9443903797343604,0.9878043486223651,True,1120,6362.31229003708,6490.341016455546,True,0.0014145800441285078,0.0015407510906816912,1.0891932889035734,False,6362.31229003708,3088.15386,,False,False
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1,PHIGH_KLOW,AE4NA05,N_ABS_NKCC,4.0,1.0,0.094586,0.2,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9531094949231861,0.9880438571913494,True,1120,7914.232009315083,7916.7945848263735,True,0.0011371918323100666,0.0012631374848561029,1.1107514572015462,False,7914.232009315083,3088.15386,,False,False
N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1,PHIGH_KLOW,AE4NA20,N_ABS_NKCC,4.0,2.0,0.094586,0.2,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9479614147819472,0.9887232620390903,True,1120,6467.1412164718195,6629.248716161464,True,0.0013916504524560227,0.0015084665590568314,1.0839406953050952,False,6467.1412164718195,3088.15386,,False,False
N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1,PLOW_KHIGH,AE4NA05,N_ABS_NKCC,4.0,1.0,0.056878,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9467997229740284,0.9862847871560935,True,1120,8192.693879439686,8097.401819094205,False,0.0010985397638969914,0.001234964032094757,1.1241869185634303,False,8192.693879439686,3088.15386,,False,False
N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1,PLOW_KHIGH,AE4NA20,N_ABS_NKCC,4.0,2.0,0.056878,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9342133290570606,0.9846983853150423,True,1120,6793.722584720411,6834.774942060543,True,0.0013247523559825171,0.0014631059668784364,1.1044373390023585,False,6793.722584720411,3088.15386,,False,False
N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1,PLOW_KLOW,AE4NA05,N_ABS_NKCC,4.0,1.0,0.056878,0.2,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9499604620154134,0.9871887464444838,True,1120,8210.718712917569,8158.219655222511,False,0.0010961281606006901,0.0012257576312741797,1.1182612356227133,False,8210.718712917569,3088.15386,,False,False
N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1,PLOW_KLOW,AE4NA20,N_ABS_NKCC,4.0,2.0,0.056878,0.2,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9381057785584807,0.9857420701994701,True,1120,6881.059424992922,6958.652901505309,True,0.001307938130473166,0.0014370597501474432,1.0987215042255596,False,6881.059424992922,3088.15386,,False,False
N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1,PNOM_KMID,AE4NA05,N_ABS_NKCC,4.0,1.0,0.075075,0.3,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9496728754419514,0.98708271139373,True,1120,8026.364606498544,7977.035751854601,False,0.0011213046554990975,0.0012535984933595258,1.1179820642067555,False,8026.364606498544,3088.15386,,False,False
N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1,PNOM_KMID,AE4NA20,N_ABS_NKCC,4.0,2.0,0.075075,0.3,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,True,80,80,32,32,True,True,True,True,True,60,60,True,24,24,True,True,56,0.9403664510850508,0.9865023478389306,True,1120,6599.485858612547,6695.322263955132,True,0.0013637425994715486,0.0014935800855824218,1.0952067392785012,False,6599.485858612547,3088.15386,,False,False
