root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,r2_member_id,r3_member_id,arm,solver_label,max_relative_state_difference,max_relative_flow_difference,max_relative_capacity_difference,r2_r3_isomorphism_gate_pass
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_radau,1.0761729328489864e-14,4.651678600881548e-15,2.1357397701785105e-15,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,R3_G125_P21_PROSE_TFAST,CCH_IPR,production_bdf,4.084695454855922e-13,2.066674876981255e-14,1.978237194140114e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_radau,2.3272064262199636e-15,6.749140216134757e-15,2.023579504403706e-16,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TREFERENCE,R3_G125_P21_PROSE_TREFERENCE,CCH_IPR,production_bdf,6.373289436586825e-13,3.2343525085190806e-14,3.0198066368667812e-15,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_radau,0.0,0.0,0.0,True
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TSLOW,R3_G125_P21_PROSE_TSLOW,CCH_ONLY,production_bdf,0.0,0.0,0.0,True
