root_id,panel_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,regulatory_member_id,arm,initial_condition,comparison_kind,reference_solver_label,comparison_solver_label,reference_numerical_gate_pass,comparison_numerical_gate_pass,both_success,max_relative_state_difference,max_abs_flow_difference_pL_s,max_relative_flow_difference,endpoint_cumulative_flow_relative_difference,max_abs_state_difference__na_i_fmol,max_abs_state_difference__k_i_fmol,max_abs_state_difference__cl_i_fmol,max_abs_state_difference__tic_i_fmol,max_abs_state_difference__alk_i_fmol,max_abs_state_difference__volume_i_pL,max_abs_state_difference__na_l_fmol,max_abs_state_difference__k_l_fmol,max_abs_state_difference__cl_l_fmol,max_abs_state_difference__tic_l_fmol,max_abs_state_difference__alk_l_fmol,max_abs_state_difference__volume_l_pL,solver_gate_pass,max_abs_state_difference__ae4_effective_activation_fraction,max_abs_state_difference__camp_effective_fraction,max_abs_state_difference__ae4_activation_fraction,max_abs_state_difference__pka_effective_activity_fraction,max_abs_state_difference__ae4_regulated_fraction
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R0_G125_P21_PROSE_STATIC,CCH_ONLY,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,1.782649584768647e-07,2.66425938537547e-09,1.969103145407983e-06,6.448642875556496e-08,6.352588499680678e-08,6.498454183656577e-07,6.272493919823319e-07,2.188817216364214e-08,2.065414861363024e-08,4.183240642774422e-09,1.506374196935667e-06,4.969668920828951e-07,1.9307816749858375e-06,7.884612263087121e-08,7.255941480988071e-08,1.3321296926660509e-08,True,,,,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R0_G125_P21_PROSE_STATIC,CCH_IPR,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,1.7873579419347258e-07,2.665301768135439e-09,1.972031758566995e-06,6.552575531391343e-08,7.1946214319496e-08,6.486064023647486e-07,6.172638506996009e-07,3.058854058934912e-08,2.893931494440949e-08,4.142860943190385e-09,1.5061718698916593e-06,4.978966852142719e-07,1.931517319420095e-06,7.893095343991519e-08,7.255122252969315e-08,1.3326508840894036e-08,True,,,,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R1_G125_P21_PROSE_TFAST,CCH_ONLY,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,1.9183543474255361e-07,2.46422405245951e-09,1.8212611271892887e-06,5.2526850514855235e-08,5.230655375498827e-08,6.224041442237649e-07,6.076041501046348e-07,1.8411943081275695e-08,1.6822035320274153e-08,4.0324010797121446e-09,1.4329400972457051e-06,5.546070180884044e-07,1.7870081716608865e-06,7.222529663231114e-08,6.5974887275555e-08,1.2321120262948071e-08,True,0.0,,,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R1_G125_P21_PROSE_TFAST,CCH_IPR,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,2.5793172246157004e-07,1.6396519751746969e-09,1.2342290569731885e-06,2.5193065359367707e-08,5.4695586726438705e-08,1.4446951013269427e-07,2.1247657855383295e-07,1.6605604002961627e-08,1.5648403461909766e-08,1.75033831872895e-09,9.043649011886146e-07,3.290592784921387e-07,1.1933706343114636e-06,4.331718383987493e-08,4.005353843039572e-08,8.198259876524006e-09,True,2.501428607581957e-07,,,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,CCH_ONLY,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,3.0448690098870786e-07,4.899708258478824e-09,3.742393448180239e-06,2.4894557573912815e-08,2.7409477354467526e-08,5.479547837694554e-07,5.681472998730897e-07,1.200297106151993e-08,9.842711534702175e-09,6.243631833768859e-09,2.997008232696885e-06,7.899361635921309e-07,3.6470353386164334e-06,1.5392030261462963e-07,1.3990905456395808e-07,2.4498541292827802e-08,True,,0.0,0.0,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R2_G125_P21_PROSE_TFAST,CCH_IPR,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,3.321593705619499e-07,1.1551448968367961e-10,8.827736747804585e-08,3.191913329871224e-10,6.082161263520902e-08,4.403054276735929e-08,1.1222635976082529e-07,9.979262749482132e-09,9.988454507947608e-09,6.988354339654279e-10,1.5677050413387406e-07,9.778296972129397e-08,8.461576150864403e-08,7.99622129621369e-09,7.841779170458807e-09,5.775724482015576e-10,True,,2.284268246777188e-07,3.3022014589434434e-07,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R3_G125_P21_PROSE_TFAST,CCH_ONLY,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,3.0448690098870786e-07,4.899708258478824e-09,3.742393448180239e-06,2.4894557573912815e-08,2.7409477354467526e-08,5.479547837694554e-07,5.681472998730897e-07,1.200297106151993e-08,9.842711534702175e-09,6.243631833768859e-09,2.997008232696885e-06,7.899361635921309e-07,3.6470353386164334e-06,1.5392030261462963e-07,1.3990905456395808e-07,2.4498541292827802e-08,True,,,,0.0,0.0
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R3_G125_P21_PROSE_TFAST,CCH_IPR,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,3.321593733538064e-07,1.1551450356146742e-10,8.82773780835946e-08,3.1918954184273716e-10,6.082159487164063e-08,4.403048592394043e-08,1.1222635976082529e-07,9.97926630219581e-09,9.98845095523393e-09,6.988349898762181e-10,1.567705059102309e-07,9.778296794493713e-08,8.46157650613577e-08,7.996220463546422e-09,7.841778504324992e-09,5.775725175904967e-10,True,,,,2.284268253438526e-07,3.302201486699019e-07
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R1_G125_P21_PROSE_TREFERENCE,CCH_ONLY,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,1.9183543474255361e-07,2.46422405245951e-09,1.8212611271892887e-06,5.2526850514855235e-08,5.230655375498827e-08,6.224041442237649e-07,6.076041501046348e-07,1.8411943081275695e-08,1.6822035320274153e-08,4.0324010797121446e-09,1.4329400972457051e-06,5.546070180884044e-07,1.7870081716608865e-06,7.222529663231114e-08,6.5974887275555e-08,1.2321120262948071e-08,True,0.0,,,,
N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1,N_ABS_NKCC,4.0,1.0,0.094586,0.4,0.05,1.0,H1,R1_G125_P21_PROSE_TREFERENCE,CCH_IPR,native_source_rest_root,RADAU_VS_BDF,production_radau,production_bdf,True,True,True,3.126089607686951e-07,5.365150063151372e-09,4.097946199281618e-06,1.4460241094940054e-08,3.394335834627782e-08,5.378041123549337e-07,5.486150342903784e-07,2.392173659160335e-08,2.274484600661708e-08,4.0186107774786706e-09,3.231447825768896e-06,8.11001938050282e-07,3.893274762134524e-06,1.645906064773328e-07,1.4917500412714446e-07,2.682575031554002e-08,True,3.0719720656158245e-08,,,,
