panel_id,parent_panel_id,stage,topology_id,routing_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,eligibility,eligibility_migration,attempt_count,converged_attempt_count,numerical_root_count,wt_passing_root_count,best_max_abs_scaled_residual,best_attempt_id,failure_union_json,start_design_json,screen_start_count,confirmation_start_count,geometry_start_count
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA05_P0.5_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,,3,2,1,0,1.5027042110649091e-12,parent_continuation_00,"[""cl_i_mM=28.6931336 outside [47.1,53.1]"", ""cl_i_mM=28.7235231 outside [47.1,53.1]"", ""k_i_mM=81.931623 outside [100,160]"", ""k_i_mM=82.0261995 outside [100,160]"", ""ph_i=6.67676437 outside [6.77,7.05]"", ""ph_i=6.69057993 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA05_P1_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,6.114900252818245e-13,parent_continuation_00,"[""cl_i_mM=28.6082124 outside [47.1,53.1]"", ""k_i_mM=90.1673512 outside [100,160]"", ""na_i_mM=9.88679278 outside [10,35]"", ""ph_i=6.68912877 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA05_P2_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,8.593386419120108e-12,parent_continuation_00,"[""cl_i_mM=28.6155883 outside [47.1,53.1]"", ""k_i_mM=93.2221731 outside [100,160]"", ""na_i_mM=7.09225204 outside [10,35]"", ""ph_i=6.70175262 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA10_P0.5_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,1.9548165169913645e-12,upper_quartile,"[""cl_i_mM=28.3397944 outside [47.1,53.1]"", ""k_i_mM=76.6351654 outside [100,160]"", ""ph_i=6.73652582 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""frozen_reference"", ""lower_quartile"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA10_P1_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,1.0095006428012532e-11,parent_continuation_00,"[""cl_i_mM=27.6347402 outside [47.1,53.1]"", ""k_i_mM=89.5569308 outside [100,160]"", ""ph_i=6.76012191 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA10_P2_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,2.8297676701871666e-12,parent_continuation_00,"[""cl_i_mM=27.4907453 outside [47.1,53.1]"", ""k_i_mM=93.2381061 outside [100,160]"", ""na_i_mM=7.67813799 outside [10,35]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P0.5_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA20_P0.5_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,4.160625836913123e-12,frozen_reference,"[""cl_i_mM=28.7048181 outside [47.1,53.1]"", ""k_i_mM=66.7518605 outside [100,160]"", ""na_i_mM=36.5483046 outside [10,35]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""frozen_reference"", ""lower_quartile"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P1_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA20_P1_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,7.265238757825365e-12,parent_continuation_00,"[""cl_i_mM=26.4535471 outside [47.1,53.1]"", ""k_i_mM=89.1540271 outside [100,160]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P2_H1,STRICT_NATIVE_S1_PHIGH_KHIGH_AE4NA20_P2_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,6.50196042839557e-12,parent_continuation_00,"[""cl_i_mM=26.1070057 outside [47.1,53.1]"", ""k_i_mM=93.8641611 outside [100,160]"", ""na_i_mM=8.35857533 outside [10,35]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P0.5_H1,STRICT_NATIVE_S1_PHIGH_KLOW_AE4NA05_P0.5_H1,PRODUCTION_ABSOLUTE_SOURCE_GRID,PHIGH_KLOW,AE4NA05,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.2,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,,3,3,1,0,8.003580437287994e-12,upper_quartile,"[""cl_i_mM=27.7913736 outside [47.1,53.1]"", ""k_i_mM=80.706919 outside [100,160]"", ""ph_i=6.67182278 outside [6.77,7.05]""]","{""actual_persisted_attempt_set"": true, ""both_quartiles_present"": true, ""count"": 3, ""kind"": ""one_parent_or_frozen_anchor_plus_both_quartiles"", ""legacy_priority_truncation"": false, ""panel_stage"": ""PRODUCTION_ABSOLUTE_SOURCE_GRID"", ""start_ids"": [""lower_quartile"", ""parent_continuation_00"", ""upper_quartile""]}",3,0,0
