attempt_id,panel_id,source_class,source_scale,pump_capacity_scale,hydraulic_scale,hydraulic_mode,eligibility,root_search_stage,root_search_start_count,start_id,optimizer_success,admissible_state,converged_root,passes_numerical_gate,passes_wt_gate,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_omitted_charge_rhs_fmol_equivalent_s,normalized_jacobian_rank,normalized_jacobian_nullity,boundary_hits_json,wt_gate_failures_json,coordinates_and_other_json,cost,optimality,nfev,message
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,lower_quartile,True,True,True,True,False,3.1252127621894665e-11,4.440892098500626e-16,3.1252127621894665e-15,3.8424124992886277e-16,11,0,[],"[""cl_i_mM=28.7235231 outside [47.1,53.1]"", ""ph_i=6.67676437 outside [6.77,7.05]"", ""k_i_mM=81.931623 outside [100,160]""]","[18.008109510294744, 81.93162295121138, 4.725276604906197, 6.676764373115886, 1.3, 137.3041071016585, 12.870768587782452, 9.492965408081806, 7.058473621396039, 0.10262699908889765, 188.1174291964551]",4.88802014232419e-22,2.29356758933543e-06,1027,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,parent_continuation_00,True,True,True,True,False,1.5027042110649091e-12,2.498001805406602e-16,1.5027042110649091e-16,1.8041124150158794e-16,11,0,[],"[""cl_i_mM=28.7235231 outside [47.1,53.1]"", ""ph_i=6.67676437 outside [6.77,7.05]"", ""k_i_mM=81.931623 outside [100,160]""]","[18.008109510294748, 81.93162295121147, 4.725276604906212, 6.676764373115891, 1.3, 137.3041071016585, 12.870768587782445, 9.492965408081654, 7.058473621396016, 0.10262699908889765, 188.117429196455]",1.2434214387961713e-24,8.498912120967891e-08,335,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,upper_quartile,False,True,False,False,False,0.0032472034293823393,0.00016236017146911697,7.824262149140095e-08,0.00047070751548956326,11,0,[],"[""cl_i_mM=28.6931336 outside [47.1,53.1]"", ""ph_i=6.69057993 outside [6.77,7.05]"", ""k_i_mM=82.0261995 outside [100,160]""]","[18.060288270030437, 82.02619948610028, 4.7130258192088235, 6.690579934971149, 1.2999807274501831, 137.31863364791315, 12.87287649463696, 9.48516799969017, 7.075261404058745, 0.10262778169777693, 187.97885002927237]",1.7422231204614427e-05,113.07098440679943,3000,The maximum number of function evaluations is exceeded.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,lower_quartile,True,True,True,True,False,2.668113126269578e-11,1.3482964744682135e-13,2.668113126269578e-15,3.841848714158935e-13,11,0,[],"[""cl_i_mM=28.6082124 outside [47.1,53.1]"", ""ph_i=6.68912877 outside [6.77,7.05]"", ""na_i_mM=9.88679278 outside [10,35]"", ""k_i_mM=90.1673512 outside [100,160]""]","[9.886792784354748, 90.16735119136187, 4.805003577571536, 6.689128774586624, 1.2999999999999812, 136.50828471766744, 13.677282264038261, 8.95107815527579, 7.035231792868355, 0.10288087897193926, 188.01615632528376]",3.6759865127636586e-22,1.9533889170625857e-06,926,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,parent_continuation_00,True,True,True,True,False,6.114900252818245e-13,3.7470027081099033e-16,6.114900252818245e-17,4.2413988987632933e-16,11,0,[],"[""cl_i_mM=28.6082124 outside [47.1,53.1]"", ""ph_i=6.68912877 outside [6.77,7.05]"", ""na_i_mM=9.88679278 outside [10,35]"", ""k_i_mM=90.1673512 outside [100,160]""]","[9.886792784346257, 90.16735119124992, 4.80500357758135, 6.689128774575418, 1.3, 136.50828471765848, 13.67728226403369, 8.951078155285476, 7.035231792854948, 0.10288087897193782, 188.01615632539918]",1.9658013325545584e-25,1.208935938485844e-08,193,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,AN_ABS_AE4_NHE,0.5,1.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,upper_quartile,True,True,True,True,False,3.1592567104055114e-11,2.914335439641036e-16,3.1592567104055114e-15,2.671474153004283e-16,11,0,[],"[""cl_i_mM=28.6082124 outside [47.1,53.1]"", ""ph_i=6.68912877 outside [6.77,7.05]"", ""na_i_mM=9.88679278 outside [10,35]"", ""k_i_mM=90.1673512 outside [100,160]""]","[9.886792784346257, 90.16735119124999, 4.805003577581338, 6.689128774575425, 1.3, 136.5082847176585, 13.677282264033689, 8.951078155285526, 7.035231792854967, 0.10288087897193782, 188.01615632539915]",5.037491712266242e-22,2.3253130274245163e-06,2911,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|lower_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,lower_quartile,True,True,True,True,False,8.593386419120108e-12,6.016021014687567e-14,8.593386419120108e-16,1.7060398233015306e-13,11,0,[],"[""cl_i_mM=28.6155883 outside [47.1,53.1]"", ""ph_i=6.70175262 outside [6.77,7.05]"", ""na_i_mM=7.09225204 outside [10,35]"", ""k_i_mM=93.2221731 outside [100,160]""]","[7.092252036994238, 93.22217309171036, 4.907054576635693, 6.701752623445582, 1.299999999999991, 136.2287216907087, 13.961191587969342, 8.747459146236833, 7.026101794536962, 0.10298719524941362, 187.53603974048104]",3.935076011065979e-23,6.278764142340631e-07,1008,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|parent_continuation_00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,parent_continuation_00,True,True,True,True,False,8.593386419120108e-12,1.5661083541118614e-14,8.593386419120108e-16,4.4444482816263786e-14,11,0,[],"[""cl_i_mM=28.6155883 outside [47.1,53.1]"", ""ph_i=6.70175262 outside [6.77,7.05]"", ""na_i_mM=7.09225204 outside [10,35]"", ""k_i_mM=93.2221731 outside [100,160]""]","[7.09225203699283, 93.22217309167155, 4.907054576638803, 6.701752623441904, 1.2999999999999976, 136.22872169070592, 13.961191587967745, 8.74745914624029, 7.0261017945325825, 0.1029871952494131, 187.5360397405202]",3.717256357298975e-23,6.221019864156843e-07,192,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1|upper_quartile,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,AN_ABS_AE4_NHE,0.5,2.0,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,upper_quartile,True,True,True,True,False,1.8224354317308844e-11,3.191891195797325e-16,1.8224354317308844e-15,1.700029006457271e-16,11,0,[],"[""cl_i_mM=28.6155883 outside [47.1,53.1]"", ""ph_i=6.70175262 outside [6.77,7.05]"", ""na_i_mM=7.09225204 outside [10,35]"", ""k_i_mM=93.2221731 outside [100,160]""]","[7.0922520369923285, 93.22217309165777, 4.907054576639932, 6.701752623440593, 1.3, 136.22872169070487, 13.961191587967162, 8.747459146241392, 7.026101794530989, 0.10298719524941291, 187.53603974053402]",1.679280144610868e-22,2.3564395840435735e-06,2723,`xtol` termination condition is satisfied.
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1|frozen_reference,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,AN_ABS_AE4_NHE,0.5,0.5,1.0,H1,PRODUCTION_PRE_REVEAL,PRODUCTION_ABSOLUTE_SOURCE_GRID,3,frozen_reference,True,True,True,True,False,2.9774902161883166e-11,2.7111646261346323e-13,2.9774902161883166e-15,6.933099927497466e-13,11,0,[],"[""cl_i_mM=28.3397944 outside [47.1,53.1]"", ""ph_i=6.73652582 outside [6.77,7.05]"", ""k_i_mM=76.6351654 outside [100,160]""]","[24.205071797600542, 76.6351654329438, 5.304915090084969, 6.736525818033555, 1.2999999999999685, 138.13929497520957, 12.029650777565545, 9.825927892048798, 7.071469360586143, 0.10251734369168591, 186.69157060020729]",4.848728105258116e-22,4.469178992192906e-06,1102,`xtol` termination condition is satisfied.
