root_id,panel_id,topology_id,routing_id,source_class,source_scale,pump_capacity_scale,apical_pump_fraction,apical_k_fraction,ae4_cation_fraction,hydraulic_scale,hydraulic_mode,eligibility,passes_numerical_gate,passes_wt_gate,core_state_json,coordinates_json,calibration_json,observables_json,member_start_ids_json,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_omitted_charge_rhs_fmol_equivalent_s,max_abs_charge_residual_fmol,max_abs_current_residual_A,normalized_jacobian_rank,normalized_jacobian_nullity,boundary_hits_json,gate_failures_json,root_search_stage,root_search_start_count,panel_confirmation_start_count,panel_geometry_start_count
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P0.5_H1,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[23.410542363383172,106.5111098365749,37.34057999968511,6.142859586378076,14.519309994328111,1.3,14.091108474423812,1.3208883561317615,14.533779179303615,0.9742345522861328,0.8782176512519584,0.10262699908889765]","[18.008109510294748,81.93162295121147,4.725276604906212,6.676764373115891,1.3,137.3041071016585,12.870768587782445,9.492965408081654,7.058473621396016,0.10262699908889765]","{""cell_other_impermeant_osmoles_fmol"":188.117429196455}","{""cl_i_mM"":28.723523076680856,""cl_l_mM"":141.61750132354695,""hco3_i_mM"":3.7347120246322745,""k_i_mM"":81.93162295121147,""k_l_mM"":12.870768587782445,""na_i_mM"":18.008109510294748,""na_l_mM"":137.3041071016585,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.17116998652017,""osm_lumen_mOsm"":301.2853424210696,""ph_i"":6.676764373115891,""ph_l"":7.058473621395832,""rest_outflow_pL_s"":0.0005253998177795288,""tic_i_mM"":4.725276604906212,""tic_l_mM"":9.492965408081654,""v_apical_mV"":-46.63389873508282,""v_basolateral_mV"":-65.30271241171806,""v_transepithelial_mV"":-18.66881367663524,""volume_i_pL"":1.3,""volume_l_pL"":0.10262699908889765}","[""parent_continuation_00"", ""lower_quartile""]",1.5027042110649091e-12,2.498001805406602e-16,1.5027042110649091e-16,1.8041124150158794e-16,2.842170943040401e-14,1.1309109937248425e-26,11,0,[],"[""cl_i_mM=28.7235231 outside [47.1,53.1]"", ""ph_i=6.67676437 outside [6.77,7.05]"", ""k_i_mM=81.931623 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P1_H1,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[12.852830619650135,117.2175565486249,37.190676070294856,6.246504650855755,14.817948892035325,1.3,14.044092318704251,1.4071308212710818,14.625613322934846,0.9208947883622814,0.8256098170404859,0.10288087897193782]","[9.886792784346257,90.16735119124992,4.80500357758135,6.689128774575418,1.3,136.50828471765848,13.67728226403369,8.951078155285476,7.035231792854948,0.10288087897193782]","{""cell_other_impermeant_osmoles_fmol"":188.01615632539918}","{""cl_i_mM"":28.608212361765272,""cl_l_mM"":142.16065676231426,""hco3_i_mM"":3.820162862682592,""k_i_mM"":90.16735119124992,""k_l_mM"":13.67728226403369,""na_i_mM"":9.886792784346257,""na_l_mM"":136.50828471765848,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.1720955498652,""osm_lumen_mOsm"":301.29730189929194,""ph_i"":6.6891287745756305,""ph_l"":7.035231792854927,""rest_outflow_pL_s"":0.0005761757943875623,""tic_i_mM"":4.80500357758135,""tic_l_mM"":8.951078155285476,""v_apical_mV"":-47.19719673022401,""v_basolateral_mV"":-67.33492898158748,""v_transepithelial_mV"":-20.13773225136347,""volume_i_pL"":1.3,""volume_l_pL"":0.10288087897193782}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",6.114900252818245e-13,3.7470027081099033e-16,6.114900252818245e-17,4.2413988987632933e-16,1.4210854715202004e-14,8.077935669463161e-27,11,0,[],"[""cl_i_mM=28.6082124 outside [47.1,53.1]"", ""ph_i=6.68912877 outside [6.77,7.05]"", ""na_i_mM=9.88679278 outside [10,35]"", ""k_i_mM=90.1673512 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA05_P2_H1,PHIGH_KHIGH,AE4NA05,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[9.219927648090662,121.1888250191728,37.2002647302758,6.379170949630432,15.146725731042814,1.2999999999999976,14.02981395933869,1.4378239639844979,14.661765635365438,0.9008762830301132,0.8058722879577479,0.1029871952494131]","[7.09225203699283,93.22217309167155,4.907054576638803,6.701752623441904,1.2999999999999976,136.22872169070592,13.961191587967745,8.74745914624029,7.0261017945325825,0.1029871952494131]","{""cell_other_impermeant_osmoles_fmol"":187.5360397405202}","{""cl_i_mM"":28.61558825405836,""cl_l_mM"":142.3649376979124,""hco3_i_mM"":3.924296208107237,""k_i_mM"":93.22217309167155,""k_l_mM"":13.961191587967743,""na_i_mM"":7.09225203699283,""na_l_mM"":136.22872169070592,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.1724831443774,""osm_lumen_mOsm"":301.3023101228264,""ph_i"":6.701752623441762,""ph_l"":7.026101794532575,""rest_outflow_pL_s"":0.0005974390498826199,""tic_i_mM"":4.907054576638803,""tic_l_mM"":8.74745914624029,""v_apical_mV"":-47.373251033322425,""v_basolateral_mV"":-68.08590071228419,""v_transepithelial_mV"":-20.712649678961753,""volume_i_pL"":1.2999999999999976,""volume_l_pL"":0.1029871952494131}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",8.593386419120108e-12,1.5661083541118614e-14,8.593386419120108e-16,4.4444482816263786e-14,1.4210854715202004e-14,4.0389678347315804e-26,11,0,[],"[""cl_i_mM=28.6155883 outside [47.1,53.1]"", ""ph_i=6.70175262 outside [6.77,7.05]"", ""na_i_mM=7.09225204 outside [10,35]"", ""k_i_mM=93.2221731 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P0.5_H1,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[31.46659333667978,99.62571506273349,36.84173266728388,6.89638961712924,16.18881352618455,1.3,14.161673580298121,1.2332478432548628,14.484193992618607,1.007328026799806,0.9107274309343754,0.10251734369168608]","[24.20507179744598,76.63516543287191,5.304915090099415,6.736525818013929,1.3,138.1392949751838,12.029650777567662,9.825927892057722,7.071469360562746,0.10251734369168608]","{""cell_other_impermeant_osmoles_fmol"":186.69157060043847}","{""cl_i_mM"":28.339794359449137,""cl_l_mM"":141.28530325735744,""hco3_i_mM"":4.3087356433300625,""k_i_mM"":76.63516543287191,""k_l_mM"":12.029650777567664,""na_i_mM"":24.20507179744598,""na_l_mM"":138.1392949751838,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.17077021866527,""osm_lumen_mOsm"":301.2801769021666,""ph_i"":6.736525818013929,""ph_l"":7.071469360563109,""rest_outflow_pL_s"":0.000503468738337215,""tic_i_mM"":5.304915090099415,""tic_l_mM"":9.825927892057722,""v_apical_mV"":-46.750185599624956,""v_basolateral_mV"":-64.46504742995819,""v_transepithelial_mV"":-17.714861830333238,""volume_i_pL"":1.3,""volume_l_pL"":0.10251734369168608}","[""frozen_reference"", ""lower_quartile"", ""upper_quartile""]",1.9548165169913645e-12,2.220446049250313e-16,1.9548165169913645e-16,2.1597307275911248e-16,4.440892098500626e-16,6.462348535570529e-27,11,0,[],"[""cl_i_mM=28.3397944 outside [47.1,53.1]"", ""ph_i=6.73652582 outside [6.77,7.05]"", ""k_i_mM=76.6351654 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P1_H1,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[14.38215588443008,116.42401006944291,35.925162286314695,7.138923087969196,16.81924146161347,1.3,14.10570164658651,1.3472657393259926,14.621755895918163,0.9266152762582031,0.8312114899943401,0.10289266200173337]","[11.063196834176985,89.5569308226484,5.491479298437842,6.760121914328492,1.3,137.09142490986267,13.09389526051232,9.005649754134973,7.037601720534493,0.10289266200173337]","{""cell_other_impermeant_osmoles_fmol"":187.6535287308823}","{""cl_i_mM"":27.634740220242072,""cl_l_mM"":142.10688703604382,""hco3_i_mM"":4.504893108624491,""k_i_mM"":89.5569308226484,""k_l_mM"":13.09389526051232,""na_i_mM"":11.063196834176985,""na_l_mM"":137.09142490986267,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.1721385069532,""osm_lumen_mOsm"":301.29785696055376,""ph_i"":6.760121914328492,""ph_l"":7.037601720534467,""rest_outflow_pL_s"":0.0005785324003466735,""tic_i_mM"":5.491479298437842,""tic_l_mM"":9.005649754134973,""v_apical_mV"":-48.099186514387675,""v_basolateral_mV"":-67.96317000606098,""v_transepithelial_mV"":-19.863983491673302,""volume_i_pL"":1.3,""volume_l_pL"":0.10289266200173337}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",1.0095006428012532e-11,5.828670879282072e-16,1.0095006428012532e-15,1.3530843112619095e-16,1.4210854715202004e-14,4.2005265481208437e-26,11,0,[],"[""cl_i_mM=27.6347402 outside [47.1,53.1]"", ""ph_i=6.76012191 outside [6.77,7.05]"", ""k_i_mM=89.5569308 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA10_P2_H1,PHIGH_KHIGH,AE4NA10,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.1,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[9.981579381193974,121.20953799253535,35.73796892518196,7.390100382292179,17.39138624260251,1.3,14.096138544549929,1.3759478096446933,14.663334281407256,0.903803702226825,0.8087520727873675,0.1030164108217774]","[7.6781379855338265,93.23810614810411,5.6846926017632144,6.779811385932197,1.3,136.83391250095895,13.356588515058434,8.773395374747063,7.027419639243688,0.1030164108217774]","{""cell_other_impermeant_osmoles_fmol"":187.2051798700839}","{""cl_i_mM"":27.490745327063046,""cl_l_mM"":142.3397899852619,""hco3_i_mM"":4.700726107112621,""k_i_mM"":93.23810614810411,""k_l_mM"":13.356588515058434,""na_i_mM"":7.678137985533826,""na_l_mM"":136.83391250095895,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.17258965483643,""osm_lumen_mOsm"":301.30368637602635,""ph_i"":6.779811385932197,""ph_l"":7.02741963924368,""rest_outflow_pL_s"":0.0006032821643554787,""tic_i_mM"":5.6846926017632144,""tic_l_mM"":8.773395374747063,""v_apical_mV"":-48.448604911877915,""v_basolateral_mV"":-68.95539559313883,""v_transepithelial_mV"":-20.50679068126092,""volume_i_pL"":1.3,""volume_l_pL"":0.1030164108217774}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",2.8297676701871666e-12,1.3877787807814457e-16,2.8297676701871666e-16,4.727121472036799e-16,1.4210854715202004e-14,2.5849394142282115e-26,11,0,[],"[""cl_i_mM=27.4907453 outside [47.1,53.1]"", ""na_i_mM=7.67813799 outside [10,35]"", ""k_i_mM=93.2381061 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P0.5_H1,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[47.51279602375206,86.77741859861516,37.316263559822914,8.231311047655533,18.91218885659947,1.2999999999999976,14.249057657312235,1.113136177178218,14.390104765517115,1.0699789760491,0.9720890689733351,0.1023077195261738]","[36.5483046336555,66.75186046047332,6.331777728965806,6.823165556695053,1.2999999999999976,139.27646636348726,10.880275528900238,10.458438336858471,7.093736057625191,0.1023077195261738]","{""cell_other_impermeant_osmoles_fmol"":181.68321856657704}","{""cl_i_mM"":28.704818122940758,""cl_l_mM"":140.65512194156216,""hco3_i_mM"":5.323077033633144,""k_i_mM"":66.75186046047332,""k_l_mM"":10.880275528900238,""na_i_mM"":36.5483046336555,""na_l_mM"":139.27646636348726,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.1700059972488,""osm_lumen_mOsm"":301.2703021708081,""ph_i"":6.8231655566950415,""ph_l"":7.093736057625191,""rest_outflow_pL_s"":0.0004615439052347598,""tic_i_mM"":6.331777728965806,""tic_l_mM"":10.458438336858471,""v_apical_mV"":-45.96066501620647,""v_basolateral_mV"":-62.04813616130338,""v_transepithelial_mV"":-16.087471145096913,""volume_i_pL"":1.2999999999999976,""volume_l_pL"":0.1023077195261738}","[""frozen_reference"", ""lower_quartile"", ""upper_quartile""]",4.160625836913123e-12,2.403632848313464e-14,4.1606258369131233e-16,4.09654948851923e-14,1.4210854715202004e-14,8.077935669463161e-27,11,0,[],"[""cl_i_mM=28.7048181 outside [47.1,53.1]"", ""na_i_mM=36.5483046 outside [10,35]"", ""k_i_mM=66.7518605 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P1_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P1_H1,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,1.0,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[16.494994313323062,115.9002351724347,34.38961125854099,8.649388087296613,19.94385602127192,1.3,14.173939137470146,1.2809147721640017,14.616918942107294,0.9335693024407538,0.8379349675268557,0.10290573943428942]","[12.688457164094663,89.154027055719,6.6533754517666255,6.858399292525136,1.3,137.73710985790964,12.44745705347107,9.07208196134566,7.040025864370603,0.10290573943428942]","{""cell_other_impermeant_osmoles_fmol"":186.08961320632017}","{""cl_i_mM"":26.453547121954607,""cl_l_mM"":142.04182412430887,""hco3_i_mM"":5.663490626841619,""k_i_mM"":89.154027055719,""k_l_mM"":12.44745705347107,""na_i_mM"":12.688457164094663,""na_l_mM"":137.73710985790964,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.17218618301195,""osm_lumen_mOsm"":301.2984729970352,""ph_i"":6.858399292525136,""ph_l"":7.040025864370568,""rest_outflow_pL_s"":0.0005811478868578829,""tic_i_mM"":6.653375451766625,""tic_l_mM"":9.07208196134566,""v_apical_mV"":-49.23799828058705,""v_basolateral_mV"":-68.77733633714345,""v_transepithelial_mV"":-19.539338056556396,""volume_i_pL"":1.3,""volume_l_pL"":0.10290573943428942}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",7.265238757825365e-12,2.914335439641036e-16,7.265238757825365e-16,4.3021142204224816e-16,1.4210854715202004e-14,1.1309109937248425e-26,11,0,[],"[""cl_i_mM=26.4535471 outside [47.1,53.1]"", ""k_i_mM=89.1540271 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KHIGH_AE4NA20_P2_H1,PHIGH_KHIGH,AE4NA20,AN_ABS_AE4_NHE,0.5,2.0,0.094586,0.4,0.2,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[10.866147930788298,122.02340945786244,33.93910736085555,9.110118144829123,20.888687821850358,1.3,14.169342530116051,1.3086149042413429,14.666642425952672,0.9064691033971788,0.8113150084047224,0.10305509873720047]","[8.358575331375613,93.86416112143264,7.007783188330094,6.886722131450431,1.3,137.49288199945465,12.698206302032911,8.795965600001553,7.0283165010438085,0.10305509873720047]","{""cell_other_impermeant_osmoles_fmol"":185.58576701354872}","{""cl_i_mM"":26.107005662196578,""cl_l_mM"":142.31845493985597,""hco3_i_mM"":6.021488466899819,""k_i_mM"":93.86416112143264,""k_l_mM"":12.698206302032911,""na_i_mM"":8.358575331375613,""na_l_mM"":137.49288199945465,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.1727306983724,""osm_lumen_mOsm"":301.3055088413451,""ph_i"":6.886722131450431,""ph_l"":7.028316501043799,""rest_outflow_pL_s"":0.000611019747440092,""tic_i_mM"":7.0077831883300945,""tic_l_mM"":8.795965600001553,""v_apical_mV"":-49.840621907784254,""v_basolateral_mV"":-70.12987584099002,""v_transepithelial_mV"":-20.28925393320577,""volume_i_pL"":1.3,""volume_l_pL"":0.10305509873720047}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",6.50196042839557e-12,2.498001805406602e-16,6.50196042839557e-16,3.616898447411643e-16,2.842170943040401e-14,9.693522803355793e-27,11,0,[],"[""cl_i_mM=26.1070057 outside [47.1,53.1]"", ""na_i_mM=8.35857533 outside [10,35]"", ""k_i_mM=93.8641611 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P0.5_H1:B00,AN_ABS_AE4_NHE_S0.5_PHIGH_KLOW_AE4NA05_P0.5_H1,PHIGH_KLOW,AE4NA05,AN_ABS_AE4_NHE,0.5,0.5,0.094586,0.2,0.05,1.0,H1,PRODUCTION_PRE_REVEAL,True,False,"[23.661135926706248,104.91899466699272,36.1287857085453,6.087445447520284,14.389582679208813,1.3,14.243942133298697,1.1691866852127364,14.550230868656378,0.9589178320540231,0.862897949855056,0.10263440453824442]","[18.200873789774036,80.70691897460978,4.682650344246372,6.67182277853334,1.3,138.78330757977955,11.391761763250305,9.343044726261395,7.050905712292136,0.10263440453824442]","{""cell_other_impermeant_osmoles_fmol"":190.72619432992425}","{""cl_i_mM"":27.791373621957923,""cl_l_mM"":141.76757719907226,""hco3_i_mM"":3.692180205214037,""k_i_mM"":80.70691897460978,""k_l_mM"":11.391761763250305,""na_i_mM"":18.200873789774036,""na_l_mM"":138.78330757977955,""osm_bath_mOsm"":301.1615928036609,""osm_cell_mOsm"":301.17119698437597,""osm_lumen_mOsm"":301.2856912683635,""ph_i"":6.67182277853334,""ph_l"":7.050905712292041,""rest_outflow_pL_s"":0.0005268809076488829,""tic_i_mM"":4.682650344246372,""tic_l_mM"":9.343044726261395,""v_apical_mV"":-47.60244784478875,""v_basolateral_mV"":-66.87091936449039,""v_transepithelial_mV"":-19.268471519701645,""volume_i_pL"":1.3,""volume_l_pL"":0.10263440453824442}","[""parent_continuation_00"", ""lower_quartile"", ""upper_quartile""]",8.003580437287994e-12,4.163336342344337e-16,8.003580437287994e-16,4.961309141293668e-16,1.4210854715202004e-14,1.9387045606711586e-26,11,0,[],"[""cl_i_mM=27.7913736 outside [47.1,53.1]"", ""ph_i=6.67182278 outside [6.77,7.05]"", ""k_i_mM=80.706919 outside [100,160]""]",PRODUCTION_ABSOLUTE_SOURCE_GRID,3,0,0
