member_id,family,gain_label,fully_activated_multiplier,timing_label,timing_parameters_json,kinetic_evidence_status,regulatory_model_class,success,positive_core,capacity_t50_s,capacity_t90_s,endpoint_capacity_multiplier,flow_60_pL_s,flow_600_pL_s,flow_600_over_60,flow_decline_percent,minute_min_flow_pL_s,minute_max_flow_pL_s,minute_max_min_ratio,envelope_ratio_limit,feasible_single_scale,feasible_multiplier_lower_uL_min_per_pL_s,feasible_multiplier_upper_uL_min_per_pL_s,scaled_min_uL_min,scaled_max_uL_min,minutes_in_9_10_envelope,mean_scale_effective_cell_count,endpoint_cl_mM,endpoint_ph,endpoint_volume_pL,endpoint_flow_pL_s,cumulative_flow_pL
R0_G125_P21_PROSE_STATIC,R0,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static,True,True,1e-06,1e-06,1.25,0.0011017095279100802,0.0006358345381303421,0.5771344642326066,42.28655357673934,0.0006358345381303421,0.0011017095279100802,1.7326984645244872,1.1111111111111112,False,14154.62586613226,9076.802684070264,7.263993629703703,12.586310608503261,1,190405763.18967408,20.02992784520671,6.809759827546887,0.9647921054709642,0.0006358345381303421,0.4989344776574072
R1_G125_P21_PROSE_TFAST,R1,G125_P21_PROSE,1.25,TFAST,"{""tau_activation_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,True,True,10.0,25.0,1.25,0.0011019908963183001,0.0006359105270224291,0.5770560620300733,42.294393796992665,0.0006359105270224291,0.0011019908963183001,1.7329338790446411,1.1111111111111112,False,14152.934442116197,9074.485128152628,7.262340177800979,12.585155335258401,1,190339674.87548843,20.0326263639388,6.809917216194641,0.9648247519909632,0.0006359105270224291,0.4991077139442667
R2_G125_P21_PROSE_TFAST,R2,G125_P21_PROSE,1.25,TFAST,"{""tau_activation_s"": 10.0, ""tau_camp_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,True,True,15.0,30.0,1.25,0.0011020723218911983,0.000635933466930358,0.5770342420351069,42.29657579648931,0.000635933466930358,0.0011020723218911983,1.732999408272828,1.1111111111111112,False,14152.42390598324,9073.814668387295,7.261854158907813,12.584788960350814,1,190320071.1116495,20.033439463259256,6.809965483775076,0.9648346425946634,0.000635933466930358,0.499159124127634
R3_G125_P21_PROSE_TFAST,R3,G125_P21_PROSE,1.25,TFAST,"{""forward_regulation_rate_s"": 0.1, ""reverse_regulation_rate_s"": 0.1, ""tau_pka_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,True,True,15.0,30.0,1.25,0.0011020723218911983,0.0006359334669326617,0.5770342420371972,42.29657579628028,0.0006359334669326617,0.0011020723218911983,1.73299940826655,1.1111111111111112,False,14152.423905931972,9073.814668387295,7.26185415893404,12.584788960350675,1,190320071.11164743,20.03343946324954,6.809965483775078,0.9648346425951352,0.0006359334669326617,0.4991591241276396
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,"{""tau_activation_s"": 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,True,True,25.0,70.0,1.2499999994847115,0.001102553880299878,0.0006360646750082244,0.5769012166872285,42.30987833127715,0.0006360646750082244,0.001102553880299878,1.7333990136861817,1.1111111111111112,False,14149.504529368225,9069.8515316822,7.2594036836074025,12.583443185114906,1,190216602.4105839,20.03801170914042,6.810256705638969,0.9648917594205783,0.0006360646750082244,0.49943064273086873
R2_G125_P21_PROSE_TREFERENCE,R2,G125_P21_PROSE,1.25,TREFERENCE,"{""tau_activation_s"": 30.0, ""tau_camp_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,True,True,35.0,85.0,1.2499999992270672,0.0011028106287005097,0.0006361426138645321,0.5768375796433219,42.316242035667806,0.0006361426138645321,0.0011028106287005097,1.7335902432333443,1.1111111111111112,False,14147.770961806009,9067.739954395833,7.257976311703547,12.582356919588001,1,190155900.93369502,20.040739560972995,6.810428744622471,0.9649256832422239,0.0006361426138645321,0.49959007074476897
R3_G125_P21_PROSE_TREFERENCE,R3,G125_P21_PROSE,1.25,TREFERENCE,"{""forward_regulation_rate_s"": 0.03333333333333333, ""reverse_regulation_rate_s"": 0.03333333333333333, ""tau_pka_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,True,True,35.0,85.0,1.2499999992270672,0.0011028106287005097,0.0006361426138646931,0.5768375796434679,42.316242035653204,0.0006361426138646931,0.0011028106287005097,1.7335902432329056,1.1111111111111112,False,14147.770961802427,9067.739954395833,7.257976311752789,12.582356919670184,1,190155900.934937,20.040739560979777,6.810428744622473,0.9649256832422807,0.0006361426138646931,0.49959007074150574
R1_G125_P21_PROSE_TSLOW,R1,G125_P21_PROSE,1.25,TSLOW,"{""tau_activation_s"": 120.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,True,True,85.0,270.0,1.2483155132361898,0.0011033479765442695,0.0006367890942060334,0.5771425767240563,42.28574232759436,0.0006367890942060334,0.0011033479765442695,1.7326741091883096,1.1111111111111112,False,14133.407876938367,9063.323822209204,7.252268195480339,12.565817335198606,1,189813452.66605818,20.061123758355983,6.811791386671298,0.965197192342901,0.0006367890942060334,0.5004913965035714
R2_G125_P21_PROSE_TSLOW,R2,G125_P21_PROSE,1.25,TSLOW,"{""tau_activation_s"": 120.0, ""tau_camp_s"": 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,True,True,115.0,305.0,1.247754017820016,0.0011035864745809476,0.000637040060713548,0.5772452593308957,42.275474066910434,0.000637040060713548,0.0011035864745809476,1.7323658944538298,1.1111111111111112,False,14127.839919390797,9061.365131171246,7.250202467872472,12.56000348322726,1,189684629.3505081,20.069310187751885,6.8123208338786405,0.9653039498588317,0.000637040060713548,0.5008313025957133
R3_G125_P21_PROSE_TSLOW,R3,G125_P21_PROSE,1.25,TSLOW,"{""forward_regulation_rate_s"": 0.008333333333333333, ""reverse_regulation_rate_s"": 0.008333333333333333, ""tau_pka_s"": 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,True,True,115.0,305.0,1.2477540178200157,0.0011035864745809476,0.000637040060713598,0.577245259330941,42.27547406690591,0.000637040060713598,0.0011035864745809476,1.732365894453694,1.1111111111111112,False,14127.83991938969,9061.365131171246,7.250202467902247,12.560003483277857,1,189684629.35127223,20.069310187754006,6.812320833878641,0.9653039498588493,0.000637040060713598,0.5008313025936958
