member_id,family,gain_label,fully_activated_multiplier,timing_label,timing_parameters,kinetic_evidence_status,regulatory_model_class,time_s,time_min,model_flow_pL_s,scaled_WT_flow_uL_min,source_envelope_lower_uL_min,source_envelope_upper_uL_min
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,0.0,0.0,0.0003282133875325083,3.745898126526122,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,60.0,1.0,0.001102553880299878,12.583443185114906,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,120.0,2.0,0.0009962229472140816,11.369888655751266,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,180.0,3.0,0.0009132351072935002,10.422748758686081,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,240.0,4.0,0.0008400188884803789,9.587132335647173,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,300.0,5.0,0.0007789037521846843,8.889625520725565,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,360.0,6.0,0.0007306048044080055,8.3383898159604,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,420.0,7.0,0.0006941756380560021,7.922623880832718,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,480.0,8.0,0.0006677107585826653,7.620580313435294,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,540.0,9.0,0.0006490165383291613,7.407223249755094,9.0,10.0
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,600.0,10.0,0.0006360646750082244,7.2594036836074025,9.0,10.0
