root_id,selected_reference,variant_id,routing_na_fraction,apical_pump_fraction,apical_k_fraction,profile_id,effective_calcium_uM,nkcc1_fully_activated_multiplier,nkcc1_normalization_rest_calcium_uM,nkcc1_normalization_stimulated_calcium_uM,calcium_evidence_status,nkcc_gain_evidence_status,source_defensibility_status,regulatory_member_id,regulatory_family,ae4_fully_activated_multiplier,regulatory_timing_label,regulatory_timing_parameters_json,regulatory_kinetic_evidence_status,solver_label,success,message,positive_core,all_flow_nonnegative,max_dimensionless_conservation_ratio,numerical_gate_pass,minute_flow_60_pL_s,minute_flow_600_pL_s,minute_flow_min_pL_s,minute_flow_max_pL_s,minute_flow_max_min_ratio,individual_shape_gate_pass,individual_scale_multiplier_uL_min_per_pL_s,individual_scale_implied_effective_cell_count,implied_cell_count_status,ae4_capacity_multiplier_endpoint,nkcc1_capacity_multiplier_onset,nkcc1_capacity_multiplier_endpoint,isolated_nkcc_fractional_cl_rate_onset_s_inv,uptake_observation_status,endpoint_na_mM,endpoint_k_mM,endpoint_cl_mM,endpoint_ph,endpoint_volume_pL,endpoint_flow_pL_s,cumulative_flow_pL,common_scale_multiplier_uL_min_per_pL_s,common_scaled_minute_min_uL_min,common_scaled_minute_max_uL_min,common_scale_member_gate_pass
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R0_G125_P21_PROSE_STATIC,R0,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.006270539643082884,True,0.0005540915812561165,0.0005462619623183062,0.0005462619623183062,0.0005540915812561165,1.0143330846332075,True,17234.83848703734,287247308.117289,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.898329264293938,104.97334364258812,47.02370845983876,6.8940396125163135,1.2533433027879,0.0005462619623183062,0.33072546657672974,17234.89717373195,9.414768750477046,9.54971142777971,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R0_G125_P21_PROSE_STATIC,R0,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006282974140958686,True,0.0005540915991360973,0.000546261962395292,0.000546261962395292,0.0005540915991360973,1.014333117221769,True,17234.84058935193,287247343.1558655,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.898329259650577,104.9733436532723,47.02370847819169,6.894039612633717,1.2533433030469452,0.000546261962395292,0.3307254262346697,17234.89717373195,9.414768751803887,9.549711735939342,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R1_G125_P21_PROSE_TFAST,R1,1.25,TFAST,"{""tau_activation_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.006254552431528282,True,0.0005535787773533945,0.0005463611923449103,0.0005463611923449103,0.0005535787773533945,1.0132102812381445,True,17234.975462641847,287249591.0440308,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.890806880946204,104.98910243329928,47.04788437013069,6.8942237251591605,1.2536873005988278,0.0005463611923449103,0.33072283812386016,17234.89717373195,9.416478969782114,9.54087330524601,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R1_G125_P21_PROSE_TFAST,R1,1.25,TFAST,"{""tau_activation_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006259881502046483,True,0.0005535787839127837,0.000546361192363129,0.000546361192363129,0.0005535787839127837,1.0132102932099498,True,17234.97611020488,287249601.836748,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.890806880088224,104.98910243557032,47.047884374384914,6.894223725187815,1.253687300658985,0.000546361192363129,0.3307228256977398,17234.89717373195,9.416478970096112,9.540873418296407,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R2_G125_P21_PROSE_TFAST,R2,1.25,TFAST,"{""tau_activation_s"": 10.0, ""tau_camp_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.00623856521997368,True,0.0005534184534350589,0.0005463911433323532,0.0005463911433323532,0.0005534184534350589,1.0128613177363148,True,17235.024608669,287250410.1444833,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.88852735291613,104.99386886849936,47.055188719492826,6.894279196154297,1.2537912574251768,0.0005463911433323532,0.3307218950608851,17234.89717373195,9.416995171970944,9.538110138999004,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R2_G125_P21_PROSE_TFAST,R2,1.25,TFAST,"{""tau_activation_s"": 10.0, ""tau_camp_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006247447004170681,True,0.0005534184542593968,0.0005463911433280788,0.0005463911433280788,0.0005534184542593968,1.0128613192529339,True,17235.02467692392,287250411.28206533,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.888527353208467,104.99386886786019,47.05518871846369,6.894279196146855,1.2537912574105645,0.0005463911433280788,0.3307218937511454,17234.89717373195,9.416995171897275,9.538110153206382,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R3_G125_P21_PROSE_TFAST,R3,1.25,TFAST,"{""forward_regulation_rate_s"": 0.1, ""reverse_regulation_rate_s"": 0.1, ""tau_pka_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.00624389429049188,True,0.0005534184534350589,0.0005463911433323505,0.0005463911433323505,0.0005534184534350589,1.01286131773632,True,17235.024608669002,287250410.1444834,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.888527352916128,104.9938688684993,47.055188719492875,6.894279196154297,1.2537912574251766,0.0005463911433323505,0.3307218950608851,17234.89717373195,9.416995171970896,9.538110138999004,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R3_G125_P21_PROSE_TFAST,R3,1.25,TFAST,"{""forward_regulation_rate_s"": 0.1, ""reverse_regulation_rate_s"": 0.1, ""tau_pka_s"": 3.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006245670647331281,True,0.0005534184542594023,0.0005463911433280761,0.0005463911433280761,0.0005534184542594023,1.012861319252949,True,17235.024676923917,287250411.2820653,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.25,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.888527353208463,104.99386886786039,47.05518871846364,6.894279196146853,1.2537912574105663,0.0005463911433280761,0.33072189375114525,17234.89717373195,9.416995171897229,9.538110153206478,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R1_G125_P21_PROSE_TREFERENCE,R1,1.25,TREFERENCE,"{""tau_activation_s"": 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.006293632281995087,True,0.0005527644920150287,0.0005465717315646989,0.0005465717315646989,0.0005529171735196486,1.0116095319031306,True,17234.89717373195,287248286.22886586,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.2499999994847115,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.873185952699355,105.02427509467567,47.0999081712132,6.8946013064290375,1.2544268878734441,0.0005465717315646989,0.3307243404206372,17234.89717373195,9.42010759158621,9.52947063120165,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R1_G125_P21_PROSE_TREFERENCE,R1,1.25,TREFERENCE,"{""tau_activation_s"": 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006288303211476887,True,0.0005527645085387667,0.0005465717316250951,0.0005465717316250951,0.0005529171741882804,1.0116095330146673,True,17234.899032510435,287248317.20850724,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.249999999484709,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.873185949657664,105.02427510244594,47.09990818539929,6.894601306526406,1.2544268880744502,0.0005465717316250951,0.33072430475212006,17234.89717373195,9.42010759262713,9.529470642725451,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R2_G125_P21_PROSE_TREFERENCE,R2,1.25,TREFERENCE,"{""tau_activation_s"": 30.0, ""tau_camp_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.006208367153703875,True,0.0005523332595219144,0.0005466769968761748,0.0005466769968761748,0.0005529718184936333,1.011514700002796,True,17234.989776035458,287249829.60059094,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.2499999992270674,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.864488337789087,105.04174900929951,47.12590862671054,6.894790646090057,1.2547968612980749,0.0005466769968761748,0.3307225634636359,17234.89717373195,9.421921828405456,9.530412431709339,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R2_G125_P21_PROSE_TREFERENCE,R2,1.25,TREFERENCE,"{""tau_activation_s"": 30.0, ""tau_camp_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_bdf,True,The solver successfully reached the end of the integration interval.,True,True,0.006204814440025075,True,0.0005523332655471947,0.0005466769969102753,0.0005466769969102753,0.0005529718186030097,1.0115147001397746,True,17234.99059390327,287249843.23172116,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.2499999992270638,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.86448833600384,105.04174901376682,47.12590863475164,6.894790646145473,1.2547968614121023,0.0005466769969102753,0.33072254776955473,17234.89717373195,9.421921828993176,9.53041243359443,True
G2_ASYMMETRIC_APICAL_K_BIASED_G10:M00,False,G2_ASYMMETRIC_APICAL_K_BIASED_G10,0.1,0.1,0.3,CA010_N1_M1P75,0.1,1.75,0.058,0.1,WT_FLOW_SHAPE_CALIBRATION_PROFILE; ACUTE_CA_NOT_MEASURED_IN_P15,P15_DIRECTION_AND_NOMINAL_GAIN_PROFILE,SOURCE_CENTERED_WT_PROFILE_REQUIRES_CA_DEFENSIBILITY_REVIEW,R3_G125_P21_PROSE_TREFERENCE,R3,1.25,TREFERENCE,"{""forward_regulation_rate_s"": 0.03333333333333333, ""reverse_regulation_rate_s"": 0.03333333333333333, ""tau_pka_s"": 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,production_radau,True,The solver successfully reached the end of the integration interval.,True,True,0.006204814440025075,True,0.0005523332595219172,0.0005466769968761776,0.0005466769968761776,0.0005529718184936333,1.0115147000027906,True,17234.989776035443,287249829.6005907,WARNING_NO_PRIMARY_GEOMETRY_RANGE,1.2499999992270674,1.75,1.75,0.002061808199823622,MECHANISTIC_DIAGNOSTIC_NOT_EQUATED_TO_SPQ_TOTAL_WITHOUT_MAP,19.864488337789084,105.0417490092996,47.125908626710526,6.894790646090056,1.2547968612980755,0.0005466769968761776,0.33072256346363627,17234.89717373195,9.421921828405504,9.530412431709339,True
