family,arm,regulatory_initialization,calcium_uM,beta_input,capacity_multiplier,cell_cl_mM,d_cell_cl_mM_s,fractional_cell_cl_rate_s,flow_pL_s,member_id,gain_label,fully_activated_multiplier,timing_label,timing_parameters,kinetic_evidence_status,regulatory_model_class
R0,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R0,CCH_ONLY,beta_preconditioned,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R0,IPR_ONLY,basal_at_onset,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R0,IPR_ONLY,beta_preconditioned,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R0,CCH_IPR,basal_at_onset,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R0,CCH_IPR,beta_preconditioned,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R0_G125_P21_PROSE_STATIC,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static
R1,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_ONLY,beta_preconditioned,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,IPR_ONLY,basal_at_onset,0.058,1.0,1.0,50.09999999999999,1.4658872072923144e-15,2.925922569445738e-17,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,IPR_ONLY,beta_preconditioned,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_IPR,basal_at_onset,0.55,1.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_IPR,beta_preconditioned,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R1_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R2,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R2,CCH_ONLY,beta_preconditioned,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R2,IPR_ONLY,basal_at_onset,0.058,1.0,1.0,50.09999999999999,1.4658872072923144e-15,2.925922569445738e-17,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R2,IPR_ONLY,beta_preconditioned,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R2,CCH_IPR,basal_at_onset,0.55,1.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R2,CCH_IPR,beta_preconditioned,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R2_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
R3,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R3,CCH_ONLY,beta_preconditioned,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R3,IPR_ONLY,basal_at_onset,0.058,1.0,1.0,50.09999999999999,1.4658872072923144e-15,2.925922569445738e-17,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R3,IPR_ONLY,beta_preconditioned,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R3,CCH_IPR,basal_at_onset,0.55,1.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R3,CCH_IPR,beta_preconditioned,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R3_G125_P21_PROSE_TFAST,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction
R1,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_ONLY,beta_preconditioned,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,IPR_ONLY,basal_at_onset,0.058,1.0,1.0,50.09999999999999,1.4658872072923144e-15,2.925922569445738e-17,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,IPR_ONLY,beta_preconditioned,0.058,1.0,1.25,50.09999999999999,0.0008023905546406114,1.6015779533744743e-05,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_IPR,basal_at_onset,0.55,1.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R1,CCH_IPR,beta_preconditioned,0.55,1.0,1.25,50.09999999999999,-0.27406384798005323,-0.005470336287027012,0.0003282133875325083,R1_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation
R2,CCH_ONLY,basal_at_onset,0.55,0.0,1.0,50.09999999999999,-0.27486623853469233,-0.0054863520665607264,0.0003282133875325083,R2_G125_P21_PROSE_TREFERENCE,G125_P21_PROSE,1.25,TREFERENCE,"{'tau_camp_s': 10.0, 'tau_activation_s': 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation
