variant_id,root_id,parameter,value,unit,tier,provenance,fit_status,note
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.2676313500613563,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,nhe1_capacity_fmol_s,0.010821051543104095,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,cell_other_impermeant_osmoles_fmol,127.47397009238352,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,mixed_bath_na_attempt_fraction,0.05,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,apical_pump_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,apical_k_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.15901451315117437,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,nhe1_capacity_fmol_s,0.007583135783803347,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,cell_other_impermeant_osmoles_fmol,124.79448458672735,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,mixed_bath_na_attempt_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,apical_pump_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,apical_k_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.10247006986325294,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,nhe1_capacity_fmol_s,0.0021378283629521345,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,cell_other_impermeant_osmoles_fmol,120.2615624753795,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,mixed_bath_na_attempt_fraction,0.2,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,apical_pump_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,apical_k_fraction,0.03,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.25225031468641934,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,nhe1_capacity_fmol_s,0.010717544852175982,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,cell_other_impermeant_osmoles_fmol,127.4313633379654,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,mixed_bath_na_attempt_fraction,0.05,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,apical_k_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.1501264265070657,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,nhe1_capacity_fmol_s,0.007440980590414482,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,cell_other_impermeant_osmoles_fmol,124.71681310732373,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,mixed_bath_na_attempt_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,apical_k_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,ae4_carrier_amount_fmol_at_unit_rate_gauge,0.09692050768280884,fmol carrier,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest composite; attempt rates fixed at the declared 1 s^-1 gauge; amount/rate split unidentifiable
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,nhe1_capacity_fmol_s,0.001974798188888925,fmol s^-1,2,NEW_MODELING_DECISION,FITTED_WT_ONLY,WT-rest acid-base closure only
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,common_membrane_conductance_scale,10.0,dimensionless,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,profiled fixed voltage-gate axis; not identified
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,cell_other_impermeant_osmoles_fmol,120.16232210790157,fmol osmoles,3,NEW_MODELING_DECISION,FITTED_WT_ONLY,OTHER pool; excludes explicit finite buffer
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,mixed_bath_na_attempt_fraction,0.2,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,unmeasured native mixed-bath routing
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,apical_pump_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,localization supported; fraction unmeasured
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,apical_k_fraction,0.1,fraction,3,NEW_MODELING_DECISION,PROFILED_FIXED_AXIS,apical current supported; fraction unmeasured
