variant_id,conductance_scale,start_id,optimizer_success,admissible_state,converged_root,max_abs_scaled_residual,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,cost,optimality,nfev,boundary_hits,message,profile_stage
G2_LOW_APICAL_K_HEAVY_G10,10.0,preferred,True,True,True,1.5222198501696482e-11,2.3115190317390955e-16,1.5222198501696482e-15,0.0,2.7582103268031233e-16,1.1586060369161503e-22,1.5426568392144752e-06,301,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,lower_quartile,True,True,True,1.767791642237615e-11,1.1283834110142887e-16,1.767791642237615e-15,0.0,9.8879238130678e-17,1.5945758469200436e-22,1.8120411996819878e-06,655,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,upper_quartile,True,True,True,1.767791642237615e-11,4.163336342344337e-17,1.767791642237615e-15,0.0,3.2959746043559335e-17,1.594575359752052e-22,1.812041214222899e-06,681,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,latin_000,True,True,True,1.767791642237615e-11,1.2649928847474623e-16,1.767791642237615e-15,0.0,1.0755285551056204e-16,1.5945758921796383e-22,1.8120411996819878e-06,543,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,latin_001,True,True,True,1.5222198501696482e-11,5.551115123125783e-17,1.5222198501696482e-15,0.0,3.5561831257524545e-17,1.158602774754938e-22,1.5426568515936781e-06,424,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,latin_002,True,False,False,inf,inf,inf,inf,inf,6500000000000.0,0.0,1,,`gtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_HEAVY_G10,10.0,latin_003,True,True,True,1.5222198501696482e-11,1.810346577507671e-16,1.5222198501696482e-15,0.0,2.1510571102112408e-16,1.158603605102801e-22,1.5426568392144752e-06,1228,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_BIASED_G10,10.0,preferred,True,True,True,2.893301917494817e-11,1.8786513143742578e-16,2.893301917494817e-15,0.0,1.4051260155412137e-16,4.251028685563846e-22,2.866097035236876e-06,270,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_BIASED_G10,10.0,lower_quartile,True,True,True,3.452696028388713e-11,2.0122792321330962e-16,3.452696028388713e-15,0.0,2.1337098754514727e-16,5.968928649776986e-22,3.843795722061813e-06,601,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_BIASED_G10,10.0,upper_quartile,True,True,True,2.6477301254268504e-11,2.0122792321330962e-16,2.6477301254268504e-15,0.0,1.8735013540549517e-16,3.5103766245024915e-22,2.6053958092235667e-06,595,,`xtol` termination condition is satisfied.,confirm
G2_LOW_APICAL_K_BIASED_G10,10.0,latin_000,True,True,True,5.252417424606026e-12,1.5959455978986625e-16,5.252417424606026e-16,0.0,2.42861286636753e-17,1.483368582166908e-23,5.954342427239369e-07,257,,`xtol` termination condition is satisfied.,confirm
