variant_id,root_id,status,routing_na_fraction,apical_pump_fraction,apical_k_fraction,conductance_scale,converged_starts,distinct_root_count,passes_numerical_gate,passes_wt_gate,boundary_hits,source_supported_boundary_hits,disallowed_boundary_hits,gate_failures,max_abs_scaled_independent_rhs,max_abs_amount_rhs_fmol_s,max_abs_volume_rhs_pL_s,max_abs_regulatory_rhs_s_inv,max_abs_omitted_charge_rhs_fmol_equivalent_s,jacobian_rank,jacobian_nullity,jacobian_smallest_singular_value,na_i_mM,k_i_mM,cl_i_mM,tic_i_mM,hco3_i_mM,ph_i,volume_i_pL,v_apical_mV,v_basolateral_mV,na_l_mM,k_l_mM,cl_l_mM,tic_l_mM,ph_l,volume_l_pL,rest_outflow_pL_s
G2_LOW_APICAL_K_HEAVY_G10,G2_LOW_APICAL_K_HEAVY_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.05,0.03,0.03,10.0,6,1,True,True,,,,,1.5222198501696482e-11,2.3115190317390955e-16,1.5222198501696482e-15,0.0,2.7582103268031233e-16,13,0,1.0837700897779636,15.734322422407736,109.14141352971987,50.09999999999997,5.057338713481683,4.37755274124867,6.910000000000001,1.3,-61.55971469744091,-73.31376965072714,144.65098122394647,5.641368356852604,138.34763981154336,12.590151016552547,7.357150019544131,0.10145515194524958,0.00029103038904991496
G2_LOW_APICAL_K_BIASED_G10,G2_LOW_APICAL_K_BIASED_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.1,0.03,0.03,10.0,6,1,True,True,,,,,5.252417424606026e-12,1.5959455978986625e-16,5.252417424606026e-16,0.0,2.42861286636753e-17,13,0,1.2295198050415594,15.26401828229995,110.56844930753216,50.10000000000001,6.1617404678366325,5.333505506351884,6.91,1.3,-61.461399418018964,-73.19574666931936,144.55114272898575,5.667994673626414,138.26709460314845,12.743788175652538,7.271875707504034,0.10145259971525625,0.0002905199430512484
G2_LOW_APICAL_MODERATE_NA_G10,G2_LOW_APICAL_MODERATE_NA_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.2,0.03,0.03,10.0,7,1,True,True,,,,,1.1800998546418473e-11,1.942890293094024e-16,1.1800998546418473e-15,0.0,1.3444106938820255e-16,13,0,1.4053116997922195,14.508276736141168,112.9427045079748,50.10000000000001,8.030069316581876,6.950701533103302,6.91,1.3,-61.263506849499606,-72.95506401524159,144.38127200343533,5.71469878674599,138.1234299239607,13.010352519153193,7.157817386996116,0.10144693284955329,0.0002893865699106574
G2_LOW_APICAL_EQUAL_G10,,NO_EXACT_INTERIOR_ROOT,0.5,0.03,0.03,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.06408157262146025,0.0032040786310730124,1.8172082762168973e-11,0.0,0.009411713749699336,,,,,,,,,,,,,,,,,,,
G2_LOW_APICAL_NA_BIASED_G10,,NO_EXACT_INTERIOR_ROOT,0.9,0.03,0.03,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.2975502184415014,0.014877510922075073,1.710303594170022e-10,0.0,0.03955575605488972,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_K_HEAVY_G10,G2_BALANCED_APICAL_K_HEAVY_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.05,0.1,0.1,10.0,6,1,True,True,,,,,9.21029745526436e-13,1.5723642006471028e-16,9.21029745526436e-17,0.0,9.8879238130678e-17,13,0,1.1020061792589944,15.203063879802041,109.6882100486289,50.100000000000016,5.075274953501273,4.393078068127832,6.91,1.3,-62.34207598462074,-72.79215045710062,146.26472041529837,4.032350336837032,138.20553857686593,12.736573271857832,7.362483089250317,0.10164710268052501,0.0003294205361050018
G2_BALANCED_APICAL_K_BIASED_G10,G2_BALANCED_APICAL_K_BIASED_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.1,0.1,0.1,10.0,7,1,True,True,,,,,3.6374982886888674e-13,1.8735013540549517e-16,3.6374982886888674e-17,0.0,4.163336342344337e-17,13,0,1.2484726490104332,14.756773495778983,111.10374637122904,50.09999999999999,6.1941225726041,5.361534946245705,6.91,1.3,-62.21746076776481,-72.6637953275747,146.13568410951905,4.087361120509596,138.12422340654,12.891629639536413,7.276453648930775,0.10164106693766255,0.0003282133875325083
G2_BALANCED_APICAL_MODERATE_NA_G10,G2_BALANCED_APICAL_MODERATE_NA_G10:M00,WT_REST_PASS_R0_CONTROL_ONLY,0.2,0.1,0.1,10.0,6,1,True,True,,,,,1.3006089261136111e-11,1.1102230246251565e-16,1.3006089261136111e-15,0.0,1.3877787807814457e-17,13,0,1.4268162213979851,14.044697128753258,113.44202741595225,50.10000000000001,8.071329542879107,6.986415735169796,6.91,1.3,-61.97669722055546,-72.41023319499462,145.91347467602256,4.186041739747217,137.9809408665164,13.157885804899747,7.1623719952161204,0.10162928119791387,0.0003258562395827725
G2_BALANCED_APICAL_EQUAL_G10,,NO_EXACT_INTERIOR_ROOT,0.5,0.1,0.1,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.06439640167747757,0.0032198200838738783,1.6482987934621218e-11,0.0,0.009498661817956172,,,,,,,,,,,,,,,,,,,
G2_BALANCED_APICAL_NA_BIASED_G10,,NO_EXACT_INTERIOR_ROOT,0.9,0.1,0.1,10.0,0,0,False,False,nhe1_capacity_fmol_s,,nhe1_capacity_fmol_s,no exact non-boundary charge-manifold root,0.29808484980227284,0.014904242490113642,1.9934756292526098e-10,0.0,0.03918663125862353,,,,,,,,,,,,,,,,,,,
