member_id,family,gain_label,fully_activated_multiplier,timing_label,timing_parameters,kinetic_evidence_status,regulatory_model_class,comparison,both_success,max_relative_state_difference,max_abs_flow_difference_pL_s,max_relative_flow_difference,endpoint_cumulative_flow_relative_difference,max_abs_state_difference__na_i_fmol,max_abs_state_difference__k_i_fmol,max_abs_state_difference__cl_i_fmol,max_abs_state_difference__tic_i_fmol,max_abs_state_difference__alk_i_fmol,max_abs_state_difference__volume_i_pL,max_abs_state_difference__na_l_fmol,max_abs_state_difference__k_l_fmol,max_abs_state_difference__cl_l_fmol,max_abs_state_difference__tic_l_fmol,max_abs_state_difference__alk_l_fmol,max_abs_state_difference__volume_l_pL,max_abs_state_difference__ae4_effective_activation_fraction,max_abs_state_difference__camp_effective_fraction,max_abs_state_difference__ae4_activation_fraction,max_abs_state_difference__pka_effective_activity_fraction,max_abs_state_difference__ae4_regulated_fraction
R0_G125_P21_PROSE_STATIC,R0,G125_P21_PROSE,1.25,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static,Radau_vs_BDF,True,4.143473556659113e-07,1.7241282375315276e-09,1.2935564393078823e-06,6.762852725322739e-08,2.7744086139591673e-08,9.354986332255066e-07,8.937539703879338e-07,3.741159293468854e-08,3.870299636332675e-08,6.134112773281686e-09,6.031141204232426e-07,6.928627531710418e-07,1.168263102258038e-06,1.2981071384476905e-07,1.2771377710940612e-07,8.620641187007116e-09,,,,,
R1_G125_P21_PROSE_TFAST,R1,G125_P21_PROSE,1.25,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,4.4458746082080577e-07,1.7401004135872422e-09,1.3051569501027535e-06,6.651798254706489e-08,7.991127404238796e-08,9.358114141377882e-07,9.198030639367971e-07,5.10267836872913e-08,5.2589552268500483e-08,6.248341177794714e-09,6.050477061592119e-07,7.133915354007314e-07,1.1871765490667485e-06,1.3171719837057339e-07,1.2967465135016454e-07,8.700502068803573e-09,2.1702748109753145e-07,,,,
R2_G125_P21_PROSE_TFAST,R2,G125_P21_PROSE,1.25,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,Radau_vs_BDF,True,2.7389973062624556e-07,3.0478048427054483e-10,2.493326308843161e-07,1.1001330708758334e-08,9.59330108685208e-08,2.664375529093377e-07,2.7963270099462534e-07,1.289071960286492e-08,1.2853465847229018e-08,1.8509871413385781e-09,2.6857235368993315e-07,2.2702465574120367e-07,2.1573056940837887e-07,2.0174478754242386e-08,2.0193652972011478e-08,1.5239024209190433e-09,,2.1994646326461975e-07,2.729298310688577e-07,,
R3_G125_P21_PROSE_TFAST,R3,G125_P21_PROSE,1.25,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,Radau_vs_BDF,True,2.738997339687499e-07,3.0478048427054483e-10,2.493326308843161e-07,1.099888721738262e-08,9.593302152666183e-08,2.6643752448762825e-07,2.79632693889198e-07,1.2890721379221759e-08,1.2853433872805908e-08,1.850987585427788e-09,2.6857235368993315e-07,2.2702465574120367e-07,2.157305658556652e-07,2.0174474757439498e-08,2.01936495303201e-08,1.5239024209190433e-09,,,,2.1994646381973126e-07,2.729298343995268e-07
R1_G125_P21_PROSE_TREFERENCE,R1,G125_P21_PROSE,1.25,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,3.805659732109582e-07,1.7446398271371566e-09,1.3082987768195004e-06,6.268943845101752e-08,4.773268358349014e-08,8.966171662905253e-07,8.562726279137678e-07,4.741405579267166e-08,4.929859187541297e-08,5.967480509738721e-09,7.042650587152366e-07,6.405678962817518e-07,1.1855922270598285e-06,1.3235851459292292e-07,1.301445702317494e-07,8.723199135252102e-09,2.248293595741302e-08,,,,
R2_G125_P21_PROSE_TREFERENCE,R2,G125_P21_PROSE,1.25,TREFERENCE,"{'tau_camp_s': 10.0, 'tau_activation_s': 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,Radau_vs_BDF,True,4.2360226387006357e-07,1.6926534035077018e-09,1.2691893044030325e-06,6.29125359291658e-08,4.3352542888897005e-08,9.709250150535809e-07,9.227923953858408e-07,5.4917071778959325e-08,5.5455561920325636e-08,6.191746226846817e-09,5.703780132648717e-07,7.019163026367181e-07,1.1432443578485163e-06,1.3121997843867916e-07,1.2904995572160516e-07,8.46326701775535e-09,,1.8509110610853696e-07,8.154520536596266e-08,,
R3_G125_P21_PROSE_TREFERENCE,R3,G125_P21_PROSE,1.25,TREFERENCE,"{'tau_pka_s': 10.0, 'forward_regulation_rate_s': 0.03333333333333333, 'reverse_regulation_rate_s': 0.03333333333333333}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,Radau_vs_BDF,True,4.2360226372670515e-07,1.6926533924488396e-09,1.269189296110848e-06,6.291387429047647e-08,4.3352510914473896e-08,9.709248729450337e-07,9.227923811749861e-07,5.4917076219851424e-08,5.545555481489828e-08,6.191746448891422e-09,5.703780043830875e-07,7.019162999721829e-07,1.143244350743089e-06,1.3121997866072377e-07,1.2904995605467207e-07,8.463266962244198e-09,,,,1.8509110710773768e-07,8.154520525494036e-08
R1_G125_P21_PROSE_TSLOW,R1,G125_P21_PROSE,1.25,TSLOW,{'tau_activation_s': 120.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,4.2955559557171203e-07,1.6982149130938956e-09,1.273328809047743e-06,6.856411681433977e-08,3.021568417693743e-08,9.922380854732182e-07,9.447730775491436e-07,4.836731903878899e-08,4.895451155562114e-08,6.505298300041318e-09,5.84439964868011e-07,6.919338719768575e-07,1.146935993290299e-06,1.3164769752105343e-07,1.294378454419487e-07,8.491074565686318e-09,1.4951950788599788e-10,,,,
R2_G125_P21_PROSE_TSLOW,R2,G125_P21_PROSE,1.25,TSLOW,"{'tau_camp_s': 30.0, 'tau_activation_s': 120.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,Radau_vs_BDF,True,4.6546575833699075e-07,1.7316540673172759e-09,1.2574168645897382e-06,7.047169592547769e-08,3.335980736096644e-08,1.0289477074820752e-06,9.707585775231564e-07,4.887365090411322e-08,4.932284625169814e-08,6.678828157191674e-09,5.798507682897025e-07,7.20992924918562e-07,1.1940555779688111e-06,1.3401608001117893e-07,1.3157885936365687e-07,8.65827033680322e-09,,2.14432545053711e-08,7.087904485558738e-09,,
R3_G125_P21_PROSE_TSLOW,R3,G125_P21_PROSE,1.25,TSLOW,"{'tau_pka_s': 30.0, 'forward_regulation_rate_s': 0.008333333333333333, 'reverse_regulation_rate_s': 0.008333333333333333}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,Radau_vs_BDF,True,4.654657569034938e-07,1.7316540701362015e-09,1.257416860362624e-06,7.045618259276762e-08,3.335979315011173e-08,1.0289477074820752e-06,9.707586414720026e-07,4.88736500159348e-08,4.932289243697596e-08,6.678828157191674e-09,5.798507647369888e-07,7.20992922698116e-07,1.1940555761924543e-06,1.3401608067731274e-07,1.3157885958570148e-07,8.658270350681008e-09,,,,2.1443254727415706e-08,7.087904485558738e-09
R0_G170_P21_FIGURE_VISUAL_STATIC,R0,G170_P21_FIGURE_VISUAL,1.7,STATIC,{},STATIC_NEGATIVE_CONTROL,R0Static,Radau_vs_BDF,True,4.14231234597209e-07,1.7206704589801947e-09,1.2927089828483328e-06,6.89669576072314e-08,2.8902864102064996e-08,9.315224360761931e-07,8.910020525831897e-07,3.607939547123351e-08,3.7225760252113105e-08,6.0692229020276045e-09,6.013126938597679e-07,6.920516548714062e-07,1.1658690137750227e-06,1.295922346100653e-07,1.2749533162548232e-07,8.603352294467292e-09,,,,,
R1_G170_P21_FIGURE_VISUAL_TFAST,R1,G170_P21_FIGURE_VISUAL,1.7,TFAST,{'tau_activation_s': 10.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,4.4480011340578357e-07,1.7404234802474716e-09,1.3063328920787194e-06,6.817157805973483e-08,2.614137777356973e-07,8.922181393700157e-07,9.11185708218909e-07,6.641685157404709e-08,6.923587037022116e-08,6.3429848040641446e-09,6.054640913077947e-07,7.129019157225969e-07,1.1872423026915158e-06,1.316302848941575e-07,1.2971829488339637e-07,8.702117401671039e-09,2.1691559870529176e-07,,,,
R2_G170_P21_FIGURE_VISUAL_TFAST,R2,G170_P21_FIGURE_VISUAL,1.7,TFAST,"{'tau_camp_s': 3.0, 'tau_activation_s': 10.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,Radau_vs_BDF,True,2.7327173104069654e-07,3.047936401965462e-10,2.4934581042069563e-07,1.1402458077733774e-08,3.127131620317414e-07,2.8125430162617704e-07,3.0097284309249517e-07,4.090929284217282e-08,3.834479045394801e-08,1.782770819858115e-09,2.684117870188629e-07,2.2703161528525584e-07,2.157398490965079e-07,2.008220234550606e-08,2.021278666664017e-08,1.5239682016332523e-09,,2.1995617516257226e-07,2.7230405519329537e-07,,
R3_G170_P21_FIGURE_VISUAL_TFAST,R3,G170_P21_FIGURE_VISUAL,1.7,TFAST,"{'tau_pka_s': 3.0, 'forward_regulation_rate_s': 0.1, 'reverse_regulation_rate_s': 0.1}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,Radau_vs_BDF,True,2.732717330461989e-07,3.04793637594461e-10,2.493458082919798e-07,1.1419934957044076e-08,3.1271315137360034e-07,2.8125438689130533e-07,3.009727578273669e-07,4.090929373035124e-08,3.8344769137665935e-08,1.782770819858115e-09,2.684117941242903e-07,2.2703161639547886e-07,2.1573985264922158e-07,2.0082191354298118e-08,2.021277534236532e-08,1.5239681877554645e-09,,,,2.1995617582870608e-07,2.723040571916968e-07
R1_G170_P21_FIGURE_VISUAL_TREFERENCE,R1,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,{'tau_activation_s': 30.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,3.807297217221126e-07,1.743774669148504e-09,1.3080671344306578e-06,6.407548190624663e-08,1.3899051509724814e-07,8.894793097624643e-07,8.442891470394898e-07,6.93276422936151e-08,7.420342740260821e-08,6.073009428675391e-09,7.044292775759686e-07,6.401609002892883e-07,1.185763885303004e-06,1.3233209972263182e-07,1.3012868815831524e-07,8.71887334552568e-09,2.2459186288514843e-08,,,,
R2_G170_P21_FIGURE_VISUAL_TREFERENCE,R2,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,"{'tau_camp_s': 10.0, 'tau_activation_s': 30.0}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R2CampActivation,Radau_vs_BDF,True,4.2366612302195186e-07,1.692299417353077e-09,1.2690935578033456e-06,6.422619686454552e-08,1.1092543772406316e-07,1.0011434028456279e-06,9.228418775819591e-07,8.417018193540571e-08,8.469755385931421e-08,6.182504508345232e-09,5.700817986564743e-07,7.019247822981356e-07,1.1429850435007438e-06,1.3122601061343886e-07,1.2902152879412654e-07,8.461497086331704e-09,,1.8512600985509664e-07,8.150857511157739e-08,,
R3_G170_P21_FIGURE_VISUAL_TREFERENCE,R3,G170_P21_FIGURE_VISUAL,1.7,TREFERENCE,"{'tau_pka_s': 10.0, 'forward_regulation_rate_s': 0.03333333333333333, 'reverse_regulation_rate_s': 0.03333333333333333}",UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R3PkaRegulatedFraction,Radau_vs_BDF,True,4.2366612287857534e-07,1.6922994227740878e-09,1.2690935618686868e-06,6.42325401076356e-08,1.1092545548763155e-07,1.0011435165324656e-06,9.228419202145233e-07,8.41701863762978e-08,8.469755741202789e-08,6.182503620166813e-09,5.70081791551047e-07,7.019247851847155e-07,1.1429850541588849e-06,1.3122600894810432e-07,1.290215270177697e-07,8.46149711408728e-09,,,,1.8512600952202973e-07,8.150857511157739e-08
R1_G170_P21_FIGURE_VISUAL_TSLOW,R1,G170_P21_FIGURE_VISUAL,1.7,TSLOW,{'tau_activation_s': 120.0},UNMEASURED_PREDECLARED_SENSITIVITY_NOT_FIT,R1EffectiveActivation,Radau_vs_BDF,True,4.2960260470875075e-07,1.6979775252935064e-09,1.2732647260763262e-06,6.956255480241291e-08,3.976933982130504e-08,9.931952718034154e-07,9.407472560951646e-07,5.917862910820304e-08,6.017724629714394e-08,6.52608478368677e-09,5.843625654478046e-07,6.918322916771302e-07,1.1467630773864812e-06,1.3164007839350234e-07,1.2943177651880688e-07,8.489887626250692e-09,1.4984136154083671e-10,,,,
