family,initial_condition,solver_label,solver_method,success,positive_core,cell_na_start_mM,cell_na_end_mM,cell_k_start_mM,cell_k_end_mM,cell_cl_start_mM,cell_cl_end_mM,cell_ph_start,cell_ph_end,cell_volume_start_pL,cell_volume_end_pL,flow_end_pL_s,cumulative_flow_pL,capacity_multiplier_start,capacity_multiplier_end,max_abs_residual__cell_bulk_charge_rate_fmol_s,residual_unit__cell_bulk_charge_rate_fmol_s,max_abs_residual__lumen_bulk_charge_rate_minus_outflow_fmol_s,residual_unit__lumen_bulk_charge_rate_minus_outflow_fmol_s,max_abs_residual__carbon_accounting_fmol_s,residual_unit__carbon_accounting_fmol_s,max_abs_residual__buffer_site_accounting_fmol_s,residual_unit__buffer_site_accounting_fmol_s,max_abs_residual__water_volume_accounting_pL_s,residual_unit__water_volume_accounting_pL_s,max_abs_residual__homeostasis_charge_fmol_s,residual_unit__homeostasis_charge_fmol_s,max_abs_residual__ae4_charge_fmol_s,residual_unit__ae4_charge_fmol_s,max_abs_residual__apical_current_A,residual_unit__apical_current_A,max_abs_residual__basolateral_current_A,residual_unit__basolateral_current_A,max_abs_residual__cell_speciation_alkalinity_mM,residual_unit__cell_speciation_alkalinity_mM,max_abs_residual__lumen_speciation_alkalinity_mM,residual_unit__lumen_speciation_alkalinity_mM
R0_G125_P21_PROSE_STATIC,baseline,production_radau,Radau,True,True,14.756773495778983,17.808774831375256,111.10374637122904,98.80976930980833,50.09999999999999,20.02992784520671,6.91,6.809759827546887,1.3,0.9647921054709642,0.0006358345381303421,0.4989344776574072,1.0,1.25,1.1874182193061245e-15,fmol charge equivalents s^-1,1.0234868508263162e-15,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.949029909160572e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,1.001664023013432e-25,A,7.754818242684634e-26,A,7.293721182577428e-12,mM,5.17808018685173e-13,mM
R0_G125_P21_PROSE_STATIC,baseline,production_bdf,BDF,True,True,14.756773495778983,17.80877484339206,111.10374637122904,98.80976931057423,50.09999999999999,20.029927863583485,6.91,6.809759828036488,1.3,0.9647921056333485,0.000635834538598648,0.4989344439152033,1.0,1.25,1.222980050563649e-15,fmol charge equivalents s^-1,1.0096090630185017e-15,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.2959746043559335e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,1.001664023013432e-25,A,6.785465962349055e-26,A,7.286615755219827e-12,mM,5.169198402654729e-13,mM
R1_G125_P21_PROSE_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,17.80690209506811,111.10374637122904,98.8142127421378,50.09999999999999,20.0326263639388,6.91,6.809917216194641,1.3,0.9648247519909632,0.0006359105270224291,0.4991077139442667,1.0,1.25,1.128437621122913e-15,fmol charge equivalents s^-1,1.1639994523804376e-15,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.2959746043559335e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,1.0985992510469899e-25,A,1.001664023013432e-25,A,7.041478511382593e-12,mM,5.080380560684716e-13,mM
R1_G125_P21_PROSE_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,17.806902107445065,111.10374637122904,98.81421273752412,50.09999999999999,20.032626382311886,6.91,6.8099172167383575,1.3,0.9648247522140204,0.0006359105274842708,0.49910768074462847,1.0,1.25,1.033895191682177e-15,fmol charge equivalents s^-1,7.337880303381894e-16,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,6.947024675738318e-26,A,6.785465962349055e-26,A,7.034373084024992e-12,mM,5.062616992290714e-13,mM
R2_G125_P21_PROSE_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,17.806331192673778,111.10374637122904,98.81556791329056,50.09999999999999,20.033439463259256,6.91,6.809965483775076,1.3,0.9648346425946634,0.000635933466930358,0.499159124127634,1.0,1.25,1.1882855810441129e-15,fmol charge equivalents s^-1,8.673617379884035e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.2959746043559335e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.401053096241687e-26,A,7.108583389127582e-26,A,6.963318810448982e-12,mM,5.053735208093713e-13,mM
R2_G125_P21_PROSE_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,17.806331196370973,111.10374637122904,98.81556791453893,50.09999999999999,20.03343946536984,6.91,6.809965483885851,1.3,0.9648346425874273,0.0006359334669205019,0.4991591186362194,1.0,1.25,1.1917550279960665e-15,fmol charge equivalents s^-1,8.335346302068558e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.209238430557093e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.077935669463161e-26,A,8.401053096241687e-26,A,6.963318810448982e-12,mM,5.062616992290714e-13,mM
R3_G125_P21_PROSE_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,17.806331192665155,111.10374637122904,98.81556791324238,50.09999999999999,20.03343946324954,6.91,6.809965483775078,1.3,0.9648346425951352,0.0006359334669326617,0.4991591241276396,1.0,1.25,9.653736143810931e-16,fmol charge equivalents s^-1,8.326672684688674e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.077935669463161e-26,A,9.370405376577267e-26,A,6.963318810448982e-12,mM,5.044853423896711e-13,mM
R3_G125_P21_PROSE_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,17.806331195688777,111.10374637122904,98.81556791076639,50.09999999999999,20.03343946470771,6.91,6.8099654838859465,1.3,0.9648346426254492,0.0006359334671024786,0.49915911863744467,1.0,1.25,1.1275702593849246e-15,fmol charge equivalents s^-1,7.398595625041082e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,7.108583389127582e-26,A,7.431700815906108e-26,A,6.959766096770181e-12,mM,5.071498776487715e-13,mM
R1_G125_P21_PROSE_TREFERENCE,baseline,production_radau,Radau,True,True,14.756773495778983,17.801224947699975,111.10374637122904,98.82531713765086,50.09999999999999,20.03801170914042,6.91,6.810256705638969,1.3,0.9648917594205783,0.0006360646750082244,0.49943064273086873,1.0,1.2499999994847115,9.853229343548264e-16,fmol charge equivalents s^-1,9.063930161978817e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.2959746043559335e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.04728794979874e-26,A,8.077935669463161e-26,A,7.410960733977845e-12,mM,5.027089855502709e-13,mM
R1_G125_P21_PROSE_TREFERENCE,baseline,production_bdf,BDF,True,True,14.756773495778983,17.801224959131524,111.10374637122904,98.82531713596795,50.09999999999999,20.038011725470316,6.91,6.8102567061233925,1.3,0.9648917595899601,0.0006360646755202981,0.4994306114218422,1.0,1.2499999994847197,1.0538445116559103e-15,fmol charge equivalents s^-1,7.632783294297951e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,7.270142102516845e-26,A,9.370405376577267e-26,A,7.414513447656645e-12,mM,5.027089855502709e-13,mM
R2_G125_P21_PROSE_TREFERENCE,baseline,production_radau,Radau,True,True,14.756773495778983,17.79853708059974,111.10374637122904,98.83075435461281,50.09999999999999,20.040739560972995,6.91,6.810428744622471,1.3,0.9649256832422239,0.0006361426138645321,0.49959007074476897,1.0,1.2499999992270672,1.2628786905111156e-15,fmol charge equivalents s^-1,7.173081573164097e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.0357660829594124e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,7.108583389127582e-26,A,7.754818242684634e-26,A,7.631228982063476e-12,mM,5.204725539442734e-13,mM
R2_G125_P21_PROSE_TREFERENCE,baseline,production_bdf,BDF,True,True,14.756773495778983,17.798537093594536,111.10374637122904,98.83075435355191,50.09999999999999,20.04073958051997,6.91,6.8104287451560594,1.3,0.9649256834341257,0.0006361426144096294,0.4995900393142907,1.0,1.2499999992270803,1.2715523078909996e-15,fmol charge equivalents s^-1,8.664943762504151e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.2959746043559335e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.239494382852424e-26,A,8.724170523020214e-26,A,7.617018127348274e-12,mM,5.213607323639735e-13,mM
R3_G125_P21_PROSE_TREFERENCE,baseline,production_radau,Radau,True,True,14.756773495778983,17.79853708060726,111.10374637122904,98.83075435460734,50.09999999999999,20.040739560979777,6.91,6.810428744622473,1.3,0.9649256832422807,0.0006361426138646931,0.49959007074150574,1.0,1.2499999992270672,1.2663481374630692e-15,fmol charge equivalents s^-1,9.84455572616838e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.209238430557093e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.53196408996653e-26,A,6.785465962349055e-26,A,7.631228982063476e-12,mM,5.204725539442734e-13,mM
R3_G125_P21_PROSE_TREFERENCE,baseline,production_bdf,BDF,True,True,14.756773495778983,17.7985370938622,111.10374637122904,98.83075435567629,50.09999999999999,20.040739580607745,6.91,6.810428745155303,1.3,0.9649256834105905,0.0006361426141828553,0.49959003931035884,1.0,1.2499999992270778,1.046905617752003e-15,fmol charge equivalents s^-1,1.1683362610703796e-15,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.949029909160572e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,1.1309109937248425e-25,A,8.077935669463161e-26,A,7.631228982063476e-12,mM,5.213607323639735e-13,mM
R1_G125_P21_PROSE_TSLOW,baseline,production_radau,Radau,True,True,14.756773495778983,17.700032390657356,111.10374637122904,98.95099254364503,50.09999999999999,20.061123758355983,6.91,6.811791386671298,1.3,0.965197192342901,0.0006367890942060334,0.5004913965035714,1.0,1.2483155132361898,1.106753577673203e-15,fmol charge equivalents s^-1,8.500145032286355e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.0357660829594124e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.401053096241687e-26,A,7.431700815906108e-26,A,6.991740519879386e-12,mM,5.10702591327572e-13,mM
R1_G125_P21_PROSE_TSLOW,baseline,production_bdf,BDF,True,True,14.756773495778983,17.70003240253723,111.10374637122904,98.95099254334869,50.09999999999999,20.061123777734732,6.91,6.811791387194365,1.3,0.9651971925348045,0.0006367890946025024,0.5004913621878209,1.0,1.248315513264591,1.1856834958301476e-15,fmol charge equivalents s^-1,1.0130785099704553e-15,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.382710778154774e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.693522803355793e-26,A,6.462348535570529e-26,A,6.991740519879386e-12,mM,5.115907697472721e-13,mM
R2_G125_P21_PROSE_TSLOW,baseline,production_radau,Radau,True,True,14.756773495778983,17.66853952667492,111.10374637122904,98.99098172439899,50.09999999999999,20.069310187751885,6.91,6.8123208338786405,1.3,0.9653039498588317,0.000637040060713548,0.5008313025957133,1.0,1.247754017820016,1.0911410663894117e-15,fmol charge equivalents s^-1,8.118505867571457e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.0357660829594124e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,7.754818242684634e-26,A,8.401053096241687e-26,A,7.570832849523867e-12,mM,5.204725539442734e-13,mM
R2_G125_P21_PROSE_TSLOW,baseline,production_bdf,BDF,True,True,14.756773495778983,17.66853953856449,111.10374637122904,98.99098172338388,50.09999999999999,20.069310207900827,6.91,6.812320834416368,1.3,0.9653039500692461,0.0006370400613856103,0.500831267301282,1.0,1.2477540178539805,1.1466522176206695e-15,fmol charge equivalents s^-1,7.363901155521546e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.6020852139652106e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,6.785465962349055e-26,A,7.431700815906108e-26,A,7.58504370423907e-12,mM,5.213607323639735e-13,mM
R3_G125_P21_PROSE_TSLOW,baseline,production_radau,Radau,True,True,14.756773495778983,17.668539526676863,111.10374637122904,98.99098172439761,50.09999999999999,20.069310187754006,6.91,6.812320833878641,1.3,0.9653039498588493,0.000637040060713598,0.5008313025936958,1.0,1.2477540178200157,1.0390993621101074e-15,fmol charge equivalents s^-1,9.081277396738585e-16,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.688821387764051e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.04728794979874e-26,A,7.754818242684634e-26,A,7.581490990560269e-12,mM,5.204725539442734e-13,mM
R3_G125_P21_PROSE_TSLOW,baseline,production_bdf,BDF,True,True,14.756773495778983,17.668539533730552,111.10374637122904,98.9909817319109,50.09999999999999,20.069310220833145,6.91,6.812320834397428,1.3,0.9653039501729649,0.0006370400616919959,0.5008312673070341,1.0,1.24775401778803,1.420738526825005e-15,fmol charge equivalents s^-1,9.922618282587337e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.53196408996653e-26,A,8.077935669463161e-26,A,7.58859641791787e-12,mM,5.213607323639735e-13,mM
R0_G170_P21_FIGURE_VISUAL_STATIC,baseline,production_radau,Radau,True,True,14.756773495778983,24.051281481057547,111.10374637122904,92.41913333537101,50.09999999999999,20.109746172902373,6.91,6.796653459267367,1.3,0.9637414387011513,0.0006198768797997495,0.48833844617493094,1.0,1.7,1.0920084281274e-15,fmol charge equivalents s^-1,9.601694439531627e-16,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.208846663188003e-26,A,7.431700815906108e-26,A,7.389644451905042e-12,mM,6.439293542825908e-13,mM
R0_G170_P21_FIGURE_VISUAL_STATIC,baseline,production_bdf,BDF,True,True,14.756773495778983,24.05128150006853,111.10374637122904,92.41913332759896,50.09999999999999,20.109746188066286,6.91,6.796653459719881,1.3,0.9637414388352924,0.0006198768800557947,0.488338412495714,1.0,1.7,1.1900203045200897e-15,fmol charge equivalents s^-1,8.612902058224847e-16,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.7755575615628914e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.239494382852424e-26,A,8.077935669463161e-26,A,7.386091738226241e-12,mM,6.439293542825908e-13,mM
R1_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,24.022579025812025,111.10374637122904,92.45247693244502,50.09999999999999,20.112062488319207,6.91,6.79700108563185,1.3,0.9637832686478506,0.0006200562096300155,0.4889089210057731,1.0,1.6999999999999997,1.0824674490095276e-15,fmol charge equivalents s^-1,6.860831347488272e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,2.862293735361732e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,6.623907248959792e-26,A,7.431700815906108e-26,A,7.204903340607416e-12,mM,5.46229728115577e-13,mM
R1_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,24.022579046936034,111.10374637122904,92.45247692298673,50.09999999999999,20.112062517752708,6.91,6.797001086125615,1.3,0.9637832689432365,0.0006200562102923802,0.48890888767608043,1.0,1.6999999999999997,1.1639994523804376e-15,fmol charge equivalents s^-1,9.54097911787244e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.208846663188003e-26,A,7.754818242684634e-26,A,7.201350626928615e-12,mM,5.488942633746774e-13,mM
R2_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,24.014055103240462,111.10374637122904,92.46243416381252,50.09999999999999,20.112787147424473,6.91,6.797108238994094,1.3,0.9637962371295659,0.0006201105249950822,0.4890776782252904,1.0,1.6999999999999997,1.2672154992010576e-15,fmol charge equivalents s^-1,1.0408340855860843e-15,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,1.0339757656912846e-25,A,9.693522803355793e-26,A,7.027267656667391e-12,mM,5.471179065352771e-13,mM
R2_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,24.014055107109805,111.10374637122904,92.4624341660708,50.09999999999999,20.112787161959844,6.91,6.7971082390490025,1.3,0.9637962372375285,0.0006201105253096445,0.4890776726486027,1.0,1.6999999999999997,1.0182826803983858e-15,fmol charge equivalents s^-1,8.664943762504151e-16,fmol charge equivalents s^-1,6.938893903907228e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.382710778154774e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,8.724170523020214e-26,A,7.108583389127582e-26,A,7.030820370346191e-12,mM,5.488942633746774e-13,mM
R3_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_radau,Radau,True,True,14.756773495778983,24.01405510326245,111.10374637122904,92.46243416389642,50.09999999999999,20.11278714744291,6.91,6.797108238994094,1.3,0.9637962371286902,0.0006201105249892258,0.48907767822526693,1.0,1.6999999999999997,1.27675647831893e-15,fmol charge equivalents s^-1,9.62771529167128e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.208846663188003e-26,A,9.04728794979874e-26,A,7.027267656667391e-12,mM,5.471179065352771e-13,mM
R3_G170_P21_FIGURE_VISUAL_TFAST,baseline,production_bdf,BDF,True,True,14.756773495778983,24.01405511446359,111.10374637122904,92.4624341575556,50.09999999999999,20.11278714857279,6.91,6.79710823906529,1.3,0.963796237103836,0.0006201105250070116,0.48907767264003166,1.0,1.6999999999999997,9.211381657436846e-16,fmol charge equivalents s^-1,9.593020822151743e-16,fmol charge equivalents s^-1,3.469446951953614e-18,fmol s^-1,0.0,fmol sites s^-1,2.168404344971009e-19,pL s^-1,3.122502256758253e-17,fmol charge equivalents s^-1,0.0,fmol charge equivalents s^-1,9.04728794979874e-26,A,6.785465962349055e-26,A,7.02016222930979e-12,mM,5.471179065352771e-13,mM
