record_type,label,scenario,topology_model_id,apical_pump_fraction,apical_k_fraction,fraction_provenance,continuation_path,root_success,failure_at_fraction,failure_reason,max_abs_raw_rhs,na_l_mM,k_l_mM,height_um,na_i_mM,k_i_mM,cl_i_mM,hco3_i_mM,pH_i,cl_target_residual_mM,pH_target_residual,normalized_ionic_distance,wt_cl_residual_mM,wt_cl_z,wt_pH_residual,wt_pH_z,optimizer_cost,attempted_capacity,calibration_valid,wt_gate2_pass,derived_height_boundary_hit,ae2_test_status,target_stage,conditional_slice,raw_rhs_vector,acid_base_full_rank,acid_base_cl_ph_rank,acid_base_flux_nullity,valid_wt_capacity_available,wt_gate_evaluable,secretion_target_read,interpretation
wt_capacity_attempt,M0_control,wt,M0_FIXED_BASOLATERAL,0.0,0.0,predeclared sensitivity; not a measured submandibular fraction,five-start bounded joint WT-Cl solve,False,,raw closure 3.05047985e-05 exceeds 1e-8; derived height=199.999995 um,3.0504798452351218e-05,118.55724378882537,5.5572668338680575,199.9999946584882,19.41068062118391,125.41973291322965,50.099603707889464,82.5333220078952,7.520547152109989,,,,-0.00039629211053693325,-0.0002641947403579555,0.610547152109989,8.722102172999842,0.0006510844894482171,6.68829505457301e-06,False,False,True,N/A_upstream_WT_calibration_failed,CAL-WT,not_applicable,9.33052871077e-11;4.02586818049e-13;-1.91527665379e-07;-1.25246811415e-05;-3.05047984524e-05;1.42344911995e-05;-2.89823885822e-06,,,,False,False,False,"SR2_SHARED_123/slow; attempted capacity=6.68829505457e-06; WT Gate-2 pass=False; pH was a gate, not a fit target; AE2 dynamic test N/A because upstream WT calibration failed"
wt_capacity_attempt,M1_pump_20pct,wt,M1_APICAL_PUMP_ONLY,0.2,0.0,predeclared sensitivity; not a measured submandibular fraction,five-start bounded joint WT-Cl solve,False,,raw closure 3.86549909e-05 exceeds 1e-8; derived height=199.999989 um,3.865499090172011e-05,120.54613125455366,3.6117659263353055,199.9999891021465,19.418186732371844,125.4518356837483,50.099017702414734,82.5735165060056,7.521270625917204,,,,-0.0009822975852671334,-0.0006548650568447556,0.6112706259172036,8.732437513102909,0.0008427456566773243,1.6916919040756084e-05,False,False,True,N/A_upstream_WT_calibration_failed,CAL-WT,not_applicable,1.4999362169e-10;-2.96479095614e-12;-2.50695069256e-07;-8.52464102861e-06;-3.86549909017e-05;1.03927381351e-05;-1.97251838422e-06,,,,False,False,False,"SR2_SHARED_123/slow; attempted capacity=1.69169190408e-05; WT Gate-2 pass=False; pH was a gate, not a fit target; AE2 dynamic test N/A because upstream WT calibration failed"
wt_capacity_attempt,M1_k_20pct,wt,M1_APICAL_K_ONLY,0.0,0.2,predeclared sensitivity; not a measured submandibular fraction,five-start bounded joint WT-Cl solve,False,,raw closure 3.14717967e-05 exceeds 1e-8; derived height=199.999987 um,3.1471796659942487e-05,113.64273467053661,10.484518988326323,199.9999865901399,19.475322425000968,125.3667144730433,50.09900120610532,82.54554740431588,7.520215022833901,,,,-0.0009987938946807162,-0.0006658625964538109,0.6102150228339012,8.717357469055731,0.0006784050359467953,6.144514406437578e-06,False,False,True,N/A_upstream_WT_calibration_failed,CAL-WT,not_applicable,1.79846054715e-10;-8.76277349293e-13;-2.21735832907e-07;-1.55419488372e-05;-3.14717966599e-05;1.03197065466e-05;-3.59548547845e-06,,,,False,False,False,"SR2_SHARED_123/slow; attempted capacity=6.14451440644e-06; WT Gate-2 pass=False; pH was a gate, not a fit target; AE2 dynamic test N/A because upstream WT calibration failed"
wt_capacity_attempt,M1_coupled_20pct,wt,M1_COUPLED_APICAL_PUMP_K,0.2,0.2,predeclared sensitivity; not a measured submandibular fraction,five-start bounded joint WT-Cl solve,False,,raw closure 4.3730285e-05 exceeds 1e-8; derived height=199.999995 um,4.37302850379927e-05,116.01414914395284,8.260498251918483,199.99999484035354,19.474188682666647,125.50245991735035,50.097204496738165,82.68195613084316,7.522928032221525,,,,-0.0027955032618365294,-0.001863668841224353,0.6129280322215251,8.756114746021787,0.0011577251000052793,0.00446740407345934,False,False,True,N/A_upstream_WT_calibration_failed,CAL-WT,not_applicable,3.74228287248e-10;6.42951837604e-13;-3.57375124699e-07;-1.91635533089e-05;-4.3730285038e-05;-6.15717651224e-08;-4.42965353812e-06,,,,False,False,False,"SR2_SHARED_123/slow; attempted capacity=0.00446740407346; WT Gate-2 pass=False; pH was a gate, not a fit target; AE2 dynamic test N/A because upstream WT calibration failed"
wt_capacity_attempt,M1_coupled_40pct,wt,M1_COUPLED_APICAL_PUMP_K,0.4,0.4,predeclared sensitivity; not a measured submandibular fraction,five-start bounded joint WT-Cl solve,False,,raw closure 5.40240138e-05 exceeds 1e-8; derived height=199.999984 um,5.402401379043238e-05,114.80204465428413,9.441928729115945,199.99998357304776,19.255800456680266,125.69282079838237,50.09920044211895,82.65193140309455,7.5339283565782935,,,,-0.0007995578810522375,-0.0005330385873681583,0.6239283565782934,8.913262236832761,0.0017117197300286402,0.022573457233056916,False,False,True,N/A_upstream_WT_calibration_failed,CAL-WT,not_applicable,2.9585946193e-10;-6.57530453696e-12;-3.46472516381e-07;-1.23470175536e-05;-5.40240137904e-05;1.82182867456e-05;-2.86393432793e-06,,,,False,False,False,"SR2_SHARED_123/slow; attempted capacity=0.0225734572331; WT Gate-2 pass=False; pH was a gate, not a fit target; AE2 dynamic test N/A because upstream WT calibration failed"
continuation_failure,M1_pump_40pct,ae4_knockout,M1_APICAL_PUMP_ONLY,0.4,0.0,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,pump-line,False,0.295;0.0,"continuation did not close: max_abs_raw_rhs=1.84899452e-06; solver_message=The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.; in_declared_domain=True",,,,,,,,,,,,,,,,,,,,,,,LOC-B,,,,,,False,False,False,failed declared continuation is retained; it is not a proof that no other branch exists
continuation_failure,M1_k_40pct,ae4_knockout,M1_APICAL_K_ONLY,0.0,0.4,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,k-line,False,0.0;0.29,"continuation did not close: max_abs_raw_rhs=5.59087039e-07; solver_message=The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.; in_declared_domain=True",,,,,,,,,,,,,,,,,,,,,,,LOC-B,,,,,,False,False,False,failed declared continuation is retained; it is not a proof that no other branch exists
resolved_null_root,M0_control,ae4_knockout,M0_FIXED_BASOLATERAL,0.0,0.0,predeclared parotid/model sensitivity; uncalibrated for mouse submandibular acini,pump-line,True,,,2.43997955321886e-12,118.56527670449145,5.559346177661645,65.66070346681074,21.132282246429515,123.70751315363918,48.78221502702284,58.90444835892612,7.378473910351473,12.282215027022843,0.48847391035147325,25.601636277144262,,,,,,,,,,,LOC-B,re-solved model root; not a target-manifold slice,1.65839564303e-15;7.89299181569e-17;1.52330405234e-17;7.54273581142e-13;-2.743154945e-17;-1.06832253977e-17;-2.43997955322e-12,,,,False,False,False,ionic sensitivity only; absolute flow/time uncertified and no WT-valid denominator
conditional_target_slice,M0_control,ae4_knockout,M0_FIXED_BASOLATERAL,0.0,0.0,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.006581621476547089,,,,,,,,,,,,,,,,,,,,,,LOC-B,model_anchored,-0.00658162147655;-0.000476331691762;4.3071105819e-08;0.00240213288469;0.00123316845655;0.00254150394903;-0.00654501062243,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
conditional_target_slice,M0_control,ae4_knockout,M0_FIXED_BASOLATERAL,0.0,0.0,predeclared sensitivity; slice free coordinates are declared assumptions,,False,,,0.01734823973682771,,,,,,,,,,,,,,,,,,,,,,LOC-B,wt_reference_cations,0.0173482397368;0.000694450488862;0.000203197446689;0.00382679294903;0.00189680228995;0.00406425516625;-0.00180648185387,,,,False,False,False,conditional Cl/pH-compatible state only; unmeasured Na/K/height/lumen coordinates are not data
