snapshot_id,model_id,gauge_id,condition_id,pka_activation,concentrations_mM_json,parameters_json,state_count,edge_count,heldout_ko_data_read
SR2_SHARED_123|slow_common|physiology_basal,SR2_SHARED_123,slow_common,physiology_basal,0.0,"{""cl_e"": 102.6, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 21.0, ""hco3_i"": 10.0, ""k_e"": 5.3, ""k_i"": 120.0, ""na_e"": 140.2, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 74.17835667688657, ""ec50_na_energy_lump_mM"": 58.06159101325025, ""edge_barrier_overrides"": {""common_cl_flip"": 0.1}, ""k_attempt_scale"": 1.1026527100857708, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",8,9,False
SR2_SHARED_123|slow_common|na_assay_150,SR2_SHARED_123,slow_common,na_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 1e-06, ""k_i"": 120.0, ""na_e"": 150.0, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 74.17835667688657, ""ec50_na_energy_lump_mM"": 58.06159101325025, ""edge_barrier_overrides"": {""common_cl_flip"": 0.1}, ""k_attempt_scale"": 1.1026527100857708, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",8,9,False
SR2_SHARED_123|slow_common|k_assay_150,SR2_SHARED_123,slow_common,k_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 150.0, ""k_i"": 120.0, ""na_e"": 1e-06, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 74.17835667688657, ""ec50_na_energy_lump_mM"": 58.06159101325025, ""edge_barrier_overrides"": {""common_cl_flip"": 0.1}, ""k_attempt_scale"": 1.1026527100857708, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",8,9,False
SR5_COORDINATION_112|unit_common|physiology_basal,SR5_COORDINATION_112,unit_common,physiology_basal,0.0,"{""cl_e"": 102.6, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 21.0, ""hco3_i"": 10.0, ""k_e"": 5.3, ""k_i"": 120.0, ""na_e"": 140.2, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 1049.6774200600705, ""ec50_na_energy_lump_mM"": 653.9409644818204, ""edge_barrier_overrides"": {""common_cl_flip"": 1.0}, ""k_attempt_scale"": 1.0805656661011502, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR5_COORDINATION_112|unit_common|na_assay_150,SR5_COORDINATION_112,unit_common,na_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 1e-06, ""k_i"": 120.0, ""na_e"": 150.0, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 1049.6774200600705, ""ec50_na_energy_lump_mM"": 653.9409644818204, ""edge_barrier_overrides"": {""common_cl_flip"": 1.0}, ""k_attempt_scale"": 1.0805656661011502, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR5_COORDINATION_112|unit_common|k_assay_150,SR5_COORDINATION_112,unit_common,k_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 150.0, ""k_i"": 120.0, ""na_e"": 1e-06, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 1049.6774200600705, ""ec50_na_energy_lump_mM"": 653.9409644818204, ""edge_barrier_overrides"": {""common_cl_flip"": 1.0}, ""k_attempt_scale"": 1.0805656661011502, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR5_COORDINATION_112|fast_common|physiology_basal,SR5_COORDINATION_112,fast_common,physiology_basal,0.0,"{""cl_e"": 102.6, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 21.0, ""hco3_i"": 10.0, ""k_e"": 5.3, ""k_i"": 120.0, ""na_e"": 140.2, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 912.5764246282816, ""ec50_na_energy_lump_mM"": 573.8985487218021, ""edge_barrier_overrides"": {""common_cl_flip"": 10.0}, ""k_attempt_scale"": 1.058629531208295, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR5_COORDINATION_112|fast_common|na_assay_150,SR5_COORDINATION_112,fast_common,na_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 1e-06, ""k_i"": 120.0, ""na_e"": 150.0, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 912.5764246282816, ""ec50_na_energy_lump_mM"": 573.8985487218021, ""edge_barrier_overrides"": {""common_cl_flip"": 10.0}, ""k_attempt_scale"": 1.058629531208295, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR5_COORDINATION_112|fast_common|k_assay_150,SR5_COORDINATION_112,fast_common,k_assay_150,0.0,"{""cl_e"": 4.0, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 25.0, ""hco3_i"": 10.0, ""k_e"": 150.0, ""k_i"": 120.0, ""na_e"": 1e-06, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 912.5764246282816, ""ec50_na_energy_lump_mM"": 573.8985487218021, ""edge_barrier_overrides"": {""common_cl_flip"": 10.0}, ""k_attempt_scale"": 1.058629531208295, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 1.25, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",12,15,False
SR6_PKA_EDGE_112|unit_common|physiology_basal,SR6_PKA_EDGE_112,unit_common,physiology_basal,0.0,"{""cl_e"": 102.6, ""cl_i"": 50.0, ""co3_e"": NaN, ""co3_i"": NaN, ""hco3_e"": 21.0, ""hco3_i"": 10.0, ""k_e"": 5.3, ""k_i"": 120.0, ""na_e"": 140.2, ""na_i"": 25.0}","{""capacity"": 1.0, ""ec50_k_energy_lump_mM"": 1049.6774201480116, ""ec50_na_energy_lump_mM"": 653.9409644329778, ""edge_barrier_overrides"": {""P::common_cl_flip"": 1.0, ""U::common_cl_flip"": 1.0}, ""k_attempt_scale"": 1.080565671029095, ""na_attempt_scale"": 1.0, ""pka_barrier_fold"": 200.07370323363844, ""pka_basal_activity"": 1e-06, ""pka_dephosphorylation_scale"": 1.0, ""pka_phosphorylation_scale"": 1.0}",24,31,False
