snapshot_id,state_index,state_id,effective_state_energy,agent_e_occupancy
SR2_SHARED_123|slow_common|physiology_basal,0,Eo,0.0,0.00403366044589012
SR2_SHARED_123|slow_common|physiology_basal,1,EoCl1,0.0,0.4256214613774362
SR2_SHARED_123|slow_common|physiology_basal,2,EiCl1,0.0,0.5433004576685374
SR2_SHARED_123|slow_common|physiology_basal,3,Ei,0.0,0.011101367145952955
SR2_SHARED_123|slow_common|physiology_basal,4,EiNa2B3,17.779636196876847,0.00013362409662892846
SR2_SHARED_123|slow_common|physiology_basal,5,EoNa2B3,17.779636196876847,0.013937859937218416
SR2_SHARED_123|slow_common|physiology_basal,6,EiK2B3,18.26957231187076,0.001859165250298944
SR2_SHARED_123|slow_common|physiology_basal,7,EoK2B3,18.26957231187076,1.2404078037001139e-05
SR2_SHARED_123|slow_common|na_assay_150,0,Eo,0.0,0.01065518572740711
SR2_SHARED_123|slow_common|na_assay_150,1,EoCl1,0.0,0.1103549475042425
SR2_SHARED_123|slow_common|na_assay_150,2,EiCl1,0.0,0.7876969934503831
SR2_SHARED_123|slow_common|na_assay_150,3,Ei,0.0,0.01710862396089995
SR2_SHARED_123|slow_common|na_assay_150,4,EiNa2B3,17.779636196876847,0.000212768545609637
SR2_SHARED_123|slow_common|na_assay_150,5,EoNa2B3,17.779636196876847,0.07110596287553783
SR2_SHARED_123|slow_common|na_assay_150,6,EiK2B3,18.26957231187076,0.0028652089616998757
SR2_SHARED_123|slow_common|na_assay_150,7,EoK2B3,18.26957231187076,3.089742200594438e-07
SR2_SHARED_123|slow_common|k_assay_150,0,Eo,0.0,0.015180054747422437
SR2_SHARED_123|slow_common|k_assay_150,1,EoCl1,0.0,0.12584042853722552
SR2_SHARED_123|slow_common|k_assay_150,2,EiCl1,0.0,0.7770425240125833
SR2_SHARED_123|slow_common|k_assay_150,3,Ei,0.0,0.016843254671202387
SR2_SHARED_123|slow_common|k_assay_150,4,EiNa2B3,17.779636196876847,0.00019982430690118432
SR2_SHARED_123|slow_common|k_assay_150,5,EoNa2B3,17.779636196876847,2.7528942904146813e-08
SR2_SHARED_123|slow_common|k_assay_150,6,EiK2B3,18.26957231187076,0.0028274601328143996
SR2_SHARED_123|slow_common|k_assay_150,7,EoK2B3,18.26957231187076,0.062066426062907916
SR5_COORDINATION_112|unit_common|physiology_basal,0,Eo,0.0,0.004016446622107725
SR5_COORDINATION_112|unit_common|physiology_basal,1,EoCl1,0.0,0.43440967246315376
