record_type,candidate_id,gauge_id,scenario,target_id,quantity,status,value,uncertainty,unit,wt_capacity_valid,wt_gate2_pass,round5_independently_calibrated,endpoint_ko_wt_ratio,integral_ko_wt_ratio,first_2_3_min_status,sustained_late_status,absolute_wt_status,ae2_status,ionic_status,solver_status,physical_time_certified,pka_kinetics_certified,carrier_state_memory,strict_target_used_in_fit,strict_target_joined_to_prediction,provenance,reason
validation_candidate,SR2_SHARED_123,slow_common,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,fail,not_applicable,false,false,false,false,false,"stage_a_summary.json; stage_a_roots.csv","invalid WT capacity calibration and WT pH +6.692 reported SEM"
validation_candidate,SR5_COORDINATION_112,unit_common,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,fail,not_applicable,false,false,false,false,false,"stage_a_summary.json; stage_a_roots.csv","invalid WT capacity calibration and WT pH +6.692 reported SEM"
validation_candidate,SR5_COORDINATION_112,fast_common,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,fail,not_applicable,false,false,false,false,false,"stage_a_summary.json; stage_a_roots.csv","invalid WT capacity calibration and WT pH +6.692 reported SEM"
validation_candidate,SR6_PKA_EDGE_112,unit_common,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,fail,not_applicable,false,false,false,false,false,"stage_a_summary.json; stage_a_roots.csv","invalid WT capacity calibration; WT pH +6.692 reported SEM; immediate PKA step has no physical time calibration"
validation_candidate,SR6_PKA_EDGE_112,fast_common,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,fail,not_applicable,false,false,false,false,false,"stage_a_summary.json; stage_a_roots.csv","invalid WT capacity calibration; WT pH +6.692 reported SEM; immediate PKA step has no physical time calibration"
validation_candidate,M0_FIXED_BASOLATERAL,SR2_SHARED_123_slow,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,not_evaluable,not_applicable,false,false,false,false,false,chassis_reconstruction_scan.csv,"Round-5 control hits height 199.999995 um and raw closure 3.05048e-5; pH 7.52055"
validation_candidate,M1_APICAL_PUMP_ONLY_20PCT,SR2_SHARED_123_slow,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,not_evaluable,not_applicable,false,false,false,false,false,chassis_reconstruction_scan.csv,"uncalibrated split sensitivity hits height 199.999989 um and raw closure 3.86550e-5; pH 7.52127"
validation_candidate,M1_APICAL_K_ONLY_20PCT,SR2_SHARED_123_slow,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,not_evaluable,not_applicable,false,false,false,false,false,chassis_reconstruction_scan.csv,"uncalibrated split sensitivity hits height 199.999987 um and raw closure 3.14718e-5; pH 7.52022"
validation_candidate,M1_COUPLED_APICAL_PUMP_K_20PCT,SR2_SHARED_123_slow,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,not_evaluable,not_applicable,false,false,false,false,false,chassis_reconstruction_scan.csv,"uncalibrated split sensitivity hits height 199.999995 um and raw closure 4.37303e-5; pH 7.52293"
validation_candidate,M1_COUPLED_APICAL_PUMP_K_40PCT,SR2_SHARED_123_slow,wt,,all_secretion_metrics,blocked_before_dynamics,,,not_applicable,false,false,false,,,not_applicable,not_applicable,not_applicable,not_applicable,not_evaluable,not_applicable,false,false,false,false,false,chassis_reconstruction_scan.csv,"uncalibrated split sensitivity hits height 199.999984 um and raw closure 5.40240e-5; pH 7.53393"
