check_id,category,scope,metric,reference_artifact,reference_value,independent_value,absolute_difference,tolerance,status,method,notes
hash_conditions,freeze,ctmc_inputs,sha256,ctmc_snapshot_manifest.json,c26b7294303810f342d9a0cc3b5da1fadd2e352261cc7539b6511db2522c3828,c26b7294303810f342d9a0cc3b5da1fadd2e352261cc7539b6511db2522c3828,0,0,PASS,independent SHA-256,
hash_states,freeze,ctmc_inputs,sha256,ctmc_snapshot_manifest.json,c1443d0d8ecc40c678eb5d557681297dedc30f378b09cfd9e27d33bf3b892e53,c1443d0d8ecc40c678eb5d557681297dedc30f378b09cfd9e27d33bf3b892e53,0,0,PASS,independent SHA-256,
hash_edges,freeze,ctmc_inputs,sha256,ctmc_snapshot_manifest.json,f7f2c92fbd5ba7974c1400e5db4ae19934a14cb01292e1fdf4b88de88d4af353,f7f2c92fbd5ba7974c1400e5db4ae19934a14cb01292e1fdf4b88de88d4af353,0,0,PASS,independent SHA-256,
SR2_SHARED_123|slow_common|physiology_basal|occupancy_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|physiology_basal,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.0325074129013956e-13,1.0325074129013956e-13,1e-10,PASS,SVD nullspace,states=8;edges=9
SR2_SHARED_123|slow_common|physiology_basal|occupancy_matrix_tree_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|physiology_basal,occupancy_matrix_tree_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,7.9825035470548755e-14,7.9825035470548755e-14,1e-10,PASS,matrix-tree cofactors,states=8;edges=9
SR2_SHARED_123|slow_common|physiology_basal|edge_current_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|physiology_basal,edge_current_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,9.2370555648813024e-13,9.2370555648813024e-13,1e-09,PASS,SVD occupancy plus saved edge rates,states=8;edges=9
SR2_SHARED_123|slow_common|physiology_basal|svd_tree_occupancy_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|physiology_basal,svd_tree_occupancy_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.8307577676068831e-13,1.8307577676068831e-13,1e-10,PASS,SVD versus matrix-tree,states=8;edges=9
SR2_SHARED_123|slow_common|physiology_basal|svd_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|physiology_basal,svd_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,9.2370555648813024e-13,9.2370555648813024e-13,1e-09,PASS,SVD nullspace,states=8;edges=9
SR2_SHARED_123|slow_common|physiology_basal|matrix_tree_stationarity_residual_inf,ctmc,SR2_SHARED_123|slow_common|physiology_basal,matrix_tree_stationarity_residual_inf,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,1.3717027513848734e-11,1.3717027513848734e-11,1e-09,PASS,matrix-tree cofactors,states=8;edges=9
SR2_SHARED_123|slow_common|na_assay_150|occupancy_svd_max_abs_difference,ctmc,SR2_SHARED_123|slow_common|na_assay_150,occupancy_svd_max_abs_difference,ctmc_frozen_states.csv;ctmc_frozen_edges.csv,0,4.6018744370712739e-13,4.6018744370712739e-13,1e-10,PASS,SVD nullspace,states=8;edges=9
