model_id,gauge_id,transporter_gate_pass,wt_capacity_calibration_valid,wt_root_gate_pass,stage_a_status,strict_secretion_used_in_fit,comparison_type
SR1_NA_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR1_NA_112,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR1_NA_112,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR1_K_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR1_K_112,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR1_K_112,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_112,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_112,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_123,slow_common,True,False,False,WT_fixed_chassis_fail,False,conditional compatibility; not AIC
SR2_SHARED_123,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_123,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_213,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_213,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR2_SHARED_213,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR3_SEQUENTIAL_1111,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR3_SEQUENTIAL_1111,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR3_SEQUENTIAL_1111,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4A_CARBONATE_111,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4A_CARBONATE_111,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4A_CARBONATE_111,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4B_CARBONATE_1112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4B_CARBONATE_1112,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR4B_CARBONATE_1112,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR5_COORDINATION_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR5_COORDINATION_112,unit_common,True,False,False,WT_fixed_chassis_fail,False,conditional compatibility; not AIC
SR5_COORDINATION_112,fast_common,True,False,False,WT_fixed_chassis_fail,False,conditional compatibility; not AIC
SR6_PKA_EDGE_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR6_PKA_EDGE_112,unit_common,True,False,False,WT_fixed_chassis_fail,False,conditional compatibility; not AIC
SR6_PKA_EDGE_112,fast_common,True,False,False,WT_fixed_chassis_fail,False,conditional compatibility; not AIC
SR6_PKA_COMMON_FLIP_112,slow_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR6_PKA_COMMON_FLIP_112,unit_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
SR6_PKA_COMMON_FLIP_112,fast_common,False,False,False,transporter_rejected,False,conditional compatibility; not AIC
