record_type,slice,space,modules,target_vector,signature_or_response,coefficients,scaling,alignment,residual_fraction,exact,sign_constraint,rank,condition_number,provenance,interpretation
coordinate_order,global,expanded_balance,all,,"Na_i;K_i;Cl_i;HCO3_i;H_i;CO2_i;Na_l;K_l;Cl_l;HCO3_l;q_apical;q_basolateral;q_tight;V_i",,,not_applicable,,,not_applicable,,,"Agent D source audit; exact declaration","q rows are positive-charge equivalents rather than water; V_i is the separate water row"
stage_a_gate,global,fixed_chassis,"5 transporter-pass rows",,"0 valid WT capacity rows;0 WT Gate-2 passes",,,not_applicable,,,not_applicable,,,"stage_a_summary.json; stage_a_reveal_marker.json","Stage B opened after frozen Stage-A failure; strict secretion unused"
null_root,common_ae4_null,chassis_state,all,"36.5;6.89","118.56527670449147;5.5593461776616495;65.66070346681501;21.132282246431384;123.70751315363735;48.78221502702161;58.90444835892977",,,not_applicable,,,not_applicable,,,"stage_a_null_roots.csv; independent root solve","state order Na_l;K_l;height;Na_i;K_i;Cl_i;HCO3_i; raw residual 5.77e-14; independent maximum state difference 3.34e-9"
target_manifold,released_mean,state_constraints,"E15-06+E15-07_KO","Cl_i=36.5;pH_i=6.89","free=Na_l;K_l;height;Na_i;K_i | HCO3=h*-Cl-X/height+Na+K",,not_applicable,,,exact_affine,unrestricted,5,,"exact electroneutrality; no measured KO volume/Na/K","five-dimensional positive subset; affine after u=1/height"
target_manifold,released_one_sem_corners,state_constraints,"E15-06+E15-07_KO","Cl_i=34.9/38.1;pH_i=6.87/6.91","five free state coordinates at all four corners",,not_applicable,,,exact_affine,unrestricted,5,,"one-reported-SEM sensitivity","dimension does not depend on target mean"
correction_family_rank,model_anchored,determined_balance_rows,all,,"0.4022354333;0.01887635615;0.009348139707;0.001633599477;0.0004499232276",,native_blockwise,,,numerical_local,unrestricted,5,894.0090411,"SVD of exported 12x5 finite-difference matrix","five nonzero singular values; source rotates across target manifold"
correction_family_jacobian_row,model_anchored,determined_balance_rows,na_i,"free=Na_l;K_l;height;Na_i;K_i","0;0;0;0.01284847507514867;0.001252248672300782",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,k_i,"free=Na_l;K_l;height;Na_i;K_i","-0.0003876908218631086;-0.0004917085566118729;0;0.003104696939042274;0.001449084929116088",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,cl_i,"free=Na_l;K_l;height;Na_i;K_i","-0.000387690821868961;-0.0004917085566118729;-4.225472691616995e-09;0.01533632474559444;0.002701326133707772",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
correction_family_jacobian_row,model_anchored,determined_balance_rows,hco3_i,"free=Na_l;K_l;height;Na_i;K_i","0;0;0.004540703796554965;0.008025071713787111;0.008024773515156612",,per_free_coordinate_native,,,numerical_local,unrestricted,,,"central finite difference relative_step=1e-5","row of 12x5 d(required source)/d(free state) matrix"
