model_id,gauge_id,rejection_stage,reason,heldout_secretion_used
SR1_NA_112,slow_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR1_NA_112,unit_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR1_NA_112,fast_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR1_K_112,slow_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR1_K_112,unit_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR1_K_112,fast_common,transporter_rejected,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR2_SHARED_112,slow_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_112,unit_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_112,fast_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_123,slow_common,WT_fixed_chassis_fail,raw closure 3.05436e-05 exceeds 1e-8; exact roots fail WT physiology,False
SR2_SHARED_123,unit_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_123,fast_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_213,slow_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_213,unit_common,transporter_rejected,effective dose shape mismatch,False
SR2_SHARED_213,fast_common,transporter_rejected,effective dose shape mismatch,False
SR3_SEQUENTIAL_1111,slow_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR3_SEQUENTIAL_1111,unit_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR3_SEQUENTIAL_1111,fast_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR4A_CARBONATE_111,slow_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR4A_CARBONATE_111,unit_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR4A_CARBONATE_111,fast_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit,False
SR4B_CARBONATE_1112,slow_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR4B_CARBONATE_1112,unit_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR4B_CARBONATE_1112,fast_common,transporter_rejected,effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit; stand-alone sequential cycle conflicts with direct Na direction/K-only operation,False
SR5_COORDINATION_112,slow_common,transporter_rejected,effective dose shape mismatch,False
SR5_COORDINATION_112,unit_common,WT_fixed_chassis_fail,raw closure 3.05059e-05 exceeds 1e-8; exact roots fail WT physiology,False
SR5_COORDINATION_112,fast_common,WT_fixed_chassis_fail,raw closure 3.07566e-05 exceeds 1e-8; exact roots fail WT physiology,False
SR6_PKA_EDGE_112,slow_common,transporter_rejected,effective dose shape mismatch; PKA edge placement misses the recombinant fold,False
SR6_PKA_EDGE_112,unit_common,WT_fixed_chassis_fail,raw closure 3.06431e-05 exceeds 1e-8; exact roots fail WT physiology,False
SR6_PKA_EDGE_112,fast_common,WT_fixed_chassis_fail,raw closure 3.06727e-05 exceeds 1e-8; exact roots fail WT physiology,False
SR6_PKA_COMMON_FLIP_112,slow_common,transporter_rejected,effective dose shape mismatch,False
SR6_PKA_COMMON_FLIP_112,unit_common,transporter_rejected,PKA edge placement misses the recombinant fold,False
SR6_PKA_COMMON_FLIP_112,fast_common,transporter_rejected,PKA edge placement misses the recombinant fold,False
