model_id,gauge_id,na_attempt_scale,k_attempt_scale,common_barrier_multiplier,na_loaded_energy_lump_mM,k_loaded_energy_lump_mM,pka_barrier_fold,na_ec50_pred_mM,na_hill_pred,k_ec50_pred_mM,k_hill_pred,pure_k_to_na_amplitude_ratio,assay_background_na,assay_background_k,assay_common_scale,mapped_na_rmax,mapped_k_rmax,double_mutant_na_to_wt,double_mutant_k_to_wt,pka_effective_fold,na_transported,k_transported,electroneutral,ldb_pass,mutant_hierarchy_pass,dose_shape_status,regulation_status,transporter_gate_pass,n_lumped_parameters,complexity_penalty,n_fitted_numeric_parameters,n_fixed_assay_nuisance_values,n_discrete_gauge_choices,model_comparison_interpretation,calibration_target_ids,heldout_target_read,context_assumption,failure_reason
SR1_NA_112,slow_common,1.0,1.0,0.1,49.0,62.0,1.25,34.08195848549213,1.0316509960553533,nan,nan,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,True,False,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR1_NA_112,unit_common,1.0,1.0,1.0,49.0,62.0,1.25,106.11397391827802,1.0224342662463262,nan,nan,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,True,False,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR1_NA_112,fast_common,1.0,1.0,10.0,49.0,62.0,1.25,136.0434250023526,1.0207616146844258,nan,nan,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,True,False,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR1_K_112,slow_common,1.0,1.0,0.1,49.0,62.0,1.25,nan,nan,41.66634526492265,1.1527821297629148,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,False,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR1_K_112,unit_common,1.0,1.0,1.0,49.0,62.0,1.25,nan,nan,114.71453637577036,1.1017831049828561,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,False,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR1_K_112,fast_common,1.0,1.0,10.0,49.0,62.0,1.25,nan,nan,143.6124377010305,1.0944562497777968,nan,0.3,0.4,nan,nan,nan,nan,nan,nan,False,True,True,True,False,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,does not carry both directly observed cations; effective dose shape mismatch; cannot express Na-collapse/K-retention mutant limit
SR2_SHARED_112,slow_common,1.0,1.2129489685657313,0.1,75.20435581827137,102.32113093243272,1.25,48.64398391035293,1.1584788585564378,53.68911291125429,1.1704461753932525,0.999999976796937,0.3,0.4,8.697436525097281,1.500000013921838,1.5999999860781622,0.0,0.7569766821972798,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_112,unit_common,1.0,1.1073904424590684,1.0,23.330568967137086,31.758417876699305,1.25,48.77075365816028,1.1468315651023495,58.266362152648846,1.1672219867779325,1.0000001894573622,0.3,0.4,2.699518344628192,1.4999998863255828,1.6000001136743962,0.0,0.6904649896779644,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_112,fast_common,1.0,1.0884299116130025,10.0,18.125955313796492,24.67402295782618,1.25,48.79822782120463,1.1447627885058562,59.174663776106165,1.1666354748683594,1.0000000852109583,0.3,0.4,2.0985676107163616,1.499999948873425,1.6000000511265706,0.0,0.6675043044281969,nan,True,True,True,True,True,not compatible with both reported effective Hill shapes under declared context,unregulated core; requires nested SR6 before stimulated claim,False,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,effective dose shape mismatch
SR2_SHARED_123,slow_common,1.0,1.1026527100857708,0.1,58.06159101325025,74.17835667688657,1.25,49.10961409493527,2.11133227150437,59.47097380111246,2.132731978680954,1.0000000053132863,0.3,0.4,5.404630522777537,1.4999999968120283,1.6000000031879718,0.0,0.8348789713950611,nan,True,True,True,True,True,compatible with reported effective EC50/Hill under declared assay context,unregulated core; requires nested SR6 before stimulated claim,True,4,4,4,2,1,conditional expressivity/compatibility comparison only; not AIC because raw curve errors/covariances and intracellular assay concentrations are unavailable,E16-03;E16-04;E16-05;E16-07;E21-03;E25-04,False,E16 external dose grid and baths; unmeasured intracellular assay values fixed to the declared 25/120/50/10 mM sensitivity; alkalinization mapped to HCO3 source plus twice CO3 source; three common-barrier gauges,
