ae4_expression,calcium_uM,candidate_id,capacities_refitted_after_freeze,condition,max_dimensionless_conservation_ratio,maximum_flow_pL_s,mean_0_600_pL_s,message,minimum_flow_pL_s,numerical_gate_pass,paired_numerical_gate_pass,root_id,routing_family,secretion_ratio,secretion_reduction,solver_success,source,source_path,source_sha256,status,target_share,total_0_600_pL
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,1.0868042576994696e-05,0.001522105479760355,0.0014284003368828812,The solver successfully reached the end of the integration interval.,0.0010868595959429212,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.1509540065104833,-0.1509540065104833,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,b83d089b58991ba8846b8614792e6c77ce0472514245cfdf77603a1138e30cd4,COMPLETE,,0.8570402021297288
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,2.4971344436686138e-05,0.002156667728667322,0.0016825153752730525,The solver successfully reached the end of the integration interval.,0.0010868595959429212,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.1915446001085646,-0.19154460010856456,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_AE4_5pct_production_radau.json,82bed8dea8d8e38318f55e3bd852bb89d82ff6020017175699cf4171d1ab36a8,COMPLETE,,1.0095092251638316
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,3.158931449753766e-05,0.002453701844037509,0.001753964922311162,The solver successfully reached the end of the integration interval.,0.0010868595959429212,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.202402859067373,-0.202402859067373,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.50_AE4_5pct_production_radau.json,7d78e1858e1b33a481a42a94c6af91b691417ca52098d9f7b8376e09c4bc5f76,COMPLETE,,1.0523789533866972
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0005151434834260726,0.0015157322885576753,0.0014202325936460848,The solver successfully reached the end of the integration interval.,0.0010039974457310642,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.1929375052632794,-0.19293750526327935,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8521395561876508
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,4.440892098500626e-05,0.002396177061878033,0.0018578209810004203,The solver successfully reached the end of the integration interval.,0.0010039974457310642,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.3792583263010112,-0.3792583263010112,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.114692588600252
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,3.907985046680551e-05,0.002853391242698486,0.002007616783508295,The solver successfully reached the end of the integration interval.,0.0010039974457310642,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.438342808959017,-0.4383428089590169,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.2045700701049769
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.00017152945730458669,0.001969065732884606,0.0016899329111045539,The solver successfully reached the end of the integration interval.,0.0012882331164829426,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.4421560568202285,-0.4421560568202285,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.0139597466627324
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.00035943470422239443,0.0030563750208156327,0.002009259993863847,The solver successfully reached the end of the integration interval.,0.0012882331164829426,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.5339434289934577,-0.5339434289934577,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.2055559963183082
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.0004239300639334267,0.003582883704945347,0.002105593217817842,The solver successfully reached the end of the integration interval.,0.0012882331164829426,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,1.5622978144697015,-0.5622978144697015,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.2633559306907052
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.0003055333763768431,0.001714822063174734,0.0016496061850331993,The solver successfully reached the end of the integration interval.,0.0012089573440388108,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.0920737751638214,-0.09207377516382143,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.10_AE4_5pct_production_radau.json,6b90de97d1b92cc0b4b3e982002807b740a65535072a878b2834bae0c52ef913,COMPLETE,,0.9897637110199196
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.0013358203432289883,0.00248464661106686,0.002015102684963714,The solver successfully reached the end of the integration interval.,0.0012089573440388108,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.1624427276202534,-0.16244272762025336,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.25_AE4_5pct_production_radau.json,23fa81b10a3269d74223b5a052086056699e8c01a02ac97c6bd846f78f08fe45,COMPLETE,,1.2090616109782286
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,0.002099653784171096,0.002867839205355305,0.002129239966390167,The solver successfully reached the end of the integration interval.,0.0012089573440388108,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.1840010802406804,-0.1840010802406804,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.50_AE4_5pct_production_radau.json,48091297dcec49a3e5ed6215e48d450b321379f655a93fbba809cf2bbcb4014c,COMPLETE,,1.2775439798341002
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,3.941291737419306e-05,0.0021013080628515673,0.0018579262242768475,The solver successfully reached the end of the integration interval.,0.0013833042703942228,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.2804205369250843,-0.2804205369250843,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.1147557345661085
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.0001279532035880493,0.003314248939606418,0.0022890034962094238,The solver successfully reached the end of the integration interval.,0.0013833042703942228,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.3981490442793385,-0.3981490442793385,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.3734020977256542
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.10,False,share_0.10,0.00019047263766225342,0.003926431504782002,0.002429843762327211,The solver successfully reached the end of the integration interval.,0.0013833042703942228,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.4364471656592126,-0.4364471656592126,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,1.4579062573963266
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.0029309887850104133,0.0017404363957502723,0.0016171171611901358,The solver successfully reached the end of the integration interval.,0.00119818473628365,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.146549383823813,-0.146549383823813,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.9702702967140815
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.0029096725029376103,0.0025255692613009723,0.002078490512214335,The solver successfully reached the end of the integration interval.,0.00119818473628365,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.3341844796917404,-0.33418447969174037,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.247094307328601
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__share_0.30,False,share_0.30,0.0029203306439740118,0.002906983575433367,0.0022567645168260473,The solver successfully reached the end of the integration interval.,0.00119818473628365,True,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,1.4028267228005293,-0.40282672280052934,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,1.3540587100956285
0.05,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,1.0658141036401503e-05,0.0014673109492425703,0.0014029472406363271,The solver successfully reached the end of the integration interval.,0.0010822640651352606,True,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,1.1405212997324823,-0.14052129973248229,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.10_AE4_5pct_production_radau.json,e555ae358032e6b05befb60477433ba97dbe8ad1f2ecb5041e90b05007bbff82,COMPLETE,,0.8417683443817963
0.05,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,2.531308496145357e-05,0.002028935138971569,0.001650544936793652,The solver successfully reached the end of the integration interval.,0.0010822640651352606,True,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,1.1799146304033774,-0.1799146304033774,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.25_AE4_5pct_production_radau.json,1e760938b0306ce90d5aea58e47b464adaf6c10fc564326d5d7359e0259b76b8,COMPLETE,,0.9903269620761913
0.05,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,3.3306690738754696e-05,0.002307982074233639,0.00172399159508228,The solver successfully reached the end of the integration interval.,0.0010822640651352606,True,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,1.1919794550991794,-0.19197945509917935,True,HASH_VALID_INHERITED_REUSE,results/14B_five_percent_ae4_check/trajectories/N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00_ca0.50_AE4_5pct_production_radau.json,b076af6a24984f47228b0fbf7edd9814facd990d888331778e85135f3963472a,COMPLETE,,1.034394957049368
