pathway,positive_basolateral_loader,positive_loading_denominator_fmol_s,root_id,routing_family,signed_cl_fmol_s
AE4,True,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.00439891057169553
NKCC1,True,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.23558507440368204
AE2,False,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,-0.0018657386613867392
CaCC_cell_source,False,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,-0.2381182463139908
CaCC_cell_to_lumen,False,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.2381182463139908
paracellular_Cl_lumen_to_bath,False,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.09195486956818526
lumen_outflow_Cl,False,0.23998398497537757,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.14616337674580593
AE4,True,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.0038049001740020627
NKCC1,True,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.27382803165365593
AE2,False,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.0007970646209798337
CaCC_cell_source,False,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.2768358672066779
CaCC_cell_to_lumen,False,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.2768358672066779
paracellular_Cl_lumen_to_bath,False,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.10169084488779788
lumen_outflow_Cl,False,0.277632931827658,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.17514502231888
AE4,True,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.004385358818456406
NKCC1,True,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.2406131711856975
AE2,False,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,-0.0018460155324911806
CaCC_cell_source,False,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,-0.24315251447166264
CaCC_cell_to_lumen,False,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.24315251447166264
paracellular_Cl_lumen_to_bath,False,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.09708607393851813
lumen_outflow_Cl,False,0.2449985300041539,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,0.14606644053314494
AE4,True,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.003801050670580758
NKCC1,True,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.2766607614998936
AE2,False,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,-0.0007896205299970801
CaCC_cell_source,False,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,-0.2796721916402582
CaCC_cell_to_lumen,False,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.2796721916402582
paracellular_Cl_lumen_to_bath,False,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.1066498138217232
lumen_outflow_Cl,False,0.2804618121704744,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,AE4NA20,0.17302237781850627
AE4,True,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.004407693092673928
NKCC1,True,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.23151903437493176
AE2,False,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,-0.001879082504537062
CaCC_cell_source,False,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,-0.23404764496302305
CaCC_cell_to_lumen,False,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.23404764496302305
paracellular_Cl_lumen_to_bath,False,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.09311329549466459
lumen_outflow_Cl,False,0.23592672746760568,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,0.140934349468352
AE4,True,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.0038151466854192406
NKCC1,True,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.2662679982420845
AE2,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.0008161273589426067
CaCC_cell_source,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,-0.2692670175685662
CaCC_cell_to_lumen,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.2692670175685662
paracellular_Cl_lumen_to_bath,False,0.27008314492750374,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,0.10346130420061767
