calcium_uM,candidate_id,capacities_refitted_after_freeze,condition,max_dimensionless_conservation_ratio,maximum_flow_pL_s,mean_0_600_pL_s,message,minimum_flow_pL_s,numerical_gate_pass,root_id,routing_family,solver_success,source,source_path,source_sha256,status,target_share,total_0_600_pL
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.00022559731860383178,0.001365281732875262,0.0012410577041332633,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.10_WT_production_radau.json,3342778c97bd24899846e515eac584ab9be1c5e87092c8a1281a653d8a7ff2f6,COMPLETE,,0.7446346224799579
0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.0015489831639570184,0.0018595294937908348,0.0014120456549589116,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.25_WT_production_radau.json,7db9c20468e99da3e3e564d08f93b0d7843598052ff1034aacf4336d0c13dd0b,COMPLETE,,0.847227392975347
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__inherited_baseline,False,inherited_baseline,0.002467359649926948,0.0020785445393476432,0.0014587165267318145,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00_ca0.50_WT_production_radau.json,d3f18f26432348a9d6bb13f9423cac2ea767c425c530106339c98a4511701c87,COMPLETE,,0.8752299160390887
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0003090860900556436,0.001327385193080355,0.0011905339444689869,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.7143203666813921
0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.0015081269566508126,0.00182116327529199,0.001346971010124587,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8081826060747521
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.10,False,share_0.10,0.002447819724693545,0.002051857372745669,0.001395784628673663,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.1,0.8374707772041978
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.00032862601528904634,0.0014289900738269107,0.001171810015367298,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7030860092203788
0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.001142197447734361,0.0020224737596370476,0.0013098657720267313,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.7859194632160388
0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__share_0.30,False,share_0.30,0.001588063014423824,0.0022814678351013085,0.001347754057079414,The solver successfully reached the end of the integration interval.,0.0010059774821377515,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,True,NEW_POST_CHECKPOINT_SIMULATION,,,COMPLETE,0.3,0.8086524342476484
0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__inherited_baseline,False,inherited_baseline,1.4210854715202002e-05,0.0016079990698009167,0.0015105263239067735,The solver successfully reached the end of the integration interval.,0.001199531279443772,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,True,HASH_VALID_INHERITED_REUSE,results/14_scale_free_genotype_holdout/trajectories/N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00_ca0.10_WT_production_radau.json,e72842393c2b4bb521c7dfd4e4a80572b4c596e980bf341f0ddd841cc3430dfd,COMPLETE,,0.9063157943440641
