I_count,I_max,I_median,I_min,R_AE4_count,R_AE4_max,R_AE4_median,R_AE4_min,R_coupled_count,R_coupled_max,R_coupled_median,R_coupled_min,R_pump_AE4_count,R_pump_AE4_max,R_pump_AE4_median,R_pump_AE4_min,R_pump_WT_count,R_pump_WT_max,R_pump_WT_median,R_pump_WT_min,calcium_uM,expected_pairs,pump_scale,routing_family,valid_pairs
30,1.0,1.0,1.0,30,1.216630070909048,1.1781906073567845,1.0822869171217397,30,1.216630070909048,1.1781906073567845,1.0822869171217397,30,1.0,1.0,1.0,30,1.0,1.0,1.0,ALL,30,1.0,ALL,30
10,1.0,1.0,1.0,10,1.163179701753124,1.1327270935087324,1.0822869171217397,10,1.163179701753124,1.1327270935087324,1.0822869171217397,10,1.0,1.0,1.0,10,1.0,1.0,1.0,0.1,10,1.0,ALL,10
10,1.0,1.0,1.0,10,1.202714141279223,1.1852768758638876,1.1454294969719807,10,1.202714141279223,1.1852768758638876,1.1454294969719807,10,1.0,1.0,1.0,10,1.0,1.0,1.0,0.25,10,1.0,ALL,10
10,1.0,1.0,1.0,10,1.216630070909048,1.2003145074316128,1.1669683146007646,10,1.216630070909048,1.2003145074316128,1.1669683146007646,10,1.0,1.0,1.0,10,1.0,1.0,1.0,0.5,10,1.0,ALL,10
15,1.0,1.0,1.0,15,1.2133051855608012,1.1915446001085646,1.1405212997324823,15,1.2133051855608012,1.1915446001085646,1.1405212997324823,15,1.0,1.0,1.0,15,1.0,1.0,1.0,ALL,15,1.0,AE4NA05,15
5,1.0,1.0,1.0,5,1.163179701753124,1.151854570491648,1.1405212997324823,5,1.163179701753124,1.151854570491648,1.1405212997324823,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.1,5,1.0,AE4NA05,5
5,1.0,1.0,1.0,5,1.202714141279223,1.1915446001085646,1.1799146304033774,5,1.202714141279223,1.1915446001085646,1.1799146304033774,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.25,5,1.0,AE4NA05,5
5,1.0,1.0,1.0,5,1.2133051855608012,1.202562880594413,1.1919794550991794,5,1.2133051855608012,1.202562880594413,1.1919794550991794,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.5,5,1.0,AE4NA05,5
15,1.0,1.0,1.0,15,1.216630070909048,1.1669683146007646,1.0822869171217397,15,1.216630070909048,1.1669683146007646,1.0822869171217397,15,1.0,1.0,1.0,15,1.0,1.0,1.0,ALL,15,1.0,AE4NA20,15
5,1.0,1.0,1.0,5,1.1249328872849826,1.1048984991343334,1.0822869171217397,5,1.1249328872849826,1.1048984991343334,1.0822869171217397,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.1,5,1.0,AE4NA20,5
5,1.0,1.0,1.0,5,1.1951479530489553,1.1716638006421243,1.1454294969719807,5,1.1951479530489553,1.1716638006421243,1.1454294969719807,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.25,5,1.0,AE4NA20,5
5,1.0,1.0,1.0,5,1.216630070909048,1.19304025571088,1.1669683146007646,5,1.216630070909048,1.19304025571088,1.1669683146007646,5,1.0,1.0,1.0,5,1.0,1.0,1.0,0.5,5,1.0,AE4NA20,5
21,1.3583982654355193,1.3425085580496001,1.1783229325563875,21,1.6278161094022834,1.5195202055579524,1.391741560483871,21,1.0018020374016976,0.9680806008151356,0.805730806324574,21,0.8776379556452935,0.8325568520949629,0.6701005409697111,21,0.6549188900893252,0.6167208939916407,0.5686900614892718,ALL,30,0.5,ALL,21
7,1.3583982654355193,1.3468172483108198,1.2092069297394592,7,1.5195202055579524,1.4834711219101544,1.391741560483871,7,0.9767658539580018,0.9483546249117313,0.8131185916482995,7,0.8776379556452935,0.8674034583237369,0.706473575007181,7,0.6549188900893252,0.642157092247949,0.5842453906209426,0.1,10,0.5,ALL,7
7,1.3510115727050753,1.3432724932751958,1.1850852388153894,7,1.605409370724817,1.570473577621816,1.4120819169788459,7,0.9978497257683562,0.9680806008151356,0.8075439758442493,7,0.8454161194873326,0.8349173198370383,0.6777287025350726,7,0.6299259258830904,0.6215546912609852,0.5718818194145511,0.25,10,0.5,ALL,7
7,1.3465951181512852,1.3396785836056906,1.1783229325563875,7,1.6278161094022834,1.593246630979547,1.4168188630104517,7,1.0018020374016976,0.9721189632122178,0.805730806324574,7,0.8325568520949629,0.8234237023692551,0.6701005409697111,7,0.6214601489367471,0.6147134834920814,0.5686900614892718,0.5,10,0.5,ALL,7
6,1.2095074911950128,1.1854403361532366,1.1783229325563875,6,1.4306145728051944,1.4144503899946488,1.391741560483871,6,0.8274562669499286,0.8163633763991753,0.805730806324574,6,0.7113744038885832,0.6803842172373089,0.6701005409697111,6,0.5881521272644074,0.5744622626938749,0.5686900614892718,ALL,15,0.5,AE4NA05,6
2,1.2095074911950128,1.2093572104672359,1.2092069297394592,2,1.4068745628763841,1.3993080616801277,1.391741560483871,2,0.8274562669499286,0.820287429299114,0.8131185916482995,2,0.7113744038885832,0.708923989447882,0.706473575007181,2,0.5881521272644074,0.5861987589426749,0.5842453906209426,0.1,5,0.5,AE4NA05,2
2,1.1857954334910839,1.1854403361532366,1.1850852388153894,2,1.426172936524053,1.4191274267514493,1.4120819169788459,2,0.8215015446592608,0.8145227602517551,0.8075439758442493,2,0.6830397319395451,0.6803842172373089,0.6777287025350726,2,0.5760181837845482,0.5739500015995496,0.5718818194145511,0.25,5,0.5,AE4NA05,2
2,1.1791052983458161,1.1787141154511018,1.1783229325563875,2,1.4306145728051944,1.4237167179078232,1.4168188630104517,2,0.8196081611500513,0.8126694837373126,0.805730806324574,2,0.6755169028402533,0.6728087219049822,0.6701005409697111,2,0.5729063416032018,0.5707982015462367,0.5686900614892718,0.5,5,0.5,AE4NA05,2
15,1.3583982654355193,1.3465951181512852,1.3379712932674788,15,1.6278161094022834,1.5714338354786228,1.4576426876007018,15,1.0018020374016976,0.9757706768131005,0.9455450669996092,15,0.8776379556452935,0.8374808921108283,0.8210456725382448,15,0.6549188900893252,0.6218958105976033,0.6101497058333948,ALL,15,0.5,AE4NA20,15
5,1.3583982654355193,1.3499978073543022,1.3400712193926658,5,1.5195202055579524,1.491430265242127,1.4576426876007018,5,0.9767658539580018,0.9617414817398506,0.9455450669996092,5,0.8776379556452935,0.8704342367134686,0.8658252661160812,5,0.6549188900893252,0.6447671484884319,0.6373869049652289,0.1,5,0.5,AE4NA20,5
