ae2_expression,ae4_expression,architecture,calcium_uM,candidate_id,capacity_refits,condition,fixed_wt_feasible,genotype,numerical_gate_pass,reason,root_id,routing_family,secretion_ratio,simulation_attempted,solver_success,status,total_0_600_pL,wt_checkpoint_sha
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.25,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.5,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,AE4NA20,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.25,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.5,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__P0,0,P0,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
0.0,1.0,POOLED_CATION_112_NO_SLIP,0.1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1_B00__P10,0,P10,False,AE2_loss,,STRUCTURALLY_INFEASIBLE_POOLED_AFFINITY,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,AE4NA05,,False,,NOT_RUN_STRUCTURALLY_INFEASIBLE_WT,,a2902286c148c886ee2d8188dabbd020d0a2d32f
