Q_0_600_pL,calcium_uM,capacity_refits,evaluated,genotype,root_id,status
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.1,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.25,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,0.5,0,False,AE2_loss,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
