AE2_loss_Q_0_600_pL,AE2_loss_over_WT,AE4_005_Q_0_600_pL,AE4_005_over_WT,WT_Q_0_600_pL,calcium_uM,comparison_available,root_id,status
,,,,,0.1,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.1,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.25,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
,,,,,0.5,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,NOT_RUN_NO_ADMISSIBLE_WT
