admissible,cl_i_mM,initial_numeric_type_gate_pass,k_i_mM,max_abs_log_fold,measured_objective,na_i_mM,ph_i,positive_AE4_loading_fmol_s,positive_affinity,resting_gate_pass,root_id,solution_id,status,sum_squared_log_fold,volume_i_pL,wt_dynamic_gate_pass
False,50.1,True,199.9934525139141,15.494712330316677,0.0,22.422106222403283,6.91,5.624774995167515e-10,3.189832194383513e-06,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_d075ba65af1c,,2590.0843356068085,0.5719564364591487,False
False,50.1,True,199.9999319269466,15.749704686636832,0.0,22.544140662937664,6.91,3.5899628573312755e-07,2.3903372050604332e-06,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_29fc6db57ddf,,1625.7369319937795,0.5714846929187226,False
False,50.1,True,190.29700400247137,16.00093271481573,0.0,22.891013803678295,6.91,3.4017993921503256e-07,2.265164314341206e-06,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_0aa5f8f394e3,,1684.9266651338016,0.6080246072817465,False
False,50.1,True,199.76402065374145,17.07881651470445,0.0,21.598065683627684,6.91,1.4053333485494677e-10,2.0455606821734307e-06,False,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,WT_5a8657520bc9,,2929.3000818683104,0.5758532910823779,False
False,50.1,True,199.76402065374145,230.25850929940458,0.0,21.598065683627684,6.91,1.221592246529905e-07,0.005287134905971325,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,WT_c638897b5232,,213843.95378621636,0.5759716799637671,False
False,50.1,True,199.2245272867546,230.25850929940458,0.0,21.217880968611713,6.91,1.3284537693490956e-07,0.028728293580565722,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,WT_cef05079103e,,213946.5949747387,0.5799565720656349,False
False,50.1,True,199.9743417641126,230.25850929940458,0.0,22.978788843398,6.91,1.2371612684158303e-07,0.0005860190865534243,True,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,WT_adba08afecb4,,213996.7556792586,0.570001179822536,False
False,,,,,,,,,,False,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,,NO_REST_VALID_CANDIDATE,,,False
False,,,,,,,,,,False,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,,NO_REST_VALID_CANDIDATE,,,False
False,,,,,,,,,,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,,NO_REST_VALID_CANDIDATE,,,False
False,,,,,,,,,,False,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,,NO_REST_VALID_CANDIDATE,,,False
