Q_0_600_pL,ae2_expression,ae4_expression,calcium_uM,completed_utc,conservation_gate_pass,dynamic_gate_pass,genotype,max_abs_charge_fmol,max_conservation_tolerance_ratio,output_samples,positive_core,raw_integrated_flow_pL,regulatory_fractions_valid,root_id,solution_id,solver_message,solver_success,started_utc,status
,1.0,1.0,0.1,2026-09-11T07:22:48.877644+00:00,False,False,WT,7.091350525456619e-06,6.318483514178297,602,True,6947.095621785433,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_d075ba65af1c,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:47.166380+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.25,2026-09-11T07:22:51.144121+00:00,False,False,WT,1.1068561448723813e-05,9.974382410035785,602,True,6548.669505387511,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_d075ba65af1c,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:47.166399+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.5,2026-09-11T07:22:51.639196+00:00,False,False,WT,2.277807612927063e-05,10.378826686974207,602,True,6472.562306956383,True,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,WT_d075ba65af1c,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:47.166382+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.1,2026-09-11T07:24:42.175034+00:00,False,False,WT,0.00016765417461783727,107.65408120505526,602,True,5164.162033838459,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_29fc6db57ddf,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:47.167552+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.25,2026-09-11T07:24:45.214170+00:00,False,False,WT,0.0006205999182640198,219.59239759894444,602,True,4242.868638950499,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_29fc6db57ddf,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:48.900922+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.5,2026-09-11T07:26:21.999108+00:00,False,False,WT,0.0008929916459265996,346.4972753164375,602,True,4117.581838343151,True,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,WT_29fc6db57ddf,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:51.161456+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.1,2026-09-11T07:25:03.346234+00:00,False,False,WT,0.00039194340739356903,126.21435091725655,602,True,5086.762011820669,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_0aa5f8f394e3,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:22:51.654691+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.25,2026-09-11T07:26:14.424063+00:00,False,False,WT,0.00030760812279595484,189.20206192561682,602,True,4184.164529947769,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_0aa5f8f394e3,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:24:42.193908+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.5,2026-09-11T07:27:59.459276+00:00,False,False,WT,0.0008736262105344395,414.9623755722587,602,True,4060.733247253531,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,WT_0aa5f8f394e3,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:24:45.229470+00:00,DYNAMIC_GATE_FAILURE
,1.0,1.0,0.1,2026-09-11T07:25:07.643248+00:00,False,False,WT,1.0545900295255706e-05,9.232659125071875,602,True,8533.516566032744,True,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,WT_5a8657520bc9,The solver successfully reached the end of the integration interval.,True,2026-09-11T07:25:03.360568+00:00,DYNAMIC_GATE_FAILURE
