admissible_WT_solutions,classification,replay_rest_valid_outputs,root_id,saved_solver_outputs
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,0,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA05_P1_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PHIGH_KHIGH_AE4NA20_P2_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,0,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA05_P1_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PHIGH_KLOW_AE4NA20_P2_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA05_P1_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,0,N_ABS_NKCC_S4_PLOW_KHIGH_AE4NA20_P2_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA05_P1_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PLOW_KLOW_AE4NA20_P2_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PNOM_KMID_AE4NA05_P1_H1:B00,17
0,NO_VALIDATED_WT_NUMERICAL_FAILURE_NOT_INFEASIBILITY_PROOF,1,N_ABS_NKCC_S4_PNOM_KMID_AE4NA20_P2_H1:B00,17
